acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instruction1,correct_keyboard_response,correct_response,count_ISI,count_correctFeedback,count_expSequence,count_experiment,count_experimentLoop,count_fixation,count_incorrectFeedback,count_instruction1,count_instructions2,count_keyboard_response,count_logger,count_memorySet,count_practiceLoop,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practiceLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_instruction1,response_instructions2,response_keyboard_response,response_thankYou,response_time,response_time_instruction1,response_time_instructions2,response_time_keyboard_response,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_correctFeedback,time_expSequence,time_experiment,time_experimentLoop,time_fixation,time_incorrectFeedback,time_instruction1,time_instructions2,time_keyboard_response,time_logger,time_memorySet,time_practiceLoop,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
80.95238095,80.95238095,779.2857143,779.2857143,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,20,20,20,0,0,20,20,0,0,20,20,20,0,20,0,10/24/19 12:30,The main experiment item,yes,Sternbergtask SL.osexp,C:/Users/Sarah Linan/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,8,11,C:/Users/Sarah Linan/Desktop/subject-S3.csv,legacy,1 6 4 3 9 7,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,right,NA,670,5933,10009,670,NA,2,legacy,6,1024,2,48000,-16,experiment,3,odd,8,146073,142681,143863,1996,94638,143865,136614,2003,84629,148075,148745,144869,7938,148075,NA,Sternberg task,17,16365,21,yes,1024
77.27272727,77.27272727,807.3636364,807.3636364,black,experiment,legacy,legacy,legacy,0,uniform,0,undefined,0,left,21,21,21,0,0,21,21,0,0,21,21,21,0,21,0,10/24/19 12:30,The main experiment item,yes,Sternbergtask SL.osexp,C:/Users/Sarah Linan/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,9,11,C:/Users/Sarah Linan/Desktop/subject-S3.csv,legacy,2 4 8 5 1 3,Kafkaesque Koffka,3.2.8,1,y,0,right,right,right,right,NA,1397,5933,10009,1397,NA,2,legacy,6,1024,2,48000,-16,experiment,3,odd,2,152204,148830,149995,1996,94638,149997,136614,2003,84629,154206,155603,151000,7938,154206,NA,Sternberg task,17,17762,22,yes,1024
78.26086957,78.26086957,803.1304348,803.1304348,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,22,22,22,0,0,22,22,0,0,22,22,22,0,22,0,10/24/19 12:30,The main experiment item,yes,Sternbergtask SL.osexp,C:/Users/Sarah Linan/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,10,11,C:/Users/Sarah Linan/Desktop/subject-S3.csv,legacy,7 4 2 6 3 5,Kafkaesque Koffka,3.2.8,6,y,0,left,right,right,left,NA,710,5933,10009,710,NA,2,legacy,6,1024,2,48000,-16,experiment,3,odd,5,159046,148830,156838,1996,94638,156840,155687,2003,84629,161050,161761,157842,7938,161049,NA,Sternberg task,18,18472,23,yes,1024
79.16666667,79.16666667,800.1666667,800.1666667,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,23,23,23,0,0,23,23,0,0,23,23,23,0,23,0,10/24/19 12:30,The main experiment item,yes,Sternbergtask SL.osexp,C:/Users/Sarah Linan/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,11,11,C:/Users/Sarah Linan/Desktop/subject-S3.csv,legacy,8 3,Kafkaesque Koffka,3.2.8,2,y,0,left,right,right,left,NA,732,5933,10009,732,NA,2,legacy,2,1024,2,48000,-16,experiment,3,odd,3,165214,161845,163004,1996,94638,163008,155687,2003,84629,167219,167952,164010,7938,167218,NA,Sternberg task,19,19204,24,yes,1024
80,80,802.08,802.08,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,24,24,24,0,0,24,24,0,0,24,24,24,0,24,0,10/24/19 12:30,The main experiment item,yes,Sternbergtask SL.osexp,C:/Users/Sarah Linan/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,12,11,C:/Users/Sarah Linan/Desktop/subject-S3.csv,legacy,6 9 4 5 2,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,right,NA,848,5933,10009,848,NA,2,legacy,5,1024,2,48000,-16,experiment,3,odd,1,171395,168034,169188,1996,94638,169189,155687,2003,84629,173399,174247,170191,7938,173399,NA,Sternberg task,20,20052,25,yes,1024
76.92307692,76.92307692,803.6153846,803.6153846,black,experiment,legacy,legacy,legacy,0,uniform,0,undefined,0,left,25,25,25,0,0,25,25,0,0,25,25,25,0,25,0,10/24/19 12:30,The main experiment item,yes,Sternbergtask SL.osexp,C:/Users/Sarah Linan/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,13,11,C:/Users/Sarah Linan/Desktop/subject-S3.csv,legacy,6 9 7 4 5 1,Kafkaesque Koffka,3.2.8,2,y,0,right,right,right,right,NA,842,5933,10009,842,NA,2,legacy,6,1024,2,48000,-16,experiment,3,odd,9,177719,174337,175509,1996,94638,175511,155687,2003,84629,179723,180565,176515,7938,179723,NA,Sternberg task,20,20894,26,yes,1024
77.77777778,77.77777778,818.1481481,818.1481481,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,26,26,26,0,0,26,26,0,0,26,26,26,0,26,0,10/24/19 12:30,The main experiment item,yes,Sternbergtask SL.osexp,C:/Users/Sarah Linan/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,14,11,C:/Users/Sarah Linan/Desktop/subject-S3.csv,legacy,7 1 8 4 9 3,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,right,NA,1196,5933,10009,1196,NA,2,legacy,6,1024,2,48000,-16,experiment,3,odd,6,184026,174337,181817,1996,94638,181819,180650,2003,84629,186028,187225,182821,7938,186028,NA,Sternberg task,21,22090,27,yes,1024
78.57142857,78.57142857,817.1071429,817.1071429,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,27,27,27,0,0,27,27,0,0,27,27,27,0,27,0,10/24/19 12:30,The main experiment item,yes,Sternbergtask SL.osexp,C:/Users/Sarah Linan/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,15,11,C:/Users/Sarah Linan/Desktop/subject-S3.csv,legacy,7 1 5 6 3,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,right,NA,789,5933,10009,789,NA,2,legacy,5,1024,2,48000,-16,experiment,3,odd,8,190680,187307,188469,1996,94638,188472,180650,2003,84629,192682,193471,189476,7938,192682,NA,Sternberg task,22,22879,28,yes,1024
79.31034483,79.31034483,815.8275862,815.8275862,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,28,28,28,0,0,28,28,0,0,28,28,28,0,28,0,10/24/19 12:30,The main experiment item,yes,Sternbergtask SL.osexp,C:/Users/Sarah Linan/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,16,11,C:/Users/Sarah Linan/Desktop/subject-S3.csv,legacy,7 9 1 6,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,right,NA,780,5933,10009,780,NA,2,legacy,4,1024,2,48000,-16,experiment,3,odd,4,196867,193508,194659,1996,94638,194661,180650,2003,84629,198869,199650,195665,7938,198869,NA,Sternberg task,23,23659,29,yes,1024
76.66666667,76.66666667,819.4333333,819.4333333,black,experiment,legacy,legacy,legacy,0,uniform,0,undefined,0,left,29,29,29,0,0,29,29,0,0,29,29,29,0,29,0,10/24/19 12:30,The main experiment item,yes,Sternbergtask SL.osexp,C:/Users/Sarah Linan/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,17,11,C:/Users/Sarah Linan/Desktop/subject-S3.csv,legacy,9 5 8 1,Kafkaesque Koffka,3.2.8,2,y,0,right,right,right,right,NA,924,5933,10009,924,NA,2,legacy,4,1024,2,48000,-16,experiment,3,odd,5,203179,199800,200971,1996,94638,200973,180650,2003,84629,205183,206108,201975,7938,205183,NA,Sternberg task,23,24583,30,yes,1024
