acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_Keyboard_response,correct_instruction1,correct_response,count_ISI,count_Keyboard_response,count_PracticeLoop,count_correctFeedback,count_exp_sequence,count_experiment,count_experimentLoop,count_fixation,count_incorrectFeedback,count_instruction1,count_instructions2,count_logger,count_memorySet,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_PracticeLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_Keyboard_response,response_instruction1,response_instructions2,response_thankYou,response_time,response_time_Keyboard_response,response_time_instruction1,response_time_instructions2,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_Keyboard_response,time_PracticeLoop,time_correctFeedback,time_exp_sequence,time_experiment,time_experimentLoop,time_fixation,time_incorrectFeedback,time_instruction1,time_instructions2,time_logger,time_memorySet,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
85.71428571,85.71428571,757.7619048,757.7619048,black,experiment,legacy,legacy,legacy,0,uniform,1,1,undefined,left,20,20,0,20,20,0,0,20,20,0,0,20,20,20,0,10/27/19 8:33,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,8,11,C:/Users/hosan/Desktop/TB-subject-3.csv,legacy,8 9 6 1,Kafkaesque Koffka,3.2.8,2,y,0,left,left,right,right,NA,656,656,211857,8913,NA,2,legacy,4,1024,2,48000,-16,experiment,3,odd,9,350382,352389,214526,347048,348173,2660,299736,348176,322770,2667,290822,353045,349179,352388,NA,Sternberg Task,18,15913,21,yes,1024
81.81818182,81.81818182,761.2727273,761.2727273,black,experiment,legacy,legacy,legacy,0,uniform,0,0,undefined,right,21,21,0,21,21,0,0,21,21,0,0,21,21,21,0,10/27/19 8:33,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,9,11,C:/Users/hosan/Desktop/TB-subject-3.csv,legacy,2 8 7 9 5 3,Kafkaesque Koffka,3.2.8,0,n,0,left,left,right,right,NA,835,835,211857,8913,NA,2,legacy,6,1024,2,48000,-16,experiment,3,odd,6,356526,358533,214526,353116,354311,2660,299736,354314,322770,2667,290822,359368,355320,358532,NA,Sternberg Task,18,16748,22,yes,1024
82.60869565,82.60869565,759.5217391,759.5217391,black,experiment,legacy,legacy,legacy,0,uniform,1,1,undefined,left,22,22,0,22,22,0,0,22,22,0,0,22,22,22,0,10/27/19 8:33,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,10,11,C:/Users/hosan/Desktop/TB-subject-3.csv,legacy,8 1 6,Kafkaesque Koffka,3.2.8,3,y,0,left,left,right,right,NA,721,721,211857,8913,NA,2,legacy,3,1024,2,48000,-16,experiment,3,odd,6,362771,364780,214526,353116,360557,2660,299736,360559,359436,2667,290822,365502,361566,364778,NA,Sternberg Task,19,17469,23,yes,1024
83.33333333,83.33333333,757.2916667,757.2916667,black,experiment,legacy,legacy,legacy,0,uniform,1,1,undefined,left,23,23,0,23,23,0,0,23,23,0,0,23,23,23,0,10/27/19 8:33,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,11,11,C:/Users/hosan/Desktop/TB-subject-3.csv,legacy,6 9 3 1,Kafkaesque Koffka,3.2.8,4,y,0,left,left,right,right,NA,706,706,211857,8913,NA,2,legacy,4,1024,2,48000,-16,experiment,3,odd,1,368864,370871,214526,365531,366654,2660,299736,366656,359436,2667,290822,371578,367658,370871,NA,Sternberg Task,20,18175,24,yes,1024
84,84,748.48,748.48,black,experiment,legacy,legacy,legacy,0,uniform,1,1,undefined,right,24,24,0,24,24,0,0,24,24,0,0,24,24,24,0,10/27/19 8:33,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,12,11,C:/Users/hosan/Desktop/TB-subject-3.csv,legacy,6 8 4,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,right,NA,537,537,211857,8913,NA,2,legacy,3,1024,2,48000,-16,experiment,3,odd,1,375003,377007,214526,371647,372789,2660,299736,372791,359436,2667,290822,377544,373797,377007,NA,Sternberg Task,21,18712,25,yes,1024
84.61538462,84.61538462,755.6153846,755.6153846,black,experiment,legacy,legacy,legacy,0,uniform,1,1,undefined,right,25,25,0,25,25,0,0,25,25,0,0,25,25,25,0,10/27/19 8:33,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,13,11,C:/Users/hosan/Desktop/TB-subject-3.csv,legacy,8 4 3 9,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,right,NA,934,934,211857,8913,NA,2,legacy,4,1024,2,48000,-16,experiment,3,odd,5,380976,382984,214526,377614,378762,2660,299736,378765,359436,2667,290822,383919,379770,382983,NA,Sternberg Task,22,19646,26,yes,1024
85.18518519,85.18518519,760.6296296,760.6296296,black,experiment,legacy,legacy,legacy,0,uniform,1,1,undefined,right,26,26,0,26,26,0,0,26,26,0,0,26,26,26,0,10/27/19 8:33,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,14,11,C:/Users/hosan/Desktop/TB-subject-3.csv,legacy,6 8,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,right,NA,891,891,211857,8913,NA,2,legacy,2,1024,2,48000,-16,experiment,3,odd,9,387352,389356,214526,383991,385136,2660,299736,385139,359436,2667,290822,390248,386145,389356,NA,Sternberg Task,23,20537,27,yes,1024
85.71428571,85.71428571,756.3571429,756.3571429,black,experiment,legacy,legacy,legacy,0,uniform,1,1,undefined,right,27,27,0,27,27,0,0,27,27,0,0,27,27,27,0,10/27/19 8:33,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,15,11,C:/Users/hosan/Desktop/TB-subject-3.csv,legacy,6 9 5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,right,NA,641,641,211857,8913,NA,2,legacy,3,1024,2,48000,-16,experiment,3,odd,8,393720,395727,214526,390318,391506,2660,299736,391509,359436,2667,290822,396369,392514,395726,NA,Sternberg Task,24,21178,28,yes,1024
86.20689655,86.20689655,763.6896552,763.6896552,black,experiment,legacy,legacy,legacy,0,uniform,1,1,undefined,right,28,28,0,28,28,0,0,28,28,0,0,28,28,28,0,10/27/19 8:33,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,16,11,C:/Users/hosan/Desktop/TB-subject-3.csv,legacy,1 4 9 3,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,right,NA,969,969,211857,8913,NA,2,legacy,4,1024,2,48000,-16,experiment,3,odd,5,399808,401812,214526,396443,397594,2660,299736,397597,359436,2667,290822,402781,398602,401812,NA,Sternberg Task,25,22147,29,yes,1024
86.66666667,86.66666667,760.8333333,760.8333333,black,experiment,legacy,legacy,legacy,0,uniform,1,1,undefined,right,29,29,0,29,29,0,0,29,29,0,0,29,29,29,0,10/27/19 8:33,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,17,11,C:/Users/hosan/Desktop/TB-subject-3.csv,legacy,3 4 9 6 7 8,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,right,NA,678,678,211857,8913,NA,2,legacy,6,1024,2,48000,-16,experiment,3,odd,2,406222,408231,214526,402850,404008,2660,299736,404010,359436,2667,290822,408910,405015,408230,NA,Sternberg Task,26,22825,30,yes,1024
83.87096774,83.87096774,774.2903226,774.2903226,black,experiment,legacy,legacy,legacy,0,uniform,0,0,undefined,left,30,30,0,30,30,0,0,30,30,0,0,30,30,30,0,10/27/19 8:33,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,18,11,C:/Users/hosan/Desktop/TB-subject-3.csv,legacy,4 9 7 8 5 3,Kafkaesque Koffka,3.2.8,4,y,0,right,right,right,right,NA,1178,1178,211857,8913,NA,2,legacy,6,1024,2,48000,-16,experiment,3,odd,8,412341,414348,214526,408949,410129,2660,299736,410132,359436,2667,290822,415527,411136,414348,NA,Sternberg Task,26,24003,31,yes,1024
84.375,84.375,768.6875,768.6875,black,experiment,legacy,legacy,legacy,0,uniform,1,1,undefined,left,31,31,0,31,31,0,0,31,31,0,0,31,31,31,0,10/27/19 8:33,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,19,11,C:/Users/hosan/Desktop/TB-subject-3.csv,legacy,3 9 7 6 4,Kafkaesque Koffka,3.2.8,3,y,0,left,left,right,right,NA,595,595,211857,8913,NA,2,legacy,5,1024,2,48000,-16,experiment,3,odd,7,418998,421003,214526,408949,416787,2660,299736,416790,415611,2667,290822,421599,417792,421002,NA,Sternberg Task,27,24598,32,yes,1024
84.84848485,84.84848485,762.4545455,762.4545455,black,experiment,legacy,legacy,legacy,0,uniform,1,1,undefined,left,32,32,0,32,32,0,0,32,32,0,0,32,32,32,0,10/27/19 8:33,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,20,11,C:/Users/hosan/Desktop/TB-subject-3.csv,legacy,3 5 4 7,Kafkaesque Koffka,3.2.8,1,y,0,left,left,right,right,NA,563,563,211857,8913,NA,2,legacy,4,1024,2,48000,-16,experiment,3,odd,3,425000,427005,214526,421659,422785,2660,299736,422788,415611,2667,290822,427569,423794,427004,NA,Sternberg Task,28,25161,33,yes,1024
85.29411765,85.29411765,756.0882353,756.0882353,black,experiment,legacy,legacy,legacy,0,uniform,1,1,undefined,right,33,33,0,33,33,0,0,33,33,0,0,33,33,33,0,10/27/19 8:33,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,21,11,C:/Users/hosan/Desktop/TB-subject-3.csv,legacy,6 2 9 3 8 4,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,right,NA,546,546,211857,8913,NA,2,legacy,6,1024,2,48000,-16,experiment,3,odd,1,431005,433012,214526,427639,428794,2660,299736,428797,415611,2667,290822,433558,429802,433011,NA,Sternberg Task,29,25707,34,yes,1024
