acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instruction1,correct_keyboard_response,correct_response,count_ISI,count_correctFeedback,count_expSequence,count_experiment,count_fixation,count_incorrectFeedback,count_instruction1,count_instruction2,count_keyboard_response,count_logger,count_memorySet,count_new_loop,count_practiceLoop,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practiceLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_instruction1,response_instruction2,response_keyboard_response,response_thankYou,response_time,response_time_instruction1,response_time_instruction2,response_time_keyboard_response,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_correctFeedback,time_expSequence,time_experiment,time_fixation,time_incorrectFeedback,time_instruction1,time_instruction2,time_keyboard_response,time_logger,time_memorySet,time_new_loop,time_practiceLoop,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
95.23809524,95.23809524,1312.142857,1312.142857,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,20,20,20,0,20,20,0,0,20,20,20,0,0,20,0,10/27/19 15:29,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,8,11,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,5 9 2 3,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,right,NA,1040,17297,8780,1040,NA,2,legacy,4,1024,2,48000,-16,experiment,1,odd,8,169185,165834,166977,2648,166979,37744,2652,104865,171189,172229,167982,113646,19950,171189,NA,New experiment,20,27555,21,yes,1024
90.90909091,90.90909091,1343.409091,1343.409091,black,experiment,legacy,legacy,legacy,0,uniform,0,undefined,0,left,21,21,21,0,21,21,0,0,21,21,21,0,0,21,0,10/27/19 15:29,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,9,11,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,1 4 9 3 2 5,Kafkaesque Koffka,3.2.8,3,y,0,None,right,right,None,NA,2000,17297,8780,2000,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,9,175582,172235,173373,2648,173375,37744,2652,104865,177585,179585,174379,113646,19950,177585,NA,New experiment,20,29555,22,yes,1024
91.30434783,91.30434783,1343.26087,1343.26087,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,22,22,22,0,22,22,0,0,22,22,22,0,0,22,0,10/27/19 15:29,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,10,11,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,2 8 7 9 5 3,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,right,NA,1340,17297,8780,1340,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,6,182933,172235,180724,2648,180727,179590,2652,104865,184936,186277,181730,113646,19950,184936,NA,New experiment,21,30895,23,yes,1024
91.66666667,91.66666667,1327.125,1327.125,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,23,23,23,0,23,23,0,0,23,23,23,0,0,23,0,10/27/19 15:29,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,11,11,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,8 5 1 3 9,Kafkaesque Koffka,3.2.8,4,y,0,left,right,right,left,NA,956,17297,8780,956,NA,2,legacy,5,1024,2,48000,-16,experiment,1,odd,3,189629,186282,187421,2648,187423,179590,2652,104865,191632,192589,188426,113646,19950,191632,NA,New experiment,22,31851,24,yes,1024
92,92,1317.64,1317.64,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,24,24,24,0,24,24,0,0,24,24,24,0,0,24,0,10/27/19 15:29,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,12,11,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,2 6 4 3 9,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,right,NA,1090,17297,8780,1090,NA,2,legacy,5,1024,2,48000,-16,experiment,1,odd,1,195935,192594,193727,2648,193729,179590,2652,104865,197938,199029,194732,113646,19950,197938,NA,New experiment,23,32941,25,yes,1024
92.30769231,92.30769231,1325.153846,1325.153846,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,25,25,25,0,25,25,0,0,25,25,25,0,0,25,0,10/27/19 15:29,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,13,11,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,8 5 4 2 9 6,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,right,NA,1513,17297,8780,1513,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,3,202376,199034,200168,2648,200170,179590,2652,104865,204379,205893,201173,113646,19950,204379,NA,New experiment,24,34454,26,yes,1024
92.59259259,92.59259259,1323.407407,1323.407407,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,26,26,26,0,26,26,0,0,26,26,26,0,0,26,0,10/27/19 15:29,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,14,11,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,8 5 3 7 4 6,Kafkaesque Koffka,3.2.8,6,y,0,left,right,right,left,NA,1278,17297,8780,1278,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,6,209244,205898,207036,2648,207038,179590,2652,104865,211247,212525,208041,113646,19950,211247,NA,New experiment,25,35732,27,yes,1024
92.85714286,92.85714286,1309.25,1309.25,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,27,27,27,0,27,27,0,0,27,27,27,0,0,27,0,10/27/19 15:29,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,15,11,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,3 9 6 2,Kafkaesque Koffka,3.2.8,4,y,0,left,right,right,left,NA,927,17297,8780,927,NA,2,legacy,4,1024,2,48000,-16,experiment,1,odd,2,215874,212530,213665,2648,213667,179590,2652,104865,217877,218805,214671,113646,19950,217877,NA,New experiment,26,36659,28,yes,1024
93.10344828,93.10344828,1299.137931,1299.137931,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,28,28,28,0,28,28,0,0,28,28,28,0,0,28,0,10/27/19 15:29,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,16,11,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,7 1 5 6 3,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,right,NA,1016,17297,8780,1016,NA,2,legacy,5,1024,2,48000,-16,experiment,1,odd,8,222153,218810,219946,2648,219948,179590,2652,104865,224156,225173,220951,113646,19950,224156,NA,New experiment,27,37675,29,yes,1024
93.33333333,93.33333333,1289.566667,1289.566667,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,29,29,29,0,29,29,0,0,29,29,29,0,0,29,0,10/27/19 15:29,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,17,11,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,8 9 6 1,Kafkaesque Koffka,3.2.8,2,y,0,left,right,right,left,NA,1012,17297,8780,1012,NA,2,legacy,4,1024,2,48000,-16,experiment,1,odd,9,228526,225178,226318,2648,226320,179590,2652,104865,230529,231542,227323,113646,19950,230529,NA,New experiment,28,38687,30,yes,1024
