acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instructions1,correct_new_keyboard_response,correct_response,count_ISI,count_correctFeedback,count_expSequence,count_experiment,count_experimentLoop,count_fixation,count_incorrectFeedback,count_instructions1,count_instructions2,count_logger,count_memorySet,count_new_keyboard_response,count_practiceLoop,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practiceLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_instructions1,response_instructions2,response_new_keyboard_response,response_thankYou,response_time,response_time_instructions1,response_time_instructions2,response_time_new_keyboard_response,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_correctFeedback,time_expSequence,time_experiment,time_experimentLoop,time_fixation,time_incorrectFeedback,time_instructions1,time_instructions2,time_logger,time_memorySet,time_new_keyboard_response,time_practiceLoop,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
91.20879121,91.20879121,741.5384615,741.5384615,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,90,90,90,0,0,90,90,0,0,90,90,90,0,90,0,10/14/19 14:04,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,78,11,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-2.csv,legacy,8 5 4 2 9 6,Kafkaesque Koffka,3.2.8,0,n,0,right,left,left,right,NA,567,410332,4441,567,NA,2,legacy,6,1024,2,48000,-16,experiment,2,even,3,962209,958933,960005,2207,495081,960007,917780,2213,490640,964778,961008,964210,412546,964210,NA,Sternberg task,83,67480,91,yes,1024
91.30434783,91.30434783,739.5,739.5,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,91,91,91,0,0,91,91,0,0,91,91,91,0,91,0,10/14/19 14:04,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,79,11,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-2.csv,legacy,9 8 2 7 4,Kafkaesque Koffka,3.2.8,0,n,0,right,left,left,right,NA,554,410332,4441,554,NA,2,legacy,5,1024,2,48000,-16,experiment,2,even,5,968061,964785,965857,2207,495081,965858,917780,2213,490640,970617,966860,970062,412546,970062,NA,Sternberg task,84,68034,92,yes,1024
91.39784946,91.39784946,736.1075269,736.1075269,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,92,92,92,0,0,92,92,0,0,92,92,92,0,92,0,10/14/19 14:04,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,80,11,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-2.csv,legacy,4 6 5 8,Kafkaesque Koffka,3.2.8,1,y,0,left,left,left,left,NA,424,410332,4441,424,NA,2,legacy,4,1024,2,48000,-16,experiment,2,even,4,973897,970625,971694,2207,495081,971695,917780,2213,490640,976323,972696,975898,412546,975898,NA,Sternberg task,85,68458,93,yes,1024
91.4893617,91.4893617,732.6382979,732.6382979,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,93,93,93,0,0,93,93,0,0,93,93,93,0,93,0,10/14/19 14:04,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,81,11,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-2.csv,legacy,7 6,Kafkaesque Koffka,3.2.8,2,y,0,left,left,left,left,NA,410,410332,4441,410,NA,2,legacy,2,1024,2,48000,-16,experiment,2,even,6,979604,976331,977400,2207,495081,977402,917780,2213,490640,982016,978403,981605,412546,981605,NA,Sternberg task,86,68868,94,yes,1024
91.57894737,91.57894737,732.4,732.4,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,94,94,94,0,0,94,94,0,0,94,94,94,0,94,0,10/14/19 14:04,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,82,11,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-2.csv,legacy,9 6 2 4 1,Kafkaesque Koffka,3.2.8,4,y,0,left,left,left,left,NA,710,410332,4441,710,NA,2,legacy,5,1024,2,48000,-16,experiment,2,even,4,985297,982023,983093,2207,495081,983095,917780,2213,490640,988009,984096,987298,412546,987298,NA,Sternberg task,87,69578,95,yes,1024
91.66666667,91.66666667,729.25,729.25,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,95,95,95,0,0,95,95,0,0,95,95,95,0,95,0,10/14/19 14:04,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,83,11,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-2.csv,legacy,3 9 6 2,Kafkaesque Koffka,3.2.8,4,y,0,left,left,left,left,NA,430,410332,4441,430,NA,2,legacy,4,1024,2,48000,-16,experiment,2,even,2,991289,988016,989085,2207,495081,989086,917780,2213,490640,993721,990088,993290,412546,993290,NA,Sternberg task,88,70008,96,yes,1024
91.75257732,91.75257732,729.6701031,729.6701031,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,96,96,96,0,0,96,96,0,0,96,96,96,0,96,0,10/14/19 14:04,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,84,11,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-2.csv,legacy,6 8 9 3 4 9,Kafkaesque Koffka,3.2.8,5,y,0,left,left,left,left,NA,770,410332,4441,770,NA,2,legacy,6,1024,2,48000,-16,experiment,2,even,4,997001,993727,994797,2207,495081,994798,917780,2213,490640,999774,995800,999003,412546,999003,NA,Sternberg task,89,70778,97,yes,1024
91.83673469,91.83673469,729.4489796,729.4489796,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,97,97,97,0,0,97,97,0,0,97,97,97,0,97,0,10/14/19 14:04,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,85,11,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-2.csv,legacy,8 2 1 4 5 9,Kafkaesque Koffka,3.2.8,0,n,0,right,left,left,right,NA,708,410332,4441,708,NA,2,legacy,6,1024,2,48000,-16,experiment,2,even,7,1003060,999782,1000857,2207,495081,1000858,917780,2213,490640,1005769,1001859,1005061,412546,1005061,NA,Sternberg task,90,71486,98,yes,1024
91.91919192,91.91919192,728.9292929,728.9292929,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,98,98,98,0,0,98,98,0,0,98,98,98,0,98,0,10/14/19 14:04,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,86,11,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-2.csv,legacy,4 2 7 6 1 3,Kafkaesque Koffka,3.2.8,0,n,0,right,left,left,right,NA,678,410332,4441,678,NA,2,legacy,6,1024,2,48000,-16,experiment,2,even,8,1009053,1005776,1006849,2207,495081,1006851,917780,2213,490640,1011733,1007852,1011054,412546,1011054,NA,Sternberg task,91,72164,99,yes,1024
92,92,729.7,729.7,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,99,99,99,0,0,99,99,0,0,99,99,99,0,99,0,10/14/19 14:04,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,87,11,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-2.csv,legacy,6 9 4 5 2,Kafkaesque Koffka,3.2.8,0,n,0,right,left,left,right,NA,806,410332,4441,806,NA,2,legacy,5,1024,2,48000,-16,experiment,2,even,1,1015013,1011741,1012809,2207,495081,1012811,917780,2213,490640,1017821,1013812,1017014,412546,1017014,NA,Sternberg task,92,72970,100,yes,1024
92.07920792,92.07920792,727.1386139,727.1386139,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,100,100,100,0,0,100,100,0,0,100,100,100,0,100,0,10/14/19 14:04,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,88,11,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-2.csv,legacy,4 3 2 5 8,Kafkaesque Koffka,3.2.8,2,y,0,left,left,left,left,NA,471,410332,4441,471,NA,2,legacy,5,1024,2,48000,-16,experiment,2,even,3,1021102,1017828,1018897,2207,495081,1018899,917780,2213,490640,1023575,1019901,1023103,412546,1023103,NA,Sternberg task,93,73441,101,yes,1024
