acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_Instruction1,correct_keyboard_response,correct_response,count_CorrectFeedback,count_ExpSequence,count_ExperimentLoop,count_Fixation,count_ISI,count_Instruction1,count_Instructions2,count_MemorySet,count_PracticeLoop,count_Probe,count_ThankYou,count_experiment,count_incorrectFeedback,count_keyboard_response,count_logger,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_PracticeLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_Instruction1,response_Instructions2,response_ThankYou,response_keyboard_response,response_time,response_time_Instruction1,response_time_Instructions2,response_time_ThankYou,response_time_keyboard_response,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_CorrectFeedback,time_ExpSequence,time_ExperimentLoop,time_Fixation,time_ISI,time_Instruction1,time_Instructions2,time_MemorySet,time_PracticeLoop,time_Probe,time_ThankYou,time_experiment,time_incorrectFeedback,time_keyboard_response,time_logger,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,805.5714286,805.5714286,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,20,20,0,20,20,0,0,20,0,20,0,0,20,20,20,10/27/19 18:52,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,8,11,E:/Classwork/AQMAED/Stenberg/MA-subject-2.csv,legacy,8 9,Kafkaesque Koffka,3.2.8,0,n,0,right,left,left,NA,right,658,152975,81019,NA,658,2,legacy,2,1024,2,48000,-16,experiment,2,even,5,361801,362907,314335,362909,365119,2962,233315,363913,155937,367121,NA,2957,NA,367121,367779,Sternberg Task,21,16917,21,yes,1024
100,100,806.7727273,806.7727273,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,21,21,0,21,21,0,0,21,0,21,0,0,21,21,21,10/27/19 18:52,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,9,11,E:/Classwork/AQMAED/Stenberg/MA-subject-2.csv,legacy,7 9 1 6,Kafkaesque Koffka,3.2.8,0,n,0,right,left,left,NA,right,832,152975,81019,NA,832,2,legacy,4,1024,2,48000,-16,experiment,2,even,4,367792,368891,314335,368893,371103,2962,233315,369897,155937,373107,NA,2957,NA,373108,373940,Sternberg Task,22,17749,22,yes,1024
100,100,803.826087,803.826087,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,22,22,0,22,22,0,0,22,0,22,0,0,22,22,22,10/27/19 18:52,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,10,11,E:/Classwork/AQMAED/Stenberg/MA-subject-2.csv,legacy,3 9 1,Kafkaesque Koffka,3.2.8,0,n,0,right,left,left,NA,right,739,152975,81019,NA,739,2,legacy,3,1024,2,48000,-16,experiment,2,even,7,373949,375059,314335,375061,377271,2962,233315,376065,155937,379275,NA,2957,NA,379275,380015,Sternberg Task,23,18488,23,yes,1024
100,100,801.375,801.375,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,23,23,0,23,23,0,0,23,0,23,0,0,23,23,23,10/27/19 18:52,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,11,11,E:/Classwork/AQMAED/Stenberg/MA-subject-2.csv,legacy,2 8 9 4 1,Kafkaesque Koffka,3.2.8,0,n,0,right,left,left,NA,right,745,152975,81019,NA,745,2,legacy,5,1024,2,48000,-16,experiment,2,even,5,380022,381129,314335,381131,383341,2962,233315,382136,155937,385346,NA,2957,NA,385346,386091,Sternberg Task,24,19233,24,yes,1024
96,96,814.24,814.24,black,experiment,legacy,legacy,legacy,0,uniform,0,undefined,0,left,24,24,0,24,24,0,0,24,0,24,0,0,24,24,24,10/27/19 18:52,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,12,11,E:/Classwork/AQMAED/Stenberg/MA-subject-2.csv,legacy,6 1 2,Kafkaesque Koffka,3.2.8,3,y,0,right,left,left,NA,right,1123,152975,81019,NA,1123,2,legacy,3,1024,2,48000,-16,experiment,2,even,2,386095,387193,314335,387194,389404,2962,233315,388199,155937,391410,NA,2957,NA,391410,392534,Sternberg Task,24,20356,25,yes,1024
96.15384615,96.15384615,819.8076923,819.8076923,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,25,25,0,25,25,0,0,25,0,25,0,0,25,25,25,10/27/19 18:52,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,13,11,E:/Classwork/AQMAED/Stenberg/MA-subject-2.csv,legacy,6 9 5,Kafkaesque Koffka,3.2.8,0,n,0,right,left,left,NA,right,959,152975,81019,NA,959,2,legacy,3,1024,2,48000,-16,experiment,2,even,8,386095,393648,314335,393650,395860,2962,233315,394655,155937,397864,NA,2957,392540,397865,398824,Sternberg Task,25,21315,26,yes,1024
96.2962963,96.2962963,817.5185185,817.5185185,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,26,26,0,26,26,0,0,26,0,26,0,0,26,26,26,10/27/19 18:52,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,14,11,E:/Classwork/AQMAED/Stenberg/MA-subject-2.csv,legacy,6 8 4,Kafkaesque Koffka,3.2.8,0,n,0,right,left,left,NA,right,758,152975,81019,NA,758,2,legacy,3,1024,2,48000,-16,experiment,2,even,1,398829,399923,314335,399925,402134,2962,233315,400930,155937,404140,NA,2957,392540,404140,404899,Sternberg Task,26,22073,27,yes,1024
96.42857143,96.42857143,821.25,821.25,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,27,27,0,27,27,0,0,27,0,27,0,0,27,27,27,10/27/19 18:52,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,15,11,E:/Classwork/AQMAED/Stenberg/MA-subject-2.csv,legacy,7 1 3,Kafkaesque Koffka,3.2.8,2,y,0,left,left,left,NA,left,922,152975,81019,NA,922,2,legacy,3,1024,2,48000,-16,experiment,2,even,1,404904,405987,314335,405989,408198,2962,233315,406993,155937,410203,NA,2957,392540,410203,411125,Sternberg Task,27,22995,28,yes,1024
96.55172414,96.55172414,824.4137931,824.4137931,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,28,28,0,28,28,0,0,28,0,28,0,0,28,28,28,10/27/19 18:52,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,16,11,E:/Classwork/AQMAED/Stenberg/MA-subject-2.csv,legacy,8 5 3 7 4 6,Kafkaesque Koffka,3.2.8,6,y,0,left,left,left,NA,left,913,152975,81019,NA,913,2,legacy,6,1024,2,48000,-16,experiment,2,even,6,411136,412243,314335,412244,414453,2962,233315,413248,155937,416458,NA,2957,392540,416458,417372,Sternberg Task,28,23908,29,yes,1024
96.66666667,96.66666667,821.8333333,821.8333333,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,29,29,0,29,29,0,0,29,0,29,0,0,29,29,29,10/27/19 18:52,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,17,11,E:/Classwork/AQMAED/Stenberg/MA-subject-2.csv,legacy,2 6 4 3 9,Kafkaesque Koffka,3.2.8,0,n,0,right,left,left,NA,right,747,152975,81019,NA,747,2,legacy,5,1024,2,48000,-16,experiment,2,even,1,417379,418482,314335,418483,420691,2962,233315,419488,155937,422696,NA,2957,392540,422696,423443,Sternberg Task,29,24655,30,yes,1024
