acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instruction1,correct_keyboard_response,correct_response,count_ISI,count_correctFeedback,count_experiment,count_experimentLoop,count_fixation,count_incorrectFeedback,count_instruction1,count_instructions2,count_keyboard_response,count_logger,count_memorySet,count_memorySet_1,count_practiceLoop,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practiceLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_incorrectFeedback,response_instruction1,response_instructions2,response_keyboard_response,response_thankYou,response_time,response_time_incorrectFeedback,response_time_instruction1,response_time_instructions2,response_time_keyboard_response,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_correctFeedback,time_experiment,time_experimentLoop,time_fixation,time_incorrectFeedback,time_instruction1,time_instructions2,time_keyboard_response,time_logger,time_memorySet,time_memorySet_1,time_practiceLoop,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
93.39622642,93.39622642,678.8867925,678.8867925,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,105,105,0,0,105,105,0,0,105,105,105,105,0,105,0,Sun Oct 20 20:49:33 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,no,768,legacy,93,11,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,9,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,left,right,NA,465,2710,520589,6716,465,NA,2,legacy,1,1024,2,48000,-16,experiment,1,odd,6,1229715,1226103,5284,608595,1227463,1077402,5350,601875,1231740,1232214,1227435,1228489,525956,1231740,NA,Sternberg task,99,71962,106,yes,1024
93.45794393,93.45794393,682.6074766,682.6074766,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,106,106,0,0,106,106,0,0,106,106,106,106,0,106,0,Sun Oct 20 20:49:33 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,no,768,legacy,94,11,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,1 4 9 2 5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,left,right,NA,1077,2710,520589,6716,1077,NA,2,legacy,5,1024,2,48000,-16,experiment,1,odd,7,1235863,1232252,5284,608595,1233613,1077402,5350,601875,1237889,1238974,1233586,1234638,525956,1237889,NA,Sternberg task,100,73039,107,yes,1024
93.51851852,93.51851852,682.3703704,682.3703704,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,107,107,0,0,107,107,0,0,107,107,107,107,0,107,0,Sun Oct 20 20:49:33 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,no,768,legacy,95,11,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,2 4 6 9,Kafkaesque Koffka,3.2.8,3,y,0,left,right,right,left,left,NA,657,2710,520589,6716,657,NA,2,legacy,4,1024,2,48000,-16,experiment,1,odd,6,1242620,1239009,5284,608595,1240369,1077402,5350,601875,1244646,1245311,1240339,1241394,525956,1244645,NA,Sternberg task,101,73696,108,yes,1024
93.57798165,93.57798165,683.0183486,683.0183486,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,108,108,0,0,108,108,0,0,108,108,108,108,0,108,0,Sun Oct 20 20:49:33 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,no,768,legacy,96,11,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,7,Kafkaesque Koffka,3.2.8,1,y,0,left,right,right,left,left,NA,753,2710,520589,6716,753,NA,2,legacy,1,1024,2,48000,-16,experiment,1,odd,7,1248956,1245346,5284,608595,1246705,1077402,5350,601875,1250982,1251743,1246676,1247730,525956,1250982,NA,Sternberg task,102,74449,109,yes,1024
93.63636364,93.63636364,683.3363636,683.3363636,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,109,109,0,0,109,109,0,0,109,109,109,109,0,109,0,Sun Oct 20 20:49:33 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,no,768,legacy,97,11,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,6 9 4 5 3 2,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,left,right,NA,718,2710,520589,6716,718,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,8,1255388,1251776,5284,608595,1253137,1077402,5350,601875,1257414,1258140,1253103,1254162,525956,1257414,NA,Sternberg task,103,75167,110,yes,1024
93.69369369,93.69369369,684.1891892,684.1891892,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,110,110,0,0,110,110,0,0,110,110,110,110,0,110,0,Sun Oct 20 20:49:33 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,no,768,legacy,98,11,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,9 3 8 2 1 4,Kafkaesque Koffka,3.2.8,3,y,0,left,right,right,left,left,NA,778,2710,520589,6716,778,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,8,1261784,1258175,5284,608595,1259534,1077402,5350,601875,1263811,1264598,1259505,1260559,525956,1263810,NA,Sternberg task,104,75945,111,yes,1024
92.85714286,92.85714286,686.8303571,686.8303571,black,experiment,legacy,legacy,legacy,0,uniform,0,undefined,0,left,111,111,0,0,111,111,0,0,111,111,111,111,0,111,0,Sun Oct 20 20:49:33 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,no,768,legacy,99,11,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,6 8 9 3 4 9,Kafkaesque Koffka,3.2.8,5,y,0,right,right,right,left,right,NA,980,2710,520589,6716,980,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,4,1268240,1264632,5284,608595,1265991,1077402,5350,601875,1270266,1271255,1265958,1267015,525956,1270265,NA,Sternberg task,104,76925,112,yes,1024
92.03539823,92.03539823,690.079646,690.079646,black,experiment,legacy,legacy,legacy,0,uniform,0,undefined,0,left,112,112,0,0,112,112,0,0,112,112,112,112,0,112,0,Sun Oct 20 20:49:33 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,no,768,legacy,100,11,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,3 4 9 6 2 9,Kafkaesque Koffka,3.2.8,5,y,0,right,left,right,left,right,NA,1054,3942,520589,6716,1054,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,2,1277869,1264632,5284,608595,1275617,1271290,5350,601875,1279895,1280957,1275591,1276643,525956,1279895,NA,Sternberg task,104,77979,113,yes,1024
92.10526316,92.10526316,690.0175439,690.0175439,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,113,113,0,0,113,113,0,0,113,113,113,113,0,113,0,Sun Oct 20 20:49:33 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,no,768,legacy,101,11,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,9 8 2 7 4,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,left,right,NA,683,4891,520589,6716,683,NA,2,legacy,5,1024,2,48000,-16,experiment,1,odd,5,1288517,1264632,5284,608595,1286261,1280993,5350,601875,1290543,1291236,1286236,1287289,525956,1290543,NA,Sternberg task,105,78662,114,yes,1024
92.17391304,92.17391304,690.173913,690.173913,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,114,114,0,0,114,114,0,0,114,114,114,114,0,114,0,Sun Oct 20 20:49:33 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,no,768,legacy,102,11,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,8,Kafkaesque Koffka,3.2.8,1,y,0,left,right,right,left,left,NA,708,4891,520589,6716,708,NA,2,legacy,1,1024,2,48000,-16,experiment,1,odd,8,1294880,1291272,5284,608595,1292630,1280993,5350,601875,1296906,1297623,1292602,1293655,525956,1296906,NA,Sternberg task,106,79370,115,yes,1024
92.24137931,92.24137931,691.9137931,691.9137931,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,115,115,0,0,115,115,0,0,115,115,115,115,0,115,0,Sun Oct 20 20:49:33 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,no,768,legacy,103,11,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,6 7 5 9,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,left,right,NA,892,4891,520589,6716,892,NA,2,legacy,4,1024,2,48000,-16,experiment,1,odd,2,1301273,1297658,5284,608595,1299022,1280993,5350,601875,1303298,1304198,1298987,1300047,525956,1303298,NA,Sternberg task,107,80262,116,yes,1024
