"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_ISI","correct_instruction1","correct_new_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instruction2","count_logger","count_memorySet","count_new_keyboard_response","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_ISI","response_instruction1","response_instruction2","response_new_keyboard_response","response_thankYou","response_time","response_time_ISI","response_time_instruction1","response_time_instruction2","response_time_new_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instruction2","time_logger","time_memorySet","time_new_keyboard_response","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"85.7142857143","85.7142857143","1016.42857143","1016.42857143","black","experiment","legacy","legacy","legacy","0","uniform","1","0","undefined","1","right","20","20","20","0","0","20","20","0","0","20","20","20","0","20","0","Sun Oct  7 19:02:45 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","8","11","/Volumes/USB20FD/subject-3 m.csv","legacy","2 8 6 3 1","Kafkaesque Koffka","3.2.5","0","n","0","right","up","right","up","right","NA","705","2968","317853","340810","705","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","7","793073","789725","790830","2377","746574","790839","783930","2397","405762","796759","791856","796052","320256","796052","NA","Sternberg Task","18","21345","21","yes","1024"
"86.3636363636","86.3636363636","1018.63636364","1018.63636364","black","experiment","legacy","legacy","legacy","0","uniform","1","0","undefined","1","right","21","21","21","0","0","21","21","0","0","21","21","21","0","21","0","Sun Oct  7 19:02:45 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","9","11","/Volumes/USB20FD/subject-3 m.csv","legacy","5 2","Kafkaesque Koffka","3.2.5","0","n","0","right","up","right","up","right","NA","1065","21","317853","340810","1065","NA","2","legacy","2","1024","2","48000","-16","experiment","3","odd","7","800119","796771","797878","2377","746574","797887","783930","2397","405762","801219","798904","800152","320256","800152","NA","Sternberg Task","19","22410","22","yes","1024"
"86.9565217391","86.9565217391","1018.91304348","1018.91304348","black","experiment","legacy","legacy","legacy","0","uniform","1","0","undefined","1","right","22","22","22","0","0","22","22","0","0","22","22","22","0","22","0","Sun Oct  7 19:02:45 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","10","11","/Volumes/USB20FD/subject-3 m.csv","legacy","2 7 5","Kafkaesque Koffka","3.2.5","0","n","0","right","up","right","up","right","NA","1025","194","317853","340810","1025","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","8","804577","801231","802335","2377","746574","802345","783930","2397","405762","805808","803361","804782","320256","804782","NA","Sternberg Task","20","23435","23","yes","1024"
"87.5","87.5","1005.41666667","1005.41666667","black","experiment","legacy","legacy","legacy","0","uniform","1","0","undefined","1","left","23","23","23","0","0","23","23","0","0","23","23","23","0","23","0","Sun Oct  7 19:02:45 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","11","11","/Volumes/USB20FD/subject-3 m.csv","legacy","8 1 6","Kafkaesque Koffka","3.2.5","3","y","0","left","up","right","up","left","NA","695","341","317853","340810","695","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","6","809166","805821","806925","2377","746574","806935","783930","2397","405762","810214","807950","809518","320256","809518","NA","Sternberg Task","21","24130","24","yes","1024"
"88","88","993.88","993.88","black","experiment","legacy","legacy","legacy","0","uniform","1","0","undefined","1","right","24","24","24","0","0","24","24","0","0","24","24","24","0","24","0","Sun Oct  7 19:02:45 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","12","11","/Volumes/USB20FD/subject-3 m.csv","legacy","5 3 8 7 2 4","Kafkaesque Koffka","3.2.5","0","n","0","right","up","right","up","right","NA","717","1459","317853","340810","717","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","9","813580","810227","811336","2377","746574","811346","783930","2397","405762","815770","812361","815051","320256","815051","NA","Sternberg Task","22","24847","25","yes","1024"
"88.4615384615","88.4615384615","988.769230769","988.769230769","black","experiment","legacy","legacy","legacy","0","uniform","1","0","undefined","1","left","25","25","25","0","0","25","25","0","0","25","25","25","0","25","0","Sun Oct  7 19:02:45 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","13","11","/Volumes/USB20FD/subject-3 m.csv","legacy","8 9 6 1","Kafkaesque Koffka","3.2.5","2","y","0","left","up","right","up","left","NA","861","716","317853","340810","861","NA","2","legacy","4","1024","2","48000","-16","experiment","3","odd","9","819129","815784","816890","2377","746574","816900","783930","2397","405762","820719","817913","819857","320256","819857","NA","Sternberg Task","23","25708","26","yes","1024"
"88.8888888889","88.8888888889","977.518518519","977.518518519","black","experiment","legacy","legacy","legacy","0","uniform","1","0","undefined","1","right","26","26","26","0","0","26","26","0","0","26","26","26","0","26","0","Sun Oct  7 19:02:45 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","14","11","/Volumes/USB20FD/subject-3 m.csv","legacy","1 4 9 2 5","Kafkaesque Koffka","3.2.5","0","n","0","right","up","right","up","right","NA","685","418","317853","340810","685","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","7","824073","820733","821840","2377","746574","821850","783930","2397","405762","825190","822864","824503","320256","824503","NA","Sternberg Task","24","26393","27","yes","1024"
"89.2857142857","89.2857142857","961","961","black","experiment","legacy","legacy","legacy","0","uniform","1","0","undefined","1","left","27","27","27","0","0","27","27","0","0","27","27","27","0","27","0","Sun Oct  7 19:02:45 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","15","11","/Volumes/USB20FD/subject-3 m.csv","legacy","5 7 8 2 3 8","Kafkaesque Koffka","3.2.5","5","y","0","left","up","right","up","left","NA","515","614","317853","340810","515","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","3","828555","825203","826307","2377","746574","826320","783930","2397","405762","829698","827337","829181","320256","829181","NA","Sternberg Task","25","26908","28","yes","1024"
"89.6551724138","89.6551724138","952.137931034","952.137931034","black","experiment","legacy","legacy","legacy","0","uniform","1","0","undefined","1","right","28","28","28","0","0","28","28","0","0","28","28","28","0","28","0","Sun Oct  7 19:02:45 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","16","11","/Volumes/USB20FD/subject-3 m.csv","legacy","7 1","Kafkaesque Koffka","3.2.5","0","n","0","right","up","right","up","right","NA","704","2439","317853","340810","704","NA","2","legacy","2","1024","2","48000","-16","experiment","3","odd","8","833054","829710","830818","2377","746574","830828","783930","2397","405762","836211","831838","835505","320256","835504","NA","Sternberg Task","26","27612","29","yes","1024"
"90","90","938.8","938.8","black","experiment","legacy","legacy","legacy","0","uniform","1","0","undefined","1","left","29","29","29","0","0","29","29","0","0","29","29","29","0","29","0","Sun Oct  7 19:02:45 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","17","11","/Volumes/USB20FD/subject-3 m.csv","legacy","9 5 8 1","Kafkaesque Koffka","3.2.5","2","y","0","left","up","right","up","left","NA","552","820","317853","340810","552","NA","2","legacy","4","1024","2","48000","-16","experiment","3","odd","5","839573","836225","837332","2377","746574","837342","783930","2397","405762","840959","838357","840405","320256","840405","NA","Sternberg Task","27","28164","30","yes","1024"
