"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instructions2","count_keyboard_response","count_memorySet","count_new_logger","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instructions2","time_keyboard_response","time_memorySet","time_new_logger","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"85.7142857143","85.7142857143","722.095238095","722.095238095","black","experiment","xpyriment","legacy","legacy","0","uniform","1","undefined","1","right","20","20","20","0","0","20","20","0","0","20","20","20","0","20","0","10/07/18 21:32:44","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","8","11","C:/Users/Owner/Documents/ctsubject-1.csv","xpyriment","8 4 3 9","Kafkaesque Koffka","3.2.5","0","n","0","right","right","left","right","NA","584","66083","12480","584","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","5","218899","214962","216589","1719","163301","216651","201605","1751","150820","220903","217683","221488","67835","220903","NA","Sternburg task","18","15164","21","yes","1024"
"86.3636363636","86.3636363636","720.227272727","720.227272727","black","experiment","xpyriment","legacy","legacy","0","uniform","1","undefined","1","left","21","21","21","0","0","21","21","0","0","21","21","21","0","21","0","10/07/18 21:32:44","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","9","11","C:/Users/Owner/Documents/ctsubject-1.csv","xpyriment","9 1 6 7 8","Kafkaesque Koffka","3.2.5","1","y","0","left","right","left","left","NA","681","66083","12480","681","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","9","225472","221541","223183","1719","163301","223233","201605","1751","150820","227475","224268","228158","67835","227475","NA","Sternburg task","19","15845","22","yes","1024"
"86.9565217391","86.9565217391","712.782608696","712.782608696","black","experiment","xpyriment","legacy","legacy","0","uniform","1","undefined","1","right","22","22","22","0","0","22","22","0","0","22","22","22","0","22","0","10/07/18 21:32:44","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","10","11","C:/Users/Owner/Documents/ctsubject-1.csv","xpyriment","5 9 2 3","Kafkaesque Koffka","3.2.5","0","n","0","right","right","left","right","NA","549","66083","12480","549","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","8","232127","228191","229850","1719","163301","229896","201605","1751","150820","234143","230922","234693","67835","234143","NA","Sternburg task","20","16394","23","yes","1024"
"87.5","87.5","711.208333333","711.208333333","black","experiment","xpyriment","legacy","legacy","0","uniform","1","undefined","1","right","23","23","23","0","0","23","23","0","0","23","23","23","0","23","0","10/07/18 21:32:44","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","11","11","C:/Users/Owner/Documents/ctsubject-1.csv","xpyriment","7 3 2 8","Kafkaesque Koffka","3.2.5","0","n","0","right","right","left","right","NA","675","66083","12480","675","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","4","238703","234731","236423","1719","163301","236468","201605","1751","150820","240706","237499","241383","67835","240706","NA","Sternburg task","21","17069","24","yes","1024"
"88","88","706.2","706.2","black","experiment","xpyriment","legacy","legacy","0","uniform","1","undefined","1","right","24","24","24","0","0","24","24","0","0","24","24","24","0","24","0","10/07/18 21:32:44","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","12","11","C:/Users/Owner/Documents/ctsubject-1.csv","xpyriment","1 7 5 2 9","Kafkaesque Koffka","3.2.5","0","n","0","right","right","left","right","NA","586","66083","12480","586","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","3","245391","241438","243110","1719","163301","243159","201605","1751","150820","247394","244187","247982","67835","247394","NA","Sternburg task","22","17655","25","yes","1024"
"84.6153846154","84.6153846154","698.269230769","698.269230769","black","experiment","xpyriment","legacy","legacy","0","uniform","0","undefined","0","right","25","25","25","0","0","25","25","0","0","25","25","25","0","25","0","10/07/18 21:32:44","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","13","11","C:/Users/Owner/Documents/ctsubject-1.csv","xpyriment","6 2 9 3 8 4","Kafkaesque Koffka","3.2.5","0","n","0","left","right","left","left","NA","500","66083","12480","500","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","1","251981","248034","249676","1719","163301","249728","201605","1751","150820","253985","250765","254486","67835","253984","NA","Sternburg task","22","18155","26","yes","1024"
"85.1851851852","85.1851851852","689.555555556","689.555555556","black","experiment","xpyriment","legacy","legacy","0","uniform","1","undefined","1","right","26","26","26","0","0","26","26","0","0","26","26","26","0","26","0","10/07/18 21:32:44","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","14","11","C:/Users/Owner/Documents/ctsubject-1.csv","xpyriment","6 3 1 7 9 8","Kafkaesque Koffka","3.2.5","0","n","0","right","right","left","right","NA","463","66083","12480","463","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","4","258503","248034","256210","1719","163301","256258","254559","1751","150820","260519","257286","260982","67835","260519","NA","Sternburg task","23","18618","27","yes","1024"
"82.1428571429","82.1428571429","686.75","686.75","black","experiment","xpyriment","legacy","legacy","0","uniform","0","undefined","0","left","27","27","27","0","0","27","27","0","0","27","27","27","0","27","0","10/07/18 21:32:44","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","15","11","C:/Users/Owner/Documents/ctsubject-1.csv","xpyriment","3 4 9 6 2 9","Kafkaesque Koffka","3.2.5","5","y","0","right","right","left","right","NA","611","66083","12480","611","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","2","264944","261013","262667","1719","163301","262712","254559","1751","150820","266959","263740","267572","67835","266959","NA","Sternburg task","23","19229","28","yes","1024"
"79.3103448276","79.3103448276","682.068965517","682.068965517","black","experiment","xpyriment","legacy","legacy","0","uniform","0","undefined","0","right","28","28","28","0","0","28","28","0","0","28","28","28","0","28","0","10/07/18 21:32:44","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","16","11","C:/Users/Owner/Documents/ctsubject-1.csv","xpyriment","5 3 2 6 9 8","Kafkaesque Koffka","3.2.5","0","n","0","left","right","left","left","NA","551","66083","12480","551","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","4","271552","261013","269261","1719","163301","269319","267615","1751","150820","273555","270348","274108","67835","273555","NA","Sternburg task","23","19780","29","yes","1024"
"80","80","678.533333333","678.533333333","black","experiment","xpyriment","legacy","legacy","0","uniform","1","undefined","1","right","29","29","29","0","0","29","29","0","0","29","29","29","0","29","0","10/07/18 21:32:44","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","17","11","C:/Users/Owner/Documents/ctsubject-1.csv","xpyriment","4 2 6 9","Kafkaesque Koffka","3.2.5","0","n","0","right","right","left","right","NA","576","66083","12480","576","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","7","278158","261013","275851","1719","163301","275902","274138","1751","150820","280161","276941","280738","67835","280161","NA","Sternburg task","24","20356","30","yes","1024"
"77.4193548387","77.4193548387","678.387096774","678.387096774","black","experiment","xpyriment","legacy","legacy","0","uniform","0","undefined","0","left","30","30","30","0","0","30","30","0","0","30","30","30","0","30","0","10/07/18 21:32:44","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","18","11","C:/Users/Owner/Documents/ctsubject-1.csv","xpyriment","8 3","Kafkaesque Koffka","3.2.5","2","y","0","right","right","left","right","NA","674","66083","12480","674","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","3","284737","280802","282463","1719","163301","282507","274138","1751","150820","286740","283532","287415","67835","286740","NA","Sternburg task","24","21030","31","yes","1024"
"78.125","78.125","686.5625","686.5625","black","experiment","xpyriment","legacy","legacy","0","uniform","1","undefined","1","right","31","31","31","0","0","31","31","0","0","31","31","31","0","31","0","10/07/18 21:32:44","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","19","11","C:/Users/Owner/Documents/ctsubject-1.csv","xpyriment","6 9 4 5 2","Kafkaesque Koffka","3.2.5","0","n","0","right","right","left","right","NA","940","66083","12480","940","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","1","291454","280802","289159","1719","163301","289222","287474","1751","150820","293458","290250","294399","67835","293458","NA","Sternburg task","25","21970","32","yes","1024"
"78.7878787879","78.7878787879","684.909090909","684.909090909","black","experiment","xpyriment","legacy","legacy","0","uniform","1","undefined","1","right","32","32","32","0","0","32","32","0","0","32","32","32","0","32","0","10/07/18 21:32:44","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","20","11","C:/Users/Owner/Documents/ctsubject-1.csv","xpyriment","7 9 1 6","Kafkaesque Koffka","3.2.5","0","n","0","right","right","left","right","NA","632","66083","12480","632","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","4","298427","294464","296135","1719","163301","296193","287474","1751","150820","300430","297222","301063","67835","300430","NA","Sternburg task","26","22602","33","yes","1024"
