"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Keyboard_response","correct_instructions1","correct_response","count_Fixation","count_ISI","count_Keyboard_response","count_Logger","count_Probe","count_Thankyou","count_correctFeedback","count_expSequence","count_experiment","count_experimentalLoop","count_incorrectFeedback","count_instructions1","count_instructions2","count_memorySet","count_practiceLoop","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_Keyboard_response","response_Thankyou","response_instructions1","response_instructions2","response_time","response_time_Keyboard_response","response_time_Thankyou","response_time_instructions1","response_time_instructions2","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_Fixation","time_ISI","time_Keyboard_response","time_Logger","time_Probe","time_Thankyou","time_correctFeedback","time_expSequence","time_experiment","time_experimentalLoop","time_incorrectFeedback","time_instructions1","time_instructions2","time_memorySet","time_practiceLoop","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"82.3529411765","82.3529411765","1167","1167","black","experiment","legacy","legacy","legacy","0","uniform","1","1","undefined","left","67","67","67","67","67","0","67","67","0","0","67","0","0","67","0","10/23/22 19:28:13","The main experiment item","yes","Sternbergtask.osexp","C:\Users\ayesh\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","55","11","C:/Users/ayesh/OneDrive/Desktop/MK-subject-4.csv","legacy","7 1 8 5 6 2","Lentiform Loewenfeld","3.3.12","2","y","0","left","left","NA","return","return","1062","1062","NA","52389","10446","2","legacy","6","1024","2","48000","-16","experiment","4","even","1","502869","505072","507073","508136","507073","NA","501797","502868","6688","149553","232598","6692","139106","503870","59081","Sternberg task ","56","79356","68","yes","1024"
"82.6086956522","82.6086956522","1166.89855072","1166.89855072","black","experiment","legacy","legacy","legacy","0","uniform","1","1","undefined","right","68","68","68","68","68","0","68","68","0","0","68","0","0","68","0","10/23/22 19:28:13","The main experiment item","yes","Sternbergtask.osexp","C:\Users\ayesh\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","56","11","C:/Users/ayesh/OneDrive/Desktop/MK-subject-4.csv","legacy","5 9 2 3","Lentiform Loewenfeld","3.3.12","0","n","0","right","right","NA","return","return","1160","1160","NA","52389","10446","2","legacy","4","1024","2","48000","-16","experiment","4","even","8","509225","511430","513432","514593","513432","NA","508140","509224","6688","149553","232598","6692","139106","510226","59081","Sternberg task ","57","80516","69","yes","1024"
"81.4285714286","81.4285714286","1168.94285714","1168.94285714","black","experiment","legacy","legacy","legacy","0","uniform","0","0","undefined","left","69","69","69","69","69","0","69","69","0","0","69","0","0","69","0","10/23/22 19:28:13","The main experiment item","yes","Sternbergtask.osexp","C:\Users\ayesh\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","57","11","C:/Users/ayesh/OneDrive/Desktop/MK-subject-4.csv","legacy","8 9 5 7 1 6","Lentiform Loewenfeld","3.3.12","4","y","0","right","right","NA","return","return","1310","1310","NA","52389","10446","2","legacy","6","1024","2","48000","-16","experiment","4","even","7","515668","517873","519874","521185","519874","NA","514597","515666","6688","149553","232598","6692","139106","516669","59081","Sternberg task ","57","81826","70","yes","1024"
"81.6901408451","81.6901408451","1167.52112676","1167.52112676","black","experiment","legacy","legacy","legacy","0","uniform","1","1","undefined","left","70","70","70","70","70","0","70","70","0","0","70","0","0","70","0","10/23/22 19:28:13","The main experiment item","yes","Sternbergtask.osexp","C:\Users\ayesh\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","58","11","C:/Users/ayesh/OneDrive/Desktop/MK-subject-4.csv","legacy","6 1 2","Lentiform Loewenfeld","3.3.12","3","y","0","left","left","NA","return","return","1068","1068","NA","52389","10446","2","legacy","3","1024","2","48000","-16","experiment","4","even","2","522261","524466","526468","527537","526468","NA","514597","522259","6688","149553","521189","6692","139106","523262","59081","Sternberg task ","58","82894","71","yes","1024"
"81.9444444444","81.9444444444","1171.73611111","1171.73611111","black","experiment","legacy","legacy","legacy","0","uniform","1","1","undefined","right","71","71","71","71","71","0","71","71","0","0","71","0","0","71","0","10/23/22 19:28:13","The main experiment item","yes","Sternbergtask.osexp","C:\Users\ayesh\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","59","11","C:/Users/ayesh/OneDrive/Desktop/MK-subject-4.csv","legacy","2 8 6 3 1","Lentiform Loewenfeld","3.3.12","0","n","0","right","right","NA","return","return","1471","1471","NA","52389","10446","2","legacy","5","1024","2","48000","-16","experiment","4","even","7","528612","530816","532817","534289","532817","NA","527540","528610","6688","149553","521189","6692","139106","529613","59081","Sternberg task ","59","84365","72","yes","1024"
"82.1917808219","82.1917808219","1170.01369863","1170.01369863","black","experiment","legacy","legacy","legacy","0","uniform","1","1","undefined","right","72","72","72","72","72","0","72","72","0","0","72","0","0","72","0","10/23/22 19:28:13","The main experiment item","yes","Sternbergtask.osexp","C:\Users\ayesh\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","60","11","C:/Users/ayesh/OneDrive/Desktop/MK-subject-4.csv","legacy","2 5 1 4","Lentiform Loewenfeld","3.3.12","0","n","0","right","right","NA","return","return","1046","1046","NA","52389","10446","2","legacy","4","1024","2","48000","-16","experiment","4","even","6","535364","537569","539570","540617","539570","NA","534293","535362","6688","149553","521189","6692","139106","536365","59081","Sternberg task ","60","85411","73","yes","1024"
"82.4324324324","82.4324324324","1171.04054054","1171.04054054","black","experiment","legacy","legacy","legacy","0","uniform","1","1","undefined","right","73","73","73","73","73","0","73","73","0","0","73","0","0","73","0","10/23/22 19:28:13","The main experiment item","yes","Sternbergtask.osexp","C:\Users\ayesh\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","61","11","C:/Users/ayesh/OneDrive/Desktop/MK-subject-4.csv","legacy","1 4 9 3","Lentiform Loewenfeld","3.3.12","0","n","0","right","right","NA","return","return","1246","1246","NA","52389","10446","2","legacy","4","1024","2","48000","-16","experiment","4","even","5","541699","543904","545906","547154","545905","NA","540620","541697","6688","149553","521189","6692","139106","542700","59081","Sternberg task ","61","86657","74","yes","1024"
"82.6666666667","82.6666666667","1173.48","1173.48","black","experiment","legacy","legacy","legacy","0","uniform","1","1","undefined","left","74","74","74","74","74","0","74","74","0","0","74","0","0","74","0","10/23/22 19:28:13","The main experiment item","yes","Sternbergtask.osexp","C:\Users\ayesh\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","62","11","C:/Users/ayesh/OneDrive/Desktop/MK-subject-4.csv","legacy","1 4 9 3 2 5","Lentiform Loewenfeld","3.3.12","3","y","0","left","left","NA","return","return","1354","1354","NA","52389","10446","2","legacy","6","1024","2","48000","-16","experiment","4","even","9","548240","550445","552446","553801","552446","NA","547158","548238","6688","149553","521189","6692","139106","549241","59081","Sternberg task ","62","88011","75","yes","1024"
"82.8947368421","82.8947368421","1177.78947368","1177.78947368","black","experiment","legacy","legacy","legacy","0","uniform","1","1","undefined","right","75","75","75","75","75","0","75","75","0","0","75","0","0","75","0","10/23/22 19:28:13","The main experiment item","yes","Sternbergtask.osexp","C:\Users\ayesh\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","63","11","C:/Users/ayesh/OneDrive/Desktop/MK-subject-4.csv","legacy","2 8 7 9 5 3","Lentiform Loewenfeld","3.3.12","0","n","0","right","right","NA","return","return","1501","1501","NA","52389","10446","2","legacy","6","1024","2","48000","-16","experiment","4","even","6","554877","557082","559083","560585","559083","NA","553805","554875","6688","149553","521189","6692","139106","555878","59081","Sternberg task ","63","89512","76","yes","1024"
"83.1168831169","83.1168831169","1178.27272727","1178.27272727","black","experiment","legacy","legacy","legacy","0","uniform","1","1","undefined","left","76","76","76","76","76","0","76","76","0","0","76","0","0","76","0","10/23/22 19:28:13","The main experiment item","yes","Sternbergtask.osexp","C:\Users\ayesh\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","64","11","C:/Users/ayesh/OneDrive/Desktop/MK-subject-4.csv","legacy","6 5","Lentiform Loewenfeld","3.3.12","2","y","0","left","left","NA","return","return","1215","1215","NA","52389","10446","2","legacy","2","1024","2","48000","-16","experiment","4","even","5","561659","563864","565865","567081","565865","NA","560588","561657","6688","149553","521189","6692","139106","562660","59081","Sternberg task ","64","90727","77","yes","1024"
