acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instruction1,correct_new_keyboard_response,correct_response,count_ISI,count_correctfeedback,count_expSequence,count_experiment,count_experimentLoop,count_fixation,count_incorrect,count_instruction1,count_instruction2,count_memorySet,count_new_keyboard_response,count_new_logger,count_practiceLoop,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practiceLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_instruction1,response_instruction2,response_new_keyboard_response,response_thankYou,response_time,response_time_instruction1,response_time_instruction2,response_time_new_keyboard_response,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_correctfeedback,time_expSequence,time_experiment,time_experimentLoop,time_fixation,time_incorrect,time_instruction1,time_instruction2,time_memorySet,time_new_keyboard_response,time_new_logger,time_practiceLoop,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
61.9047619,61.9047619,873.9047619,873.9047619,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,20,20,20,0,0,20,20,0,0,20,20,20,0,20,0,Thu Oct 15 19:51:10 2020,The main experiment item,yes,SternbergTask-AL.osexp,/Users/annielenoir/Desktop,no,mono,no,18,no,white,no,no,768,legacy,8,11,/Users/annielenoir/Desktop/AL-subject-1.csv,legacy,5,Lentiform Loewenfeld,3.3.3,0,n,0,right,right,left,right,NA,882,16676,3794,882,NA,2,legacy,1,1024,2,48000,-16,experiment,1,odd,8,164275,153549,161654,1693,106029,161792,160472,1853,102235,162932,166411,167294,18538,166411,NA,Sternberg Task,13,18352,21,yes,1024
63.63636364,63.63636364,881.5,881.5,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,21,21,21,0,0,21,21,0,0,21,21,21,0,21,0,Thu Oct 15 19:51:10 2020,The main experiment item,yes,SternbergTask-AL.osexp,/Users/annielenoir/Desktop,no,mono,no,18,no,white,no,no,768,legacy,9,11,/Users/annielenoir/Desktop/AL-subject-1.csv,legacy,9 1 6 7 8,Lentiform Loewenfeld,3.3.3,1,y,0,left,right,left,left,NA,1041,16676,3794,1041,NA,2,legacy,5,1024,2,48000,-16,experiment,1,odd,9,171233,167443,168607,1693,106029,168747,160472,1853,102235,169885,173382,174424,18538,173382,NA,Sternberg Task,14,19393,22,yes,1024
65.2173913,65.2173913,885.173913,885.173913,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,22,22,22,0,0,22,22,0,0,22,22,22,0,22,0,Thu Oct 15 19:51:10 2020,The main experiment item,yes,SternbergTask-AL.osexp,/Users/annielenoir/Desktop,no,mono,no,18,no,white,no,no,768,legacy,10,11,/Users/annielenoir/Desktop/AL-subject-1.csv,legacy,7 2 3,Lentiform Loewenfeld,3.3.3,3,y,0,left,right,left,left,NA,966,16676,3794,966,NA,2,legacy,3,1024,2,48000,-16,experiment,1,odd,3,178362,174575,175736,1693,106029,175876,160472,1853,102235,177014,180507,181473,18538,180507,NA,Sternberg Task,15,20359,23,yes,1024
66.66666667,66.66666667,880.5416667,880.5416667,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,23,23,23,0,0,23,23,0,0,23,23,23,0,23,0,Thu Oct 15 19:51:10 2020,The main experiment item,yes,SternbergTask-AL.osexp,/Users/annielenoir/Desktop,no,mono,no,18,no,white,no,no,768,legacy,11,11,/Users/annielenoir/Desktop/AL-subject-1.csv,legacy,8 5 4 7 3 1,Lentiform Loewenfeld,3.3.3,2,y,0,left,right,left,left,NA,774,16676,3794,774,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,5,185423,181622,182795,1693,106029,182934,160472,1853,102235,184070,187571,188346,18538,187571,NA,Sternberg Task,16,21133,24,yes,1024
68,68,872.68,872.68,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,24,24,24,0,0,24,24,0,0,24,24,24,0,24,0,Thu Oct 15 19:51:10 2020,The main experiment item,yes,SternbergTask-AL.osexp,/Users/annielenoir/Desktop,no,mono,no,18,no,white,no,no,768,legacy,12,11,/Users/annielenoir/Desktop/AL-subject-1.csv,legacy,6 5,Lentiform Loewenfeld,3.3.3,2,y,0,left,right,left,left,NA,684,16676,3794,684,NA,2,legacy,2,1024,2,48000,-16,experiment,1,odd,5,192279,188494,189654,1693,106029,189794,160472,1853,102235,190933,194416,195100,18538,194415,NA,Sternberg Task,17,21817,25,yes,1024
69.23076923,69.23076923,854.2307692,854.2307692,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,25,25,25,0,0,25,25,0,0,25,25,25,0,25,0,Thu Oct 15 19:51:10 2020,The main experiment item,yes,SternbergTask-AL.osexp,/Users/annielenoir/Desktop,no,mono,no,18,no,white,no,no,768,legacy,13,11,/Users/annielenoir/Desktop/AL-subject-1.csv,legacy,7 1,Lentiform Loewenfeld,3.3.3,0,n,0,right,right,left,right,NA,393,16676,3794,393,NA,2,legacy,2,1024,2,48000,-16,experiment,1,odd,8,199021,195252,196403,1693,106029,196544,160472,1853,102235,197683,201163,201557,18538,201163,NA,Sternberg Task,18,22210,26,yes,1024
70.37037037,70.37037037,866.3333333,866.3333333,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,26,26,26,0,0,26,26,0,0,26,26,26,0,26,0,Thu Oct 15 19:51:10 2020,The main experiment item,yes,SternbergTask-AL.osexp,/Users/annielenoir/Desktop,no,mono,no,18,no,white,no,no,768,legacy,14,11,/Users/annielenoir/Desktop/AL-subject-1.csv,legacy,8 1 6,Lentiform Loewenfeld,3.3.3,3,y,0,left,right,left,left,NA,1181,16676,3794,1181,NA,2,legacy,3,1024,2,48000,-16,experiment,1,odd,6,205494,201704,202834,1693,106029,202982,160472,1853,102235,204132,207641,208823,18538,207641,NA,Sternberg Task,19,23391,27,yes,1024
71.42857143,71.42857143,883.8571429,883.8571429,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,27,27,27,0,0,27,27,0,0,27,27,27,0,27,0,Thu Oct 15 19:51:10 2020,The main experiment item,yes,SternbergTask-AL.osexp,/Users/annielenoir/Desktop,no,mono,no,18,no,white,no,no,768,legacy,15,11,/Users/annielenoir/Desktop/AL-subject-1.csv,legacy,7,Lentiform Loewenfeld,3.3.3,1,y,0,left,right,left,left,NA,1357,16676,3794,1357,NA,2,legacy,1,1024,2,48000,-16,experiment,1,odd,7,212730,208968,210085,1693,106029,210226,160472,1853,102235,211377,214876,216234,18538,214876,NA,Sternberg Task,20,24748,28,yes,1024
72.4137931,72.4137931,906.6206897,906.6206897,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,28,28,28,0,0,28,28,0,0,28,28,28,0,28,0,Thu Oct 15 19:51:10 2020,The main experiment item,yes,SternbergTask-AL.osexp,/Users/annielenoir/Desktop,no,mono,no,18,no,white,no,no,768,legacy,16,11,/Users/annielenoir/Desktop/AL-subject-1.csv,legacy,9 4 2,Lentiform Loewenfeld,3.3.3,1,y,0,left,right,left,left,NA,1544,16676,3794,1544,NA,2,legacy,3,1024,2,48000,-16,experiment,1,odd,9,220146,216380,217502,1693,106029,217643,160472,1853,102235,218795,222295,223840,18538,222294,NA,Sternberg Task,21,26292,29,yes,1024
73.33333333,73.33333333,904.0666667,904.0666667,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,29,29,29,0,0,29,29,0,0,29,29,29,0,29,0,Thu Oct 15 19:51:10 2020,The main experiment item,yes,SternbergTask-AL.osexp,/Users/annielenoir/Desktop,no,mono,no,18,no,white,no,no,768,legacy,17,11,/Users/annielenoir/Desktop/AL-subject-1.csv,legacy,6 9 3 1,Lentiform Loewenfeld,3.3.3,4,y,0,left,right,left,left,NA,830,16676,3794,830,NA,2,legacy,4,1024,2,48000,-16,experiment,1,odd,1,227756,223984,225112,1693,106029,225254,160472,1853,102235,226403,229905,230736,18538,229905,NA,Sternberg Task,22,27122,30,yes,1024
74.19354839,74.19354839,903.3548387,903.3548387,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,30,30,30,0,0,30,30,0,0,30,30,30,0,30,0,Thu Oct 15 19:51:10 2020,The main experiment item,yes,SternbergTask-AL.osexp,/Users/annielenoir/Desktop,no,mono,no,18,no,white,no,no,768,legacy,18,11,/Users/annielenoir/Desktop/AL-subject-1.csv,legacy,1 5 3 2 8,Lentiform Loewenfeld,3.3.3,0,n,0,right,right,left,right,NA,882,16676,3794,882,NA,2,legacy,5,1024,2,48000,-16,experiment,1,odd,4,234649,230883,232009,1693,106029,232148,160472,1853,102235,233298,236796,237678,18538,236796,NA,Sternberg Task,23,28004,31,yes,1024
75,75,906.28125,906.28125,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,31,31,31,0,0,31,31,0,0,31,31,31,0,31,0,Thu Oct 15 19:51:10 2020,The main experiment item,yes,SternbergTask-AL.osexp,/Users/annielenoir/Desktop,no,mono,no,18,no,white,no,no,768,legacy,19,11,/Users/annielenoir/Desktop/AL-subject-1.csv,legacy,9 3 8 2 1 4,Lentiform Loewenfeld,3.3.3,3,y,0,left,right,left,left,NA,997,16676,3794,997,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,8,241602,237823,238973,1693,106029,239111,160472,1853,102235,240252,243748,244746,18538,243748,NA,Sternberg Task,24,29001,32,yes,1024
72.72727273,72.72727273,901.3030303,901.3030303,black,experiment,legacy,legacy,legacy,0,uniform,0,undefined,0,right,32,32,32,0,0,32,32,0,0,32,32,32,0,32,0,Thu Oct 15 19:51:10 2020,The main experiment item,yes,SternbergTask-AL.osexp,/Users/annielenoir/Desktop,no,mono,no,18,no,white,no,no,768,legacy,20,11,/Users/annielenoir/Desktop/AL-subject-1.csv,legacy,8 4 3 9,Lentiform Loewenfeld,3.3.3,0,n,0,left,right,left,left,NA,742,16676,3794,742,NA,2,legacy,4,1024,2,48000,-16,experiment,1,odd,5,248680,244892,246050,1693,106029,246191,160472,1853,102235,247331,250828,251570,18538,250828,NA,Sternberg Task,24,29743,33,yes,1024
73.52941176,73.52941176,896.3235294,896.3235294,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,33,33,33,0,0,33,33,0,0,33,33,33,0,33,0,Thu Oct 15 19:51:10 2020,The main experiment item,yes,SternbergTask-AL.osexp,/Users/annielenoir/Desktop,no,mono,no,18,no,white,no,no,768,legacy,21,11,/Users/annielenoir/Desktop/AL-subject-1.csv,legacy,8 5 3 7 4 6,Lentiform Loewenfeld,3.3.3,6,y,0,left,right,left,left,NA,732,16676,3794,732,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,6,255513,244892,252879,1693,106029,253019,251719,1853,102235,254161,257660,258393,18538,257660,NA,Sternberg Task,25,30475,34,yes,1024
