"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_ISI","count_IncorrectFeedback","count_PracticeLoop","count_correctFeedback","count_expSequence","count_experiment","count_experimentloop","count_fixation","count_instructions1","count_instructions2","count_keyboard_response","count_logger","count_memorySet","count_probe","count_thankyou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_PracticeLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","psychopy_waitblanking","repeat_cycle","response","response_instructions1","response_instructions2","response_keyboard_response","response_thankyou","response_time","response_time_instructions1","response_time_instructions2","response_time_keyboard_response","response_time_thankyou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_IncorrectFeedback","time_PracticeLoop","time_correctFeedback","time_expSequence","time_experiment","time_experimentloop","time_fixation","time_instructions1","time_instructions2","time_keyboard_response","time_logger","time_memorySet","time_probe","time_thankyou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","870.6190476190476","870.6190476190476","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","20","20","0","20","20","0","0","20","0","0","20","20","20","20","0","Mon Oct 12 09:15:04 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","8","11","C:/Users/Owner/KJPsubject-1.csv","legacy","5 3 2 6 9 8","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","right","left","right","NA","970","6690","4404","970","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","4","141776","NA","10243","138453","139567","3546","89790","139568","3552","85385","143777","144748","140572","143777","NA","Sternberg Task ","21","18283","21","yes","1024"
"100","100","855.0909090909091","855.0909090909091","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","21","21","0","21","21","0","0","21","0","0","21","21","21","21","0","Mon Oct 12 09:15:04 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","9","11","C:/Users/Owner/KJPsubject-1.csv","legacy","2 4 6 9","Lentiform Loewenfeld","3.3.3","3","y","yes","0","left","right","left","left","NA","529","6690","4404","529","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","6","148076","NA","10243","144751","145866","3546","89790","145868","3552","85385","150080","150611","146872","150080","NA","Sternberg Task ","22","18812","22","yes","1024"
"100","100","842.6086956521739","842.6086956521739","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","22","22","0","22","22","0","0","22","0","0","22","22","22","22","0","Mon Oct 12 09:15:04 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","10","11","C:/Users/Owner/KJPsubject-1.csv","legacy","8 9 5 7 1 6","Lentiform Loewenfeld","3.3.3","4","y","yes","0","left","right","left","left","NA","568","6690","4404","568","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","7","153939","NA","10243","150614","151729","3546","89790","151731","3552","85385","155943","156513","152735","155943","NA","Sternberg Task ","23","19380","23","yes","1024"
"100","100","854.25","854.25","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","23","23","0","23","23","0","0","23","0","0","23","23","23","23","0","Mon Oct 12 09:15:04 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","11","11","C:/Users/Owner/KJPsubject-1.csv","legacy","1 3 2 6 9","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","right","left","right","NA","1122","6690","4404","1122","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","5","159832","NA","10243","156516","157623","3546","89790","157624","3552","85385","161833","162956","158628","161833","NA","Sternberg Task ","24","20502","24","yes","1024"
"100","100","843.6","843.6","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","24","24","0","24","24","0","0","24","0","0","24","24","24","24","0","Mon Oct 12 09:15:04 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","12","11","C:/Users/Owner/KJPsubject-1.csv","legacy","7 1 8 5 6 2","Lentiform Loewenfeld","3.3.3","2","y","yes","0","left","right","left","left","NA","588","6690","4404","588","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","1","166315","NA","10243","162960","164106","3546","89790","164107","3552","85385","168316","168906","165111","168316","NA","Sternberg Task ","25","21090","25","yes","1024"
"100","100","844.1923076923077","844.1923076923077","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","25","25","0","25","25","0","0","25","0","0","25","25","25","25","0","Mon Oct 12 09:15:04 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","13","11","C:/Users/Owner/KJPsubject-1.csv","legacy","5 2 6","Lentiform Loewenfeld","3.3.3","2","y","yes","0","left","right","left","left","NA","859","6690","4404","859","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","2","172225","NA","10243","168910","170016","3546","89790","170017","3552","85385","174229","175089","171021","174229","NA","Sternberg Task ","26","21949","26","yes","1024"
"96.29629629629629","96.29629629629629","852.3703703703703","852.3703703703703","black","experiment","legacy","legacy","legacy","0","uniform","0","undefined","0","right","26","26","0","26","26","0","0","26","0","0","26","26","26","26","0","Mon Oct 12 09:15:04 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","14","11","C:/Users/Owner/KJPsubject-1.csv","legacy","1 7 8 3 9","Lentiform Loewenfeld","3.3.3","0","n","yes","0","left","right","left","left","NA","1065","6690","4404","1065","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","2","178405","NA","10243","175092","176196","3546","89790","176197","3552","85385","180410","181477","177201","180409","NA","Sternberg Task ","26","23014","27","yes","1024"
"96.42857142857143","96.42857142857143","842.5714285714286","842.5714285714286","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","27","27","0","27","27","0","0","27","0","0","27","27","27","27","0","Mon Oct 12 09:15:04 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","15","11","C:/Users/Owner/KJPsubject-1.csv","legacy","8 1 6","Lentiform Loewenfeld","3.3.3","3","y","yes","0","left","right","left","left","NA","578","6690","4404","578","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","6","184797","181480","10243","175092","182587","3546","89790","182589","3552","85385","186801","187380","183593","186801","NA","Sternberg Task ","27","23592","28","yes","1024"
"96.55172413793103","96.55172413793103","830.9310344827586","830.9310344827586","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","28","28","0","28","28","0","0","28","0","0","28","28","28","28","0","Mon Oct 12 09:15:04 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","16","11","C:/Users/Owner/KJPsubject-1.csv","legacy","7 1","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","right","left","right","NA","505","6690","4404","505","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","8","190654","181480","10243","187383","188445","3546","89790","188447","3552","85385","192658","193164","189450","192658","NA","Sternberg Task ","28","24097","29","yes","1024"
"96.66666666666667","96.66666666666667","821.5333333333333","821.5333333333333","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","29","29","0","29","29","0","0","29","0","0","29","29","29","29","0","Mon Oct 12 09:15:04 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","17","11","C:/Users/Owner/KJPsubject-1.csv","legacy","1 8 7","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","right","left","right","NA","549","6690","4404","549","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","4","196481","181480","10243","193168","194272","3546","89790","194273","3552","85385","198485","199035","195277","198485","NA","Sternberg Task ","29","24646","30","yes","1024"
