"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_Instructions1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_Instructions1","count_Instructions2","count_Instructions3","count_error_feedback","count_experiment","count_faster","count_fixation","count_isi","count_keyboard_response","count_logger","count_new_sketchpad_2","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","psychopy_waitblanking","repeat_cycle","response","response_Instructions1","response_Instructions2","response_Instructions3","response_keyboard_response","response_new_sketchpad_2","response_time","response_time_Instructions1","response_time_Instructions2","response_time_Instructions3","response_time_keyboard_response","response_time_new_sketchpad_2","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_Instructions1","time_Instructions2","time_Instructions3","time_error_feedback","time_experiment","time_faster","time_fixation","time_isi","time_keyboard_response","time_logger","time_new_sketchpad_2","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"90.47619047619048","90.47619047619048","572.6190476190476","572.6190476190476","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","0","0","20","0","20","20","20","20","20","0","20","20","Tue Sep 13 18:12:07 2022","1500","The main experiment item","yes","lab 2.1.osexp","C:\Users\Owner\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","20","20","C:\Users\Owner\Downloads\defaultlog.csv","legacy","Lentiform Loewenfeld","3.3.12","yes","0","h","s","NA","NA","h","NA","593","7863","NA","NA","593","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","11115","NA","NA","3250","NA","NA","33417","3248","NA","46983","45923","47086","47680","NA","46980","47086","As Boring or as Not Boring as You Want","19","12025","21","yes","1024"
"90.9090909090909","90.9090909090909","569.9545454545455","569.9545454545455","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","0","0","21","0","21","21","21","21","21","0","21","21","Tue Sep 13 18:12:07 2022","1500","The main experiment item","yes","lab 2.1.osexp","C:\Users\Owner\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","21","21","C:\Users\Owner\Downloads\defaultlog.csv","legacy","Lentiform Loewenfeld","3.3.12","yes","0","s","s","NA","NA","s","NA","514","7863","NA","NA","514","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","11115","NA","NA","3250","NA","NA","33417","3248","NA","48738","47684","48839","49354","NA","48736","48839","As Boring or as Not Boring as You Want","20","12539","22","yes","1024"
"91.30434782608695","91.30434782608695","567.5217391304348","567.5217391304348","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","0","0","22","0","22","22","22","22","22","0","22","22","Tue Sep 13 18:12:07 2022","1500","The main experiment item","yes","lab 2.1.osexp","C:\Users\Owner\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","22","22","C:\Users\Owner\Downloads\defaultlog.csv","legacy","Lentiform Loewenfeld","3.3.12","yes","0","h","s","NA","NA","h","NA","514","7863","NA","NA","514","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","11115","NA","NA","3250","NA","NA","33417","3248","NA","50415","49359","50516","51031","NA","50413","50516","As Boring or as Not Boring as You Want","21","13053","23","yes","1024"
"91.66666666666667","91.66666666666667","562.4583333333334","562.4583333333334","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","0","0","0","23","0","23","23","23","23","23","0","23","23","Tue Sep 13 18:12:07 2022","1500","The main experiment item","yes","lab 2.1.osexp","C:\Users\Owner\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","23","23","C:\Users\Owner\Downloads\defaultlog.csv","legacy","Lentiform Loewenfeld","3.3.12","yes","0","h","s","NA","NA","h","NA","446","7863","NA","NA","446","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","11115","NA","NA","3250","NA","NA","33417","3248","NA","52094","51038","52198","52645","NA","52092","52198","As Boring or as Not Boring as You Want","22","13499","24","yes","1024"
"92","92","567.32","567.32","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","0","0","24","0","24","24","24","24","24","0","24","24","Tue Sep 13 18:12:07 2022","1500","The main experiment item","yes","lab 2.1.osexp","C:\Users\Owner\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","24","24","C:\Users\Owner\Downloads\defaultlog.csv","legacy","Lentiform Loewenfeld","3.3.12","yes","0","h","s","NA","NA","h","NA","684","7863","NA","NA","684","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","11115","NA","NA","3250","NA","NA","33417","3248","NA","53727","52658","53828","54513","NA","53726","53828","As Boring or as Not Boring as You Want","23","14183","25","yes","1024"
"92.3076923076923","92.3076923076923","564.2692307692307","564.2692307692307","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","0","0","25","0","25","25","25","25","25","0","25","25","Tue Sep 13 18:12:07 2022","1500","The main experiment item","yes","lab 2.1.osexp","C:\Users\Owner\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","25","25","C:\Users\Owner\Downloads\defaultlog.csv","legacy","Lentiform Loewenfeld","3.3.12","yes","0","h","s","NA","NA","h","NA","488","7863","NA","NA","488","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","11115","NA","NA","3250","NA","NA","33417","3248","NA","55574","54518","55675","56164","NA","55571","55675","As Boring or as Not Boring as You Want","24","14671","26","yes","1024"
"92.5925925925926","92.5925925925926","564.5555555555555","564.5555555555555","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","0","0","0","26","0","26","26","26","26","26","0","26","26","Tue Sep 13 18:12:07 2022","1500","The main experiment item","yes","lab 2.1.osexp","C:\Users\Owner\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","26","26","C:\Users\Owner\Downloads\defaultlog.csv","legacy","Lentiform Loewenfeld","3.3.12","yes","0","h","s","NA","NA","h","NA","572","7863","NA","NA","572","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","11115","NA","NA","3250","NA","NA","33417","3248","NA","57226","56171","57329","57903","NA","57224","57328","As Boring or as Not Boring as You Want","25","15243","27","yes","1024"
"92.85714285714286","92.85714285714286","559.8928571428571","559.8928571428571","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","0","0","27","0","27","27","27","27","27","0","27","27","Tue Sep 13 18:12:07 2022","1500","The main experiment item","yes","lab 2.1.osexp","C:\Users\Owner\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","27","27","C:\Users\Owner\Downloads\defaultlog.csv","legacy","Lentiform Loewenfeld","3.3.12","yes","0","s","s","NA","NA","s","NA","434","7863","NA","NA","434","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","11115","NA","NA","3250","NA","NA","33417","3248","NA","58965","57909","59066","59501","NA","58963","59066","As Boring or as Not Boring as You Want","26","15677","28","yes","1024"
"93.10344827586206","93.10344827586206","556.7586206896551","556.7586206896551","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","0","0","28","0","28","28","28","28","28","0","28","28","Tue Sep 13 18:12:07 2022","1500","The main experiment item","yes","lab 2.1.osexp","C:\Users\Owner\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","28","28","C:\Users\Owner\Downloads\defaultlog.csv","legacy","Lentiform Loewenfeld","3.3.12","yes","0","s","s","NA","NA","s","NA","469","7863","NA","NA","469","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","11115","NA","NA","3250","NA","NA","33417","3248","NA","60575","59506","60676","61147","NA","60572","60676","As Boring or as Not Boring as You Want","27","16146","29","yes","1024"
"93.33333333333333","93.33333333333333","559.9333333333333","559.9333333333333","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","0","0","29","0","29","29","29","29","29","0","29","29","Tue Sep 13 18:12:07 2022","1500","The main experiment item","yes","lab 2.1.osexp","C:\Users\Owner\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","29","29","C:\Users\Owner\Downloads\defaultlog.csv","legacy","Lentiform Loewenfeld","3.3.12","yes","0","s","s","NA","NA","s","NA","652","7863","NA","NA","652","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","11115","NA","NA","3250","NA","NA","33417","3248","NA","62206","61151","62308","62962","NA","62204","62308","As Boring or as Not Boring as You Want","28","16798","30","yes","1024"
