"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_Instructions1","correct_Keyboard_Response","correct_response","count_ErrorFeedback","count_FasterFeedback","count_Finish","count_Fixation","count_ISI","count_Instructions1","count_Instructions2","count_Instructions3","count_Keyboard_Response","count_Logger","count_Sequence","count_Stimulus","count_block1","count_block2","count_block3","count_experiment","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Finish","response_Instructions1","response_Instructions2","response_Instructions3","response_Keyboard_Response","response_time","response_time_Finish","response_time_Instructions1","response_time_Instructions2","response_time_Instructions3","response_time_Keyboard_Response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_ErrorFeedback","time_FasterFeedback","time_Finish","time_Fixation","time_ISI","time_Instructions1","time_Instructions2","time_Instructions3","time_Keyboard_Response","time_Logger","time_Sequence","time_Stimulus","time_block1","time_block2","time_block3","time_experiment","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","469.761904762","469.761904762","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","20","20","0","20","20","0","0","0","20","20","20","20","0","0","0","0","09/25/22 21:22:45","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/saudm/OneDrive/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","20","20","C:/Users/saudm/OneDrive/Desktop/MK-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","h","NA","NA","h","332","NA","22620","NA","NA","332","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","NA","NA","NA","57203","56169","2025","NA","NA","57305","57637","57202","57305","24646","NA","NA","2023","Flanker Task ","21","9865","21","yes","1024"
"95.4545454545","95.4545454545","463.863636364","463.863636364","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","h","21","21","0","21","21","0","0","0","21","21","21","21","0","0","0","0","09/25/22 21:22:45","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/saudm/OneDrive/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","21","21","C:/Users/saudm/OneDrive/Desktop/MK-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","h","NA","NA","s","340","NA","22620","NA","NA","340","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","NA","NA","NA","58684","57650","2025","NA","NA","58786","59126","58682","58786","24646","NA","NA","2023","Flanker Task ","21","10205","22","yes","1024"
"91.3043478261","91.3043478261","459.565217391","459.565217391","black","legacy","legacy","legacy","0","congruent","uniform","0","undefined","0","s","22","22","0","22","22","0","0","0","22","22","22","22","0","0","0","0","09/25/22 21:22:45","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/saudm/OneDrive/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","22","22","C:/Users/saudm/OneDrive/Desktop/MK-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","h","NA","NA","h","365","NA","22620","NA","NA","365","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","59138","NA","NA","60677","59639","2025","NA","NA","60779","61144","60672","60779","24646","NA","NA","2023","Flanker Task ","21","10570","23","yes","1024"
"91.6666666667","91.6666666667","458.291666667","458.291666667","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","23","23","0","23","23","0","0","0","23","23","23","23","0","0","0","0","09/25/22 21:22:45","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/saudm/OneDrive/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","23","23","C:/Users/saudm/OneDrive/Desktop/MK-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","h","NA","NA","h","429","NA","22620","NA","NA","429","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","61157","NA","NA","62691","61658","2025","NA","NA","62792","63221","62690","62792","24646","NA","NA","2023","Flanker Task ","22","10999","24","yes","1024"
"92","92","455.68","455.68","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","24","24","0","24","24","0","0","0","24","24","24","24","0","0","0","0","09/25/22 21:22:45","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/saudm/OneDrive/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","24","24","C:/Users/saudm/OneDrive/Desktop/MK-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","h","NA","NA","h","393","NA","22620","NA","NA","393","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","61157","NA","NA","64267","63224","2025","NA","NA","64368","64761","64264","64368","24646","NA","NA","2023","Flanker Task ","23","11392","25","yes","1024"
"92.3076923077","92.3076923077","459.653846154","459.653846154","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","25","25","0","25","25","0","0","0","25","25","25","25","0","0","0","0","09/25/22 21:22:45","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/saudm/OneDrive/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","25","25","C:/Users/saudm/OneDrive/Desktop/MK-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","h","NA","NA","s","559","NA","22620","NA","NA","559","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","61157","NA","NA","65811","64773","2025","NA","NA","65913","66473","65809","65913","24646","NA","NA","2023","Flanker Task ","24","11951","26","yes","1024"
"92.5925925926","92.5925925926","457.185185185","457.185185185","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","26","26","0","26","26","0","0","0","26","26","26","26","0","0","0","0","09/25/22 21:22:45","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/saudm/OneDrive/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","26","26","C:/Users/saudm/OneDrive/Desktop/MK-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","h","NA","NA","s","393","NA","22620","NA","NA","393","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","61157","NA","NA","67508","66474","2025","NA","NA","67610","68004","67507","67610","24646","NA","NA","2023","Flanker Task ","25","12344","27","yes","1024"
"92.8571428571","92.8571428571","457.142857143","457.142857143","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","27","27","0","27","27","0","0","0","27","27","27","27","0","0","0","0","09/25/22 21:22:45","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/saudm/OneDrive/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","27","27","C:/Users/saudm/OneDrive/Desktop/MK-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","h","NA","NA","s","456","NA","22620","NA","NA","456","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","61157","NA","NA","69050","68016","2025","NA","NA","69151","69608","69048","69151","24646","NA","NA","2023","Flanker Task ","26","12800","28","yes","1024"
"93.1034482759","93.1034482759","457.793103448","457.793103448","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","28","28","0","28","28","0","0","0","28","28","28","28","0","0","0","0","09/25/22 21:22:45","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/saudm/OneDrive/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","28","28","C:/Users/saudm/OneDrive/Desktop/MK-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","h","NA","NA","s","476","NA","22620","NA","NA","476","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","61157","NA","NA","70645","69610","2025","NA","NA","70746","71223","70643","70746","24646","NA","NA","2023","Flanker Task ","27","13276","29","yes","1024"
"90","90","461.2","461.2","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","h","29","29","0","29","29","0","0","0","29","29","29","29","0","0","0","0","09/25/22 21:22:45","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/saudm/OneDrive/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","29","29","C:/Users/saudm/OneDrive/Desktop/MK-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","h","NA","NA","s","560","NA","22620","NA","NA","560","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","61157","NA","NA","72270","71234","2025","NA","NA","72371","72931","72269","72371","24646","NA","NA","2023","Flanker Task ","27","13836","30","yes","1024"
