"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboardresponse","correct_response","count_block1","count_block2","count_block3","count_errorfeedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_isi","count_keyboardresponse","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions1","response_instructions2","response_instructions3","response_keyboardresponse","response_time","response_time_finish","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboardresponse","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_block1","time_block2","time_block3","time_errorfeedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_isi","time_keyboardresponse","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"90.4761904762","90.4761904762","497.238095238","497.238095238","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","20","0","20","0","20","0","0","0","20","20","20","20","20","09/27/20 15:44:53","1500","Flanker Task","yes","flankertasksubmission.osexp","C:\Users\User\Desktop\Quant 2020 - Copy","no","mono","no","18","no","white","no","yes","768","legacy","20","20","C:/Users/User/Desktop/Quant 2020 - Copy/CP-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","545","NA","23435","NA","NA","545","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","27198","NA","NA","42608","3757","NA","NA","63282","3762","NA","NA","62149","63388","63933","63279","63387","New experiment","19","10442","21","yes","1024"
"90.9090909091","90.9090909091","493.954545455","493.954545455","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","21","0","21","0","21","0","0","0","21","21","21","21","21","09/27/20 15:44:53","1500","Flanker Task","yes","flankertasksubmission.osexp","C:\Users\User\Desktop\Quant 2020 - Copy","no","mono","no","18","no","white","no","yes","768","legacy","21","21","C:/Users/User/Desktop/Quant 2020 - Copy/CP-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","425","NA","23435","NA","NA","425","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","27198","NA","NA","42608","3757","NA","NA","65059","3762","NA","NA","63939","65165","65591","65057","65165","New experiment","20","10867","22","yes","1024"
"91.3043478261","91.3043478261","491.086956522","491.086956522","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","22","0","22","0","22","0","0","0","22","22","22","22","22","09/27/20 15:44:53","1500","Flanker Task","yes","flankertasksubmission.osexp","C:\Users\User\Desktop\Quant 2020 - Copy","no","mono","no","18","no","white","no","yes","768","legacy","22","22","C:/Users/User/Desktop/Quant 2020 - Copy/CP-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","428","NA","23435","NA","NA","428","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","27198","NA","NA","42608","3757","NA","NA","66731","3762","NA","NA","65596","66837","67266","66727","66837","New experiment","21","11295","23","yes","1024"
"91.6666666667","91.6666666667","487.083333333","487.083333333","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","23","0","23","0","23","0","0","0","23","23","23","23","23","09/27/20 15:44:53","1500","Flanker Task","yes","flankertasksubmission.osexp","C:\Users\User\Desktop\Quant 2020 - Copy","no","mono","no","18","no","white","no","yes","768","legacy","23","23","C:/Users/User/Desktop/Quant 2020 - Copy/CP-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","395","NA","23435","NA","NA","395","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","27198","NA","NA","42608","3757","NA","NA","68433","3762","NA","NA","67276","68540","68936","68430","68539","New experiment","22","11690","24","yes","1024"
"92","92","485.4","485.4","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","24","0","24","0","24","0","0","0","24","24","24","24","24","09/27/20 15:44:53","1500","Flanker Task","yes","flankertasksubmission.osexp","C:\Users\User\Desktop\Quant 2020 - Copy","no","mono","no","18","no","white","no","yes","768","legacy","24","24","C:/Users/User/Desktop/Quant 2020 - Copy/CP-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","445","NA","23435","NA","NA","445","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","27198","NA","NA","42608","3757","NA","NA","70073","3762","NA","NA","68941","70179","70625","70070","70179","New experiment","23","12135","25","yes","1024"
"92.3076923077","92.3076923077","481.423076923","481.423076923","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","25","0","25","0","25","0","0","0","25","25","25","25","25","09/27/20 15:44:53","1500","Flanker Task","yes","flankertasksubmission.osexp","C:\Users\User\Desktop\Quant 2020 - Copy","no","mono","no","18","no","white","no","yes","768","legacy","25","25","C:/Users/User/Desktop/Quant 2020 - Copy/CP-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","382","NA","23435","NA","NA","382","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","27198","NA","NA","42608","3757","NA","NA","71769","3762","NA","NA","70630","71875","72258","71766","71874","New experiment","24","12517","26","yes","1024"
"92.5925925926","92.5925925926","480.740740741","480.740740741","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","26","0","26","0","26","0","0","0","26","26","26","26","26","09/27/20 15:44:53","1500","Flanker Task","yes","flankertasksubmission.osexp","C:\Users\User\Desktop\Quant 2020 - Copy","no","mono","no","18","no","white","no","yes","768","legacy","26","26","C:/Users/User/Desktop/Quant 2020 - Copy/CP-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","463","NA","23435","NA","NA","463","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","27198","NA","NA","42608","3757","NA","NA","73394","3762","NA","NA","72263","73500","73964","73391","73500","New experiment","25","12980","27","yes","1024"
"92.8571428571","92.8571428571","481.107142857","481.107142857","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","27","0","27","0","27","0","0","0","27","27","27","27","27","09/27/20 15:44:53","1500","Flanker Task","yes","flankertasksubmission.osexp","C:\Users\User\Desktop\Quant 2020 - Copy","no","mono","no","18","no","white","no","yes","768","legacy","27","27","C:/Users/User/Desktop/Quant 2020 - Copy/CP-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","491","NA","23435","NA","NA","491","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","27198","NA","NA","42608","3757","NA","NA","75105","3762","NA","NA","73969","75211","75703","75102","75211","New experiment","26","13471","28","yes","1024"
"93.1034482759","93.1034482759","479.620689655","479.620689655","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","28","0","28","0","28","0","0","0","28","28","28","28","28","09/27/20 15:44:53","1500","Flanker Task","yes","flankertasksubmission.osexp","C:\Users\User\Desktop\Quant 2020 - Copy","no","mono","no","18","no","white","no","yes","768","legacy","28","28","C:/Users/User/Desktop/Quant 2020 - Copy/CP-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","438","NA","23435","NA","NA","438","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","27198","NA","NA","42608","3757","NA","NA","76858","3762","NA","NA","75709","76965","77404","76855","76964","New experiment","27","13909","29","yes","1024"
"93.3333333333","93.3333333333","478.166666667","478.166666667","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","29","0","29","0","29","0","0","0","29","29","29","29","29","09/27/20 15:44:53","1500","Flanker Task","yes","flankertasksubmission.osexp","C:\Users\User\Desktop\Quant 2020 - Copy","no","mono","no","18","no","white","no","yes","768","legacy","29","29","C:/Users/User/Desktop/Quant 2020 - Copy/CP-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","436","NA","23435","NA","NA","436","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","27198","NA","NA","42608","3757","NA","NA","78554","3762","NA","NA","77409","78660","79097","78551","78659","New experiment","28","14345","30","yes","1024"
