"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions","correct_keyboard_response","correct_response","count_ISI","count_block1","count_block2","count_block3","count_errorFeedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions","response_instructions2","response_instructions3","response_keyboard_response","response_time","response_time_finish","response_time_instructions","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_ISI","time_block1","time_block2","time_block3","time_errorFeedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","597.6428571428571","597.6428571428571","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","27","0","0","0","27","0","27","0","27","0","0","0","27","27","27","27","Sat Sep 19 16:06:07 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/suzannejosey","no","mono","no","18","no","white","no","yes","768","legacy","27","27","/Users/suzannejosey/subject-1.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","452","NA","18039","NA","NA","452","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","69461","21242","NA","NA","NA","3171","NA","NA","70580","3182","NA","NA","70702","71156","70558","70701","Flanker Task","28","16734","28","yes","1024"
"100","100","594.5862068965517","594.5862068965517","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","28","0","0","0","28","0","28","0","28","0","0","0","28","28","28","28","Sat Sep 19 16:06:07 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/suzannejosey","no","mono","no","18","no","white","no","yes","768","legacy","28","28","/Users/suzannejosey/subject-1.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","509","NA","18039","NA","NA","509","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","71184","21242","NA","NA","NA","3171","NA","NA","72311","3182","NA","NA","72423","72934","72287","72423","Flanker Task","29","17243","29","yes","1024"
"100","100","591.6666666666666","591.6666666666666","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","29","0","0","0","29","0","29","0","29","0","0","0","29","29","29","29","Sat Sep 19 16:06:07 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/suzannejosey","no","mono","no","18","no","white","no","yes","768","legacy","29","29","/Users/suzannejosey/subject-1.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","507","NA","18039","NA","NA","507","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","72944","21242","NA","NA","NA","3171","NA","NA","74015","3182","NA","NA","74129","74637","74004","74129","Flanker Task","30","17750","30","yes","1024"
"100","100","594.3548387096774","594.3548387096774","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","30","0","0","0","30","0","30","0","30","0","0","0","30","30","30","30","Sat Sep 19 16:06:07 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/suzannejosey","no","mono","no","18","no","white","no","yes","768","legacy","30","30","/Users/suzannejosey/subject-1.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","675","NA","18039","NA","NA","675","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","74650","21242","NA","NA","NA","3171","NA","NA","75723","3182","NA","NA","75835","76511","75711","75835","Flanker Task","31","18425","31","yes","1024"
"100","100","591.8125","591.8125","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","31","0","0","0","31","0","31","0","31","0","0","0","31","31","31","31","Sat Sep 19 16:06:07 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/suzannejosey","no","mono","no","18","no","white","no","yes","768","legacy","31","31","/Users/suzannejosey/subject-1.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","513","NA","18039","NA","NA","513","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","76525","21242","NA","NA","NA","3171","NA","NA","77598","3182","NA","NA","77712","78226","77586","77712","Flanker Task","32","18938","32","yes","1024"
"100","100","588.8181818181819","588.8181818181819","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","32","0","0","0","32","0","32","0","32","0","0","0","32","32","32","32","Sat Sep 19 16:06:07 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/suzannejosey","no","mono","no","18","no","white","no","yes","768","legacy","32","32","/Users/suzannejosey/subject-1.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","493","NA","18039","NA","NA","493","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","78237","21242","NA","NA","NA","3171","NA","NA","79311","3182","NA","NA","79425","79919","79298","79425","Flanker Task","33","19431","33","yes","1024"
"100","100","584.3823529411765","584.3823529411765","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","33","0","0","0","33","0","33","0","33","0","0","0","33","33","33","33","Sat Sep 19 16:06:07 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/suzannejosey","no","mono","no","18","no","white","no","yes","768","legacy","33","33","/Users/suzannejosey/subject-1.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","438","NA","18039","NA","NA","438","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","79932","21242","NA","NA","NA","3171","NA","NA","81003","3182","NA","NA","81118","81557","80993","81118","Flanker Task","34","19869","34","yes","1024"
"100","100","580.6285714285714","580.6285714285714","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","34","0","0","0","34","0","34","0","34","0","0","0","34","34","34","34","Sat Sep 19 16:06:07 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/suzannejosey","no","mono","no","18","no","white","no","yes","768","legacy","34","34","/Users/suzannejosey/subject-1.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","453","NA","18039","NA","NA","453","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","81571","21242","NA","NA","NA","3171","NA","NA","82644","3182","NA","NA","82758","83212","82633","82758","Flanker Task","35","20322","35","yes","1024"
"100","100","579.5833333333334","579.5833333333334","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","35","0","0","0","35","0","35","0","35","0","0","0","35","35","35","35","Sat Sep 19 16:06:07 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/suzannejosey","no","mono","no","18","no","white","no","yes","768","legacy","35","35","/Users/suzannejosey/subject-1.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","543","NA","18039","NA","NA","543","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","83225","21242","NA","NA","NA","3171","NA","NA","84299","3182","NA","NA","84413","84957","84288","84413","Flanker Task","36","20865","36","yes","1024"
"100","100","578.5945945945946","578.5945945945946","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","36","0","0","0","36","0","36","0","36","0","0","0","36","36","36","36","Sat Sep 19 16:06:07 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/suzannejosey","no","mono","no","18","no","white","no","yes","768","legacy","36","36","/Users/suzannejosey/subject-1.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","543","NA","18039","NA","NA","543","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","84970","21242","NA","NA","NA","3171","NA","NA","86040","3182","NA","NA","86154","86698","86028","86153","Flanker Task","37","21408","37","yes","1024"
