"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","condition","correct","correct_instructions1","correct_keyboard_response","correct_response","count_Block1","count_Block3","count_ErrorFeedback","count_ISI","count_Instruction3","count_block2","count_experiment","count_faster","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_new_sketchpad","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Instruction3","response_faster","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_new_sketchpad","response_time","response_time_Instruction3","response_time_faster","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","response_time_new_sketchpad","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block3","time_ErrorFeedback","time_ISI","time_Instruction3","time_block2","time_experiment","time_faster","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_new_sketchpad","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","width"
"95","95","512","512","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","s","0","0","20","20","0","0","0","20","20","0","0","0","20","20","NA","20","20","Wed Sep 13 04:25:38 2023","1500","The main experiment item","True","Flanker Task Lab 2.2.osexp","C:\Users\kikip\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","20","20","C:/Users/kikip/OneDrive/Desktop/HB-subject-4.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","s","NA","NA","s","NA","457.0","NA","NA","33948","NA","NA","457","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","36733","NA","39243","69615","NA","NA","2781","NA","70658","2784","NA","NA","70759","71216","NA","70656","70759","Neues Experiment","20","10770.0","21","1024"
"95","95","511","511","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","s","0","0","21","21","0","0","0","21","21","0","0","0","21","21","NA","21","21","Wed Sep 13 04:25:38 2023","1500","The main experiment item","True","Flanker Task Lab 2.2.osexp","C:\Users\kikip\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","21","21","C:/Users/kikip/OneDrive/Desktop/HB-subject-4.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","s","NA","NA","s","NA","490.0","NA","NA","33948","NA","NA","490","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","36733","NA","39243","71219","NA","NA","2781","NA","72260","2784","NA","NA","72361","72852","NA","72258","72361","Neues Experiment","21","11260.0","22","1024"
"95","95","514","514","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","22","22","0","0","0","22","22","0","0","0","22","22","NA","22","22","Wed Sep 13 04:25:38 2023","1500","The main experiment item","True","Flanker Task Lab 2.2.osexp","C:\Users\kikip\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","22","22","C:/Users/kikip/OneDrive/Desktop/HB-subject-4.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","s","NA","NA","s","NA","569.0","NA","NA","33948","NA","NA","569","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","36733","NA","39243","72858","NA","NA","2781","NA","73915","2784","NA","NA","74016","74586","NA","73914","74016","Neues Experiment","22","11829.0","23","1024"
"95","95","514","514","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","s","0","0","23","23","0","0","0","23","23","0","0","0","23","23","NA","23","23","Wed Sep 13 04:25:38 2023","1500","The main experiment item","True","Flanker Task Lab 2.2.osexp","C:\Users\kikip\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","23","23","C:/Users/kikip/OneDrive/Desktop/HB-subject-4.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","s","NA","NA","s","NA","529.0","NA","NA","33948","NA","NA","529","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","36733","NA","39243","74589","NA","NA","2781","NA","75625","2784","NA","NA","75726","76256","NA","75623","75726","Neues Experiment","23","12358.0","24","1024"
"96","96","511","511","#3d3846","legacy","legacy","legacy","coongruent","1","undefined","1","h","0","0","24","24","0","0","0","24","24","0","0","0","24","24","NA","24","24","Wed Sep 13 04:25:38 2023","1500","The main experiment item","True","Flanker Task Lab 2.2.osexp","C:\Users\kikip\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","24","24","C:/Users/kikip/OneDrive/Desktop/HB-subject-4.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","s","NA","NA","h","NA","423.0","NA","NA","33948","NA","NA","423","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","36733","NA","39243","76259","NA","NA","2781","NA","77315","2784","NA","NA","77416","77840","NA","77313","77416","Neues Experiment","24","12781.0","25","1024"
"96","96","504","504","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","25","25","0","0","0","25","25","0","0","0","25","25","NA","25","25","Wed Sep 13 04:25:38 2023","1500","The main experiment item","True","Flanker Task Lab 2.2.osexp","C:\Users\kikip\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","25","25","C:/Users/kikip/OneDrive/Desktop/HB-subject-4.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","s","NA","NA","s","NA","344.0","NA","NA","33948","NA","NA","344","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","36733","NA","39243","77843","NA","NA","2781","NA","78884","2784","NA","NA","78985","79330","NA","78882","78985","Neues Experiment","25","13125.0","26","1024"
"96","96","502","502","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","26","26","0","0","0","26","26","0","0","0","26","26","NA","26","26","Wed Sep 13 04:25:38 2023","1500","The main experiment item","True","Flanker Task Lab 2.2.osexp","C:\Users\kikip\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","26","26","C:/Users/kikip/OneDrive/Desktop/HB-subject-4.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","s","NA","NA","s","NA","432.0","NA","NA","33948","NA","NA","432","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","36733","NA","39243","79337","NA","NA","2781","NA","80401","2784","NA","NA","80502","80935","NA","80399","80502","Neues Experiment","26","13557.0","27","1024"
"96","96","501","501","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","27","27","0","0","0","27","27","0","0","0","27","27","NA","27","27","Wed Sep 13 04:25:38 2023","1500","The main experiment item","True","Flanker Task Lab 2.2.osexp","C:\Users\kikip\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","27","27","C:/Users/kikip/OneDrive/Desktop/HB-subject-4.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","s","NA","NA","h","NA","481.0","NA","NA","33948","NA","NA","481","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","36733","NA","39243","80941","NA","NA","2781","NA","81978","2784","NA","NA","82079","82561","NA","81977","82079","Neues Experiment","27","14038.0","28","1024"
"96","96","499","499","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","28","28","0","0","0","28","28","0","0","0","28","28","NA","28","28","Wed Sep 13 04:25:38 2023","1500","The main experiment item","True","Flanker Task Lab 2.2.osexp","C:\Users\kikip\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","28","28","C:/Users/kikip/OneDrive/Desktop/HB-subject-4.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","s","NA","NA","h","NA","452.0","NA","NA","33948","NA","NA","452","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","36733","NA","39243","82567","NA","NA","2781","NA","83640","2784","NA","NA","83741","84194","NA","83637","83741","Neues Experiment","28","14490.0","29","1024"
"96","96","499","499","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","s","0","0","29","29","0","0","0","29","29","0","0","0","29","29","NA","29","29","Wed Sep 13 04:25:38 2023","1500","The main experiment item","True","Flanker Task Lab 2.2.osexp","C:\Users\kikip\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","29","29","C:/Users/kikip/OneDrive/Desktop/HB-subject-4.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","s","NA","NA","s","NA","500.0","NA","NA","33948","NA","NA","500","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","36733","NA","39243","84198","NA","NA","2781","NA","85248","2784","NA","NA","85349","85850","NA","85246","85349","Neues Experiment","29","14990.0","30","1024"
