acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_Instructions1,correct_keyboard_response,correct_response,count_Faster,count_ISI,count_Instructions1,count_Instructions2,count_Instructions3,count_Stimulus,count_block1,count_block2,count_block3,count_errorFeedback,count_experiment,count_finish,count_fixation,count_keyboard_response,count_new_logger,count_sequence,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Instructions1,response_Instructions2,response_Instructions3,response_finish,response_keyboard_response,response_time,response_time_Instructions1,response_time_Instructions2,response_time_Instructions3,response_time_finish,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Faster,time_ISI,time_Instructions1,time_Instructions2,time_Instructions3,time_Stimulus,time_block1,time_block2,time_block3,time_errorFeedback,time_experiment,time_finish,time_fixation,time_keyboard_response,time_new_logger,time_sequence,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,588.2380952,588.2380952,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,20,20,0,0,0,20,0,0,0,20,0,0,20,20,20,20,9/28/19 13:00,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,no,768,legacy,20,20,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,h,NA,NA,NA,h,488,39902,NA,NA,NA,488,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,NA,78223,2536,NA,NA,79428,42439,NA,NA,NA,2531,NA,79323,79429,79917,79319,Flanker Task,21,12353,21,yes,1024
100,100,584.0454545,584.0454545,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,21,21,0,0,0,21,0,0,0,21,0,0,21,21,21,21,9/28/19 13:00,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,no,768,legacy,21,21,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,h,NA,NA,NA,h,496,39902,NA,NA,NA,496,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,NA,79948,2536,NA,NA,81157,42439,NA,NA,NA,2531,NA,81052,81157,81653,81049,Flanker Task,22,12849,22,yes,1024
100,100,582.2608696,582.2608696,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,22,22,0,0,0,22,0,0,0,22,0,0,22,22,22,22,9/28/19 13:00,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,no,768,legacy,22,22,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,h,NA,NA,NA,h,543,39902,NA,NA,NA,543,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,NA,81674,2536,NA,NA,82854,42439,NA,NA,NA,2531,NA,82749,82854,83397,82746,Flanker Task,23,13392,23,yes,1024
100,100,579.375,579.375,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,23,23,0,0,0,23,0,0,0,23,0,0,23,23,23,23,9/28/19 13:00,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,no,768,legacy,23,23,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,h,NA,NA,NA,h,513,39902,NA,NA,NA,513,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,NA,83433,2536,NA,NA,84620,42439,NA,NA,NA,2531,NA,84515,84620,85133,84512,Flanker Task,24,13905,24,yes,1024
100,100,574.72,574.72,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,24,24,0,0,0,24,0,0,0,24,0,0,24,24,24,24,9/28/19 13:00,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,no,768,legacy,24,24,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,h,NA,NA,NA,s,463,39902,NA,NA,NA,463,2,legacy,1024,2,48000,-16,experiment,SSSSS,2,even,NA,85208,2536,NA,NA,86397,42439,NA,NA,NA,2531,NA,86292,86397,86862,86289,Flanker Task,25,14368,25,yes,1024
100,100,571.7692308,571.7692308,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,25,25,0,0,0,25,0,0,0,25,0,0,25,25,25,25,9/28/19 13:00,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,no,768,legacy,25,25,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,h,NA,NA,NA,s,498,39902,NA,NA,NA,498,2,legacy,1024,2,48000,-16,experiment,SSSSS,2,even,NA,86890,2536,NA,NA,88075,42439,NA,NA,NA,2531,NA,87970,88075,88573,87967,Flanker Task,26,14866,26,yes,1024
100,100,569.7407407,569.7407407,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,26,26,0,0,0,26,0,0,0,26,0,0,26,26,26,26,9/28/19 13:00,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,no,768,legacy,26,26,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,h,NA,NA,NA,h,517,39902,NA,NA,NA,517,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,NA,88608,2536,NA,NA,89824,42439,NA,NA,NA,2531,NA,89719,89824,90342,89716,Flanker Task,27,15383,27,yes,1024
100,100,567.9642857,567.9642857,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,27,27,0,0,0,27,0,0,0,27,0,0,27,27,27,27,9/28/19 13:00,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,no,768,legacy,27,27,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,h,NA,NA,NA,h,520,39902,NA,NA,NA,520,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,NA,90366,2536,NA,NA,91573,42439,NA,NA,NA,2531,NA,91468,91573,92093,91465,Flanker Task,28,15903,28,yes,1024
100,100,562.6896552,562.6896552,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,28,28,0,0,0,28,0,0,0,28,0,0,28,28,28,28,9/28/19 13:00,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,no,768,legacy,28,28,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,h,NA,NA,NA,h,415,39902,NA,NA,NA,415,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,NA,92115,2536,NA,NA,93318,42439,NA,NA,NA,2531,NA,93212,93318,93733,93208,Flanker Task,29,16318,29,yes,1024
100,100,564,564,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,29,29,0,0,0,29,0,0,0,29,0,0,29,29,29,29,9/28/19 13:00,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,no,768,legacy,29,29,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,h,NA,NA,NA,s,602,39902,NA,NA,NA,602,2,legacy,1024,2,48000,-16,experiment,HHSHH,2,even,NA,93750,2536,NA,NA,94938,42439,NA,NA,NA,2531,NA,94833,94938,95541,94830,Flanker Task,30,16920,30,yes,1024
