acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_ISI,count_errorFeedback,count_experiment,count_faster,count_finish,count_fixation,count_instructions1,count_instructions2,count_instructions3,count_keyboard_response,count_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instructions1,response_instructions2,response_instructions3,response_keyboard_response,response_time,response_time_finish,response_time_instructions1,response_time_instructions2,response_time_instructions3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ISI,time_errorFeedback,time_experiment,time_faster,time_finish,time_fixation,time_instructions1,time_instructions2,time_instructions3,time_keyboard_response,time_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
90.625,90.625,548.59375,548.59375,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,95,95,0,95,0,95,0,0,0,95,95,95,95,9/29/19 20:18,600,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,15,79,E:/Classwork/AQMAED/MA-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,h,NA,s,552,NA,40631,21987,NA,552,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,42751,217884,NA,246018,241275,2113,243806,NA,247183,2119,195896,NA,247288,247841,247181,247287,Flanker Experiment,87,52665,96,yes,1024
90.72164948,90.72164948,548.2371134,548.2371134,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,96,96,0,96,0,96,0,0,0,96,96,96,96,9/29/19 20:18,600,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,16,79,E:/Classwork/AQMAED/MA-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,h,h,NA,h,514,NA,40631,21987,NA,514,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,42751,217884,NA,247847,241275,2113,243806,NA,249051,2119,195896,NA,249155,249671,249046,249155,Flanker Experiment,88,53179,97,yes,1024
90.81632653,90.81632653,547,547,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,97,97,0,97,0,97,0,0,0,97,97,97,97,9/29/19 20:18,600,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,17,79,E:/Classwork/AQMAED/MA-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,h,NA,s,427,NA,40631,21987,NA,427,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,42751,217884,NA,249677,241275,2113,243806,NA,250884,2119,195896,NA,250989,251419,250881,250988,Flanker Experiment,89,53606,98,yes,1024
90.90909091,90.90909091,547.5353535,547.5353535,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,98,98,0,98,0,98,0,0,0,98,98,98,98,9/29/19 20:18,600,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,18,79,E:/Classwork/AQMAED/MA-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,h,NA,s,600,NA,40631,21987,NA,600,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,42751,217884,NA,251426,241275,2113,243806,NA,252621,2119,195896,NA,252726,253329,252616,252725,Flanker Experiment,90,54206,99,yes,1024
91,91,547.69,547.69,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,99,99,0,99,0,99,0,0,0,99,99,99,99,9/29/19 20:18,600,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,19,79,E:/Classwork/AQMAED/MA-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,h,h,NA,h,563,NA,40631,21987,NA,563,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,42751,217884,NA,253337,241275,2113,243806,NA,254517,2119,195896,NA,254622,255189,254515,254622,Flanker Experiment,91,54769,100,yes,1024
91.08910891,91.08910891,547.1287129,547.1287129,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,100,100,0,100,0,100,0,0,0,100,100,100,100,9/29/19 20:18,600,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,20,79,E:/Classwork/AQMAED/MA-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,h,NA,s,491,NA,40631,21987,NA,491,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,42751,217884,NA,255202,241275,2113,243806,NA,256443,2119,195896,NA,256548,257040,256438,256548,Flanker Experiment,92,55260,101,yes,1024
91.17647059,91.17647059,547.4117647,547.4117647,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,101,101,0,101,0,101,0,0,0,101,101,101,101,9/29/19 20:18,600,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,21,79,E:/Classwork/AQMAED/MA-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,h,NA,s,576,NA,40631,21987,NA,576,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,42751,217884,NA,257045,241275,2113,243806,NA,258251,2119,195896,NA,258355,258932,258246,258355,Flanker Experiment,93,55836,102,yes,1024
91.26213592,91.26213592,546.5145631,546.5145631,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,102,102,0,102,0,102,0,0,0,102,102,102,102,9/29/19 20:18,600,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,22,79,E:/Classwork/AQMAED/MA-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,h,h,NA,h,455,NA,40631,21987,NA,455,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,42751,217884,NA,258938,241275,2113,243806,NA,260122,2119,195896,NA,260227,260684,260120,260227,Flanker Experiment,94,56291,103,yes,1024
91.34615385,91.34615385,547.1153846,547.1153846,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,103,103,0,103,0,103,0,0,0,103,103,103,103,9/29/19 20:18,600,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,23,79,E:/Classwork/AQMAED/MA-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,h,h,NA,h,609,NA,40631,21987,NA,609,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,42751,217884,NA,260689,241275,2113,243806,NA,261901,2119,195896,NA,262005,262616,261895,262004,Flanker Experiment,95,56900,104,yes,1024
90.47619048,90.47619048,545.2571429,545.2571429,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,h,0,0,0,104,104,0,104,0,104,0,0,0,104,104,104,104,9/29/19 20:18,600,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,24,79,E:/Classwork/AQMAED/MA-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,h,NA,s,352,NA,40631,21987,NA,352,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,42751,217884,NA,263136,241275,2113,262633,NA,264304,2119,195896,NA,264408,264763,264301,264408,Flanker Experiment,95,57252,105,yes,1024
