"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_ISI","count_block1","count_block2","count_block3","count_errorFeedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_time","response_time_finish","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_ISI","time_block1","time_block2","time_block3","time_errorFeedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"97.14285714285714","97.14285714285714","827.2857142857143","827.2857142857143","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","34","0","0","0","34","0","34","0","34","0","0","0","34","34","34","34","Sun Sep 27 18:57:50 2020","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files","no","mono","no","18","no","white","no","yes","1440","legacy","34","34","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/CK-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","590","NA","29271","NA","NA","590","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","100894","30778","NA","NA","96444","1501","NA","NA","102022","1506","NA","NA","102139","102730","102016","102139","Flanker task","34","28955","35","yes","2560"
"97.22222222222223","97.22222222222223","822.25","822.25","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","35","0","0","0","35","0","35","0","35","0","0","0","35","35","35","35","Sun Sep 27 18:57:50 2020","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files","no","mono","no","18","no","white","no","yes","1440","legacy","35","35","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/CK-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","646","NA","29271","NA","NA","646","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","102737","30778","NA","NA","96444","1501","NA","NA","103878","1506","NA","NA","103982","104628","103872","103982","Flanker task","35","29601","36","yes","2560"
"97.29729729729729","97.29729729729729","819.4594594594595","819.4594594594595","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","36","0","0","0","36","0","36","0","36","0","0","0","36","36","36","36","Sun Sep 27 18:57:50 2020","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files","no","mono","no","18","no","white","no","yes","1440","legacy","36","36","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/CK-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","s","NA","NA","h","719","NA","29271","NA","NA","719","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","104636","30778","NA","NA","96444","1501","NA","NA","105762","1506","NA","NA","105880","106599","105756","105880","Flanker task","36","30320","37","yes","2560"
"97.36842105263158","97.36842105263158","820.6315789473684","820.6315789473684","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","37","0","0","0","37","0","37","0","37","0","0","0","37","37","37","37","Sun Sep 27 18:57:50 2020","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files","no","mono","no","18","no","white","no","yes","1440","legacy","37","37","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/CK-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","s","NA","NA","h","864","NA","29271","NA","NA","864","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","106606","30778","NA","NA","96444","1501","NA","NA","107731","1506","NA","NA","107835","108699","107725","107835","Flanker task","37","31184","38","yes","2560"
"97.43589743589743","97.43589743589743","820.5897435897435","820.5897435897435","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","38","0","0","0","38","0","38","0","38","0","0","0","38","38","38","38","Sun Sep 27 18:57:50 2020","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files","no","mono","no","18","no","white","no","yes","1440","legacy","38","38","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/CK-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","s","NA","NA","h","819","NA","29271","NA","NA","819","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","108707","30778","NA","NA","96444","1501","NA","NA","109832","1506","NA","NA","109936","110755","109826","109936","Flanker task","38","32003","39","yes","2560"
"97.5","97.5","817.875","817.875","black","legacy","legacy","legacy","0","conruent","uniform","1","undefined","1","s","39","0","0","0","39","0","39","0","39","0","0","0","39","39","39","39","Sun Sep 27 18:57:50 2020","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files","no","mono","no","18","no","white","no","yes","1440","legacy","39","39","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/CK-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","712","NA","29271","NA","NA","712","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","110763","30778","NA","NA","96444","1501","NA","NA","111887","1506","NA","NA","111991","112704","111882","111991","Flanker task","39","32715","40","yes","2560"
"97.5609756097561","97.5609756097561","812.6585365853658","812.6585365853658","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","40","0","0","0","40","0","40","0","40","0","0","0","40","40","40","40","Sun Sep 27 18:57:50 2020","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files","no","mono","no","18","no","white","no","yes","1440","legacy","40","40","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/CK-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","604","NA","29271","NA","NA","604","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","112712","30778","NA","NA","96444","1501","NA","NA","113836","1506","NA","NA","113955","114560","113831","113954","Flanker task","40","33319","41","yes","2560"
"97.61904761904762","97.61904761904762","805.0952380952381","805.0952380952381","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","41","0","0","0","41","0","41","0","41","0","0","0","41","41","41","41","Sun Sep 27 18:57:50 2020","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files","no","mono","no","18","no","white","no","yes","1440","legacy","41","41","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/CK-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","495","NA","29271","NA","NA","495","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","114567","30778","NA","NA","96444","1501","NA","NA","115692","1506","NA","NA","115798","116294","115687","115798","Flanker task","41","33814","42","yes","2560"
"97.67441860465117","97.67441860465117","798.8372093023256","798.8372093023256","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","42","0","0","0","42","0","42","0","42","0","0","0","42","42","42","42","Sun Sep 27 18:57:50 2020","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files","no","mono","no","18","no","white","no","yes","1440","legacy","42","42","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/CK-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","s","NA","NA","h","536","NA","29271","NA","NA","536","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","116302","30778","NA","NA","96444","1501","NA","NA","117434","1506","NA","NA","117538","118074","117429","117538","Flanker task","42","34350","43","yes","2560"
"97.72727272727273","97.72727272727273","791.7045454545455","791.7045454545455","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","43","0","0","0","43","0","43","0","43","0","0","0","43","43","43","43","Sun Sep 27 18:57:50 2020","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files","no","mono","no","18","no","white","no","yes","1440","legacy","43","43","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/CK-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","485","NA","29271","NA","NA","485","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","118082","30778","NA","NA","96444","1501","NA","NA","119210","1506","NA","NA","119324","119809","119204","119324","Flanker task","43","34835","44","yes","2560"
"97.77777777777777","97.77777777777777","787.2222222222222","787.2222222222222","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","44","0","0","0","44","0","44","0","44","0","0","0","44","44","44","44","Sun Sep 27 18:57:50 2020","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files","no","mono","no","18","no","white","no","yes","1440","legacy","44","44","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/CK-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","s","NA","NA","h","590","NA","29271","NA","NA","590","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","119817","30778","NA","NA","96444","1501","NA","NA","120942","1506","NA","NA","121048","121639","120937","121048","Flanker task","44","35425","45","yes","2560"
