"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","condition","correct","correct_Instuctions1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_ISI","count_Instructions2","count_Instructions3","count_Instuctions1","count_errorFeedback","count_experiment","count_faster","count_finish","count_fixation","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Instructions2","response_Instructions3","response_Instuctions1","response_finish","response_keyboard_response","response_time","response_time_Instructions2","response_time_Instructions3","response_time_Instuctions1","response_time_finish","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_ISI","time_Instructions2","time_Instructions3","time_Instuctions1","time_errorFeedback","time_experiment","time_faster","time_finish","time_fixation","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","width"
"76","76","432","432","#000000","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","20","0","0","0","20","0","20","0","20","20","20","20","20","Fri Sep 22 20:27:11 2023","1500","The main experiment item","True","FlankerTask.osexp","C:\Users\Hannah Laskoskie\Downloads","False","mono","False","18","no","white","no","yes","768","legacy","20","20","C:/Users/Hannah Laskoskie/Downloads/HL-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","h","NA","s","451.0","NA","NA","29464","NA","451","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","33668","NA","NA","66821","NA","NA","4203","64810","4198","NA","NA","67863","67964","68416","67861","67964","Flanker Task","16","9084.0","21","1024"
"77","77","434","434","#000000","legacy","legacy","legacy","incongruent","1","undefined","1","s","0","0","0","21","0","0","0","21","0","21","0","21","21","21","21","21","Fri Sep 22 20:27:11 2023","1500","The main experiment item","True","FlankerTask.osexp","C:\Users\Hannah Laskoskie\Downloads","False","mono","False","18","no","white","no","yes","768","legacy","21","21","C:/Users/Hannah Laskoskie/Downloads/HL-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","h","NA","s","474.0","NA","NA","29464","NA","474","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","33668","NA","NA","68419","NA","NA","4203","64810","4198","NA","NA","69457","69558","70033","69455","69558","Flanker Task","17","9558.0","22","1024"
"78","78","430","430","#000000","legacy","legacy","legacy","incongruent","1","undefined","1","s","0","0","0","22","0","0","0","22","0","22","0","22","22","22","22","22","Fri Sep 22 20:27:11 2023","1500","The main experiment item","True","FlankerTask.osexp","C:\Users\Hannah Laskoskie\Downloads","False","mono","False","18","no","white","no","yes","768","legacy","22","22","C:/Users/Hannah Laskoskie/Downloads/HL-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","h","NA","s","332.0","NA","NA","29464","NA","332","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","33668","NA","NA","70043","NA","NA","4203","64810","4198","NA","NA","71082","71183","71516","71078","71183","Flanker Task","18","9890.0","23","1024"
"79","79","431","431","#000000","legacy","legacy","legacy","congruent","1","undefined","1","h","0","0","0","23","0","0","0","23","0","23","0","23","23","23","23","23","Fri Sep 22 20:27:11 2023","1500","The main experiment item","True","FlankerTask.osexp","C:\Users\Hannah Laskoskie\Downloads","False","mono","False","18","no","white","no","yes","768","legacy","23","23","C:/Users/Hannah Laskoskie/Downloads/HL-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","h","NA","h","475.0","NA","NA","29464","NA","475","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","33668","NA","NA","71525","NA","NA","4203","64810","4198","NA","NA","72563","72664","73140","72560","72664","Flanker Task","19","10365.0","24","1024"
"76","76","429","429","#000000","legacy","legacy","legacy","incongruent","0","undefined","0","h","0","0","0","24","0","0","0","24","0","24","0","24","24","24","24","24","Fri Sep 22 20:27:11 2023","1500","The main experiment item","True","FlankerTask.osexp","C:\Users\Hannah Laskoskie\Downloads","False","mono","False","18","no","white","no","yes","768","legacy","24","24","C:/Users/Hannah Laskoskie/Downloads/HL-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","h","NA","s","365.0","NA","NA","29464","NA","365","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","33668","NA","NA","73149","NA","NA","4203","64810","4198","NA","NA","74197","74298","74664","74195","74298","Flanker Task","19","10730.0","25","1024"
"76","76","439","439","#000000","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","25","0","0","0","25","0","25","0","25","25","25","25","25","Fri Sep 22 20:27:11 2023","1500","The main experiment item","True","FlankerTask.osexp","C:\Users\Hannah Laskoskie\Downloads","False","mono","False","18","no","white","no","yes","768","legacy","25","25","C:/Users/Hannah Laskoskie/Downloads/HL-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","h","NA","s","702.0","NA","NA","29464","NA","702","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","33668","NA","NA","75168","NA","NA","4203","74667","4198","NA","NA","76217","76320","77023","76213","76319","Flanker Task","20","11432.0","26","1024"
"77","77","462","462","#000000","legacy","legacy","legacy","congruent","1","undefined","1","h","0","0","0","26","0","0","0","26","0","26","0","26","26","26","26","26","Fri Sep 22 20:27:11 2023","1500","The main experiment item","True","FlankerTask.osexp","C:\Users\Hannah Laskoskie\Downloads","False","mono","False","18","no","white","no","yes","768","legacy","26","26","C:/Users/Hannah Laskoskie/Downloads/HL-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","h","NA","h","1067.0","NA","NA","29464","NA","1067","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","33668","NA","NA","77032","NA","NA","4203","74667","4198","NA","NA","78105","78207","79275","78103","78207","Flanker Task","21","12499.0","27","1024"
"78","78","458","458","#000000","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","27","0","0","0","27","0","27","0","27","27","27","27","27","Fri Sep 22 20:27:11 2023","1500","The main experiment item","True","FlankerTask.osexp","C:\Users\Hannah Laskoskie\Downloads","False","mono","False","18","no","white","no","yes","768","legacy","27","27","C:/Users/Hannah Laskoskie/Downloads/HL-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","h","NA","s","343.0","NA","NA","29464","NA","343","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","33668","NA","NA","79284","NA","NA","4203","74667","4198","NA","NA","80323","80424","80769","80321","80424","Flanker Task","22","12842.0","28","1024"
"79","79","454","454","#000000","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","28","0","0","0","28","0","28","0","28","28","28","28","28","Fri Sep 22 20:27:11 2023","1500","The main experiment item","True","FlankerTask.osexp","C:\Users\Hannah Laskoskie\Downloads","False","mono","False","18","no","white","no","yes","768","legacy","28","28","C:/Users/Hannah Laskoskie/Downloads/HL-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","h","NA","h","330.0","NA","NA","29464","NA","330","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","33668","NA","NA","80778","NA","NA","4203","74667","4198","NA","NA","81815","81916","82248","81812","81916","Flanker Task","23","13172.0","29","1024"
"76","76","451","451","#000000","legacy","legacy","legacy","incongruent","0","undefined","0","s","0","0","0","29","0","0","0","29","0","29","0","29","29","29","29","29","Fri Sep 22 20:27:11 2023","1500","The main experiment item","True","FlankerTask.osexp","C:\Users\Hannah Laskoskie\Downloads","False","mono","False","18","no","white","no","yes","768","legacy","29","29","C:/Users/Hannah Laskoskie/Downloads/HL-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","h","NA","h","385.0","NA","NA","29464","NA","385","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","33668","NA","NA","82256","NA","NA","4203","74667","4198","NA","NA","83300","83401","83787","83297","83401","Flanker Task","23","13557.0","30","1024"
"74","74","450","450","#000000","legacy","legacy","legacy","congruent","0","undefined","0","h","0","0","0","30","0","0","0","30","0","30","0","30","30","30","30","30","Fri Sep 22 20:27:11 2023","1500","The main experiment item","True","FlankerTask.osexp","C:\Users\Hannah Laskoskie\Downloads","False","mono","False","18","no","white","no","yes","768","legacy","30","30","C:/Users/Hannah Laskoskie/Downloads/HL-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","h","NA","s","395.0","NA","NA","29464","NA","395","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","33668","NA","NA","84297","NA","NA","4203","83796","4198","NA","NA","85340","85441","85837","85337","85441","Flanker Task","23","13952.0","31","1024"
"75","75","461","461","#000000","legacy","legacy","legacy","incongruent","1","undefined","1","s","0","0","0","31","0","0","0","31","0","31","0","31","31","31","31","31","Fri Sep 22 20:27:11 2023","1500","The main experiment item","True","FlankerTask.osexp","C:\Users\Hannah Laskoskie\Downloads","False","mono","False","18","no","white","no","yes","768","legacy","31","31","C:/Users/Hannah Laskoskie/Downloads/HL-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","h","NA","s","826.0","NA","NA","29464","NA","826","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","33668","NA","NA","86347","NA","NA","4203","85846","4198","NA","NA","87383","87484","88311","87381","87484","Flanker Task","24","14778.0","32","1024"
"75","75","488","488","#000000","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","32","0","0","0","32","0","32","0","32","32","32","32","32","Fri Sep 22 20:27:11 2023","1500","The main experiment item","True","FlankerTask.osexp","C:\Users\Hannah Laskoskie\Downloads","False","mono","False","18","no","white","no","yes","768","legacy","32","32","C:/Users/Hannah Laskoskie/Downloads/HL-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","h","NA","s","1338.0","NA","NA","29464","NA","1338","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","33668","NA","NA","88320","NA","NA","4203","85846","4198","NA","NA","89358","89459","90797","89355","89459","Flanker Task","25","16116.0","33","1024"
"76","76","489","489","#000000","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","33","0","0","0","33","0","33","0","33","33","33","33","33","Fri Sep 22 20:27:11 2023","1500","The main experiment item","True","FlankerTask.osexp","C:\Users\Hannah Laskoskie\Downloads","False","mono","False","18","no","white","no","yes","768","legacy","33","33","C:/Users/Hannah Laskoskie/Downloads/HL-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","h","NA","s","525.0","NA","NA","29464","NA","525","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","33668","NA","NA","90806","NA","NA","4203","85846","4198","NA","NA","91844","91945","92471","91841","91945","Flanker Task","26","16641.0","34","1024"
