acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instruction1,correct_keybordresponse,correct_response,count_Block1,count_Block2,count_Block3,count_errorfeedback,count_experiment,count_faster,count_finish,count_fixation,count_instruction1,count_instructions2,count_instructions3,count_isi,count_keybordresponse,count_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instruction1,response_instructions2,response_instructions3,response_keybordresponse,response_time,response_time_finish,response_time_instruction1,response_time_instructions2,response_time_instructions3,response_time_keybordresponse,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_errorfeedback,time_experiment,time_faster,time_finish,time_fixation,time_instruction1,time_instructions2,time_instructions3,time_isi,time_keybordresponse,time_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
85.71428571,85.71428571,764.5714286,764.5714286,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,20,0,20,0,20,0,0,0,20,20,20,20,20,Sat Sep 19 20:28:53 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\katri\OneDrive\Documents,no,mono,no,18,no,white,no,no,768,legacy,20,20,C:/Users/katri/OneDrive/Documents/krsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,k,NA,NA,s,673,NA,8462,NA,NA,673,2,legacy,1024,2,48000,-16,experiment,HHSHH,0,even,9956,NA,NA,41204,1490,NA,NA,51166,1493,NA,NA,50038,51270,51943,51164,51270,Flanker Task,18,16056,21,yes,1024
86.36363636,86.36363636,757.9090909,757.9090909,black,legacy,legacy,legacy,0,incongrunet,uniform,1,undefined,1,h,0,0,0,21,0,21,0,21,0,0,0,21,21,21,21,21,Sat Sep 19 20:28:53 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\katri\OneDrive\Documents,no,mono,no,18,no,white,no,no,768,legacy,21,21,C:/Users/katri/OneDrive/Documents/krsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,k,NA,NA,h,618,NA,8462,NA,NA,618,2,legacy,1024,2,48000,-16,experiment,SSHSS,0,even,9956,NA,NA,41204,1490,NA,NA,53044,1493,NA,NA,51951,53152,53771,53042,53152,Flanker Task,19,16674,22,yes,1024
86.95652174,86.95652174,750.4347826,750.4347826,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,22,0,22,0,22,0,0,0,22,22,22,22,22,Sat Sep 19 20:28:53 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\katri\OneDrive\Documents,no,mono,no,18,no,white,no,no,768,legacy,22,22,C:/Users/katri/OneDrive/Documents/krsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,k,NA,NA,h,586,NA,8462,NA,NA,586,2,legacy,1024,2,48000,-16,experiment,HHHHH,0,even,9956,NA,NA,41204,1490,NA,NA,54853,1493,NA,NA,53773,54957,55543,54851,54957,Flanker Task,20,17260,23,yes,1024
87.5,87.5,745.25,745.25,black,legacy,legacy,legacy,0,incongrunet,uniform,1,undefined,1,h,0,0,0,23,0,23,0,23,0,0,0,23,23,23,23,23,Sat Sep 19 20:28:53 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\katri\OneDrive\Documents,no,mono,no,18,no,white,no,no,768,legacy,23,23,C:/Users/katri/OneDrive/Documents/krsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,k,NA,NA,h,626,NA,8462,NA,NA,626,2,legacy,1024,2,48000,-16,experiment,SSHSS,0,even,9956,NA,NA,41204,1490,NA,NA,56645,1493,NA,NA,55551,56749,57376,56643,56749,Flanker Task,21,17886,24,yes,1024
88,88,741.76,741.76,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,24,0,24,0,24,0,0,0,24,24,24,24,24,Sat Sep 19 20:28:53 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\katri\OneDrive\Documents,no,mono,no,18,no,white,no,no,768,legacy,24,24,C:/Users/katri/OneDrive/Documents/krsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,k,NA,NA,s,658,NA,8462,NA,NA,658,2,legacy,1024,2,48000,-16,experiment,HHSHH,0,even,9956,NA,NA,41204,1490,NA,NA,58458,1493,NA,NA,57385,58562,59220,58457,58562,Flanker Task,22,18544,25,yes,1024
88.46153846,88.46153846,736.1538462,736.1538462,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,25,0,25,0,25,0,0,0,25,25,25,25,25,Sat Sep 19 20:28:53 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\katri\OneDrive\Documents,no,mono,no,18,no,white,no,no,768,legacy,25,25,C:/Users/katri/OneDrive/Documents/krsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,k,NA,NA,s,596,NA,8462,NA,NA,596,2,legacy,1024,2,48000,-16,experiment,HHSHH,0,even,9956,NA,NA,41204,1490,NA,NA,60356,1493,NA,NA,59245,60461,61058,60354,60461,Flanker Task,23,19140,26,yes,1024
88.88888889,88.88888889,731.9259259,731.9259259,black,legacy,legacy,legacy,0,incongrunet,uniform,1,undefined,1,h,0,0,0,26,0,26,0,26,0,0,0,26,26,26,26,26,Sat Sep 19 20:28:53 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\katri\OneDrive\Documents,no,mono,no,18,no,white,no,no,768,legacy,26,26,C:/Users/katri/OneDrive/Documents/krsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,k,NA,NA,h,622,NA,8462,NA,NA,622,2,legacy,1024,2,48000,-16,experiment,SSHSS,0,even,9956,NA,NA,41204,1490,NA,NA,62157,1493,NA,NA,61064,62261,62884,62155,62261,Flanker Task,24,19762,27,yes,1024
89.28571429,89.28571429,724.7857143,724.7857143,black,legacy,legacy,legacy,0,incongrunet,uniform,1,undefined,1,h,0,0,0,27,0,27,0,27,0,0,0,27,27,27,27,27,Sat Sep 19 20:28:53 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\katri\OneDrive\Documents,no,mono,no,18,no,white,no,no,768,legacy,27,27,C:/Users/katri/OneDrive/Documents/krsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,k,NA,NA,h,532,NA,8462,NA,NA,532,2,legacy,1024,2,48000,-16,experiment,SSHSS,0,even,9956,NA,NA,41204,1490,NA,NA,63988,1493,NA,NA,62893,64092,64624,63985,64092,Flanker Task,25,20294,28,yes,1024
89.65517241,89.65517241,720.137931,720.137931,black,legacy,legacy,legacy,0,incongrunet,uniform,1,undefined,1,h,0,0,0,28,0,28,0,28,0,0,0,28,28,28,28,28,Sat Sep 19 20:28:53 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\katri\OneDrive\Documents,no,mono,no,18,no,white,no,no,768,legacy,28,28,C:/Users/katri/OneDrive/Documents/krsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,k,NA,NA,h,590,NA,8462,NA,NA,590,2,legacy,1024,2,48000,-16,experiment,SSHSS,0,even,9956,NA,NA,41204,1490,NA,NA,65743,1493,NA,NA,64650,65847,66438,65741,65847,Flanker Task,26,20884,29,yes,1024
86.66666667,86.66666667,713.6333333,713.6333333,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,s,0,0,0,29,0,29,0,29,0,0,0,29,29,29,29,29,Sat Sep 19 20:28:53 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\katri\OneDrive\Documents,no,mono,no,18,no,white,no,no,768,legacy,29,29,C:/Users/katri/OneDrive/Documents/krsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,k,NA,NA,h,525,NA,8462,NA,NA,525,2,legacy,1024,2,48000,-16,experiment,HHSHH,0,even,9956,NA,NA,41204,1490,NA,NA,67567,1493,NA,NA,66441,67672,68198,67565,67672,Flanker Task,26,21409,30,yes,1024
