"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_Instruction","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_Errorfeedback","count_Finish","count_Fixation","count_ISI","count_Instruction","count_Instruction2","count_Instruction3","count_experiment","count_faster","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Finish","response_Instruction","response_Instruction2","response_Instruction3","response_keyboard_response","response_time","response_time_Finish","response_time_Instruction","response_time_Instruction2","response_time_Instruction3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_Errorfeedback","time_Finish","time_Fixation","time_ISI","time_Instruction","time_Instruction2","time_Instruction3","time_experiment","time_faster","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"95.23809523809524","95.23809523809524","628.6190476190476","628.6190476190476","black","legacy","legacy","legacy","0","congruent ","uniform","1","undefined","1","s","0","0","0","20","0","20","20","0","0","0","0","20","20","20","20","20","Sat Sep 19 10:43:40 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","20","20","/Users/kaylaredder/Desktop/fr-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","q","NA","NA","s","522","NA","58728","NA","NA","522","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","61198","NA","NA","62885","NA","98327","97270","2461","NA","NA","2446","NA","98442","98966","98315","98442","Flanker Task ","20","13201","21","yes","1024"
"95.45454545454545","95.45454545454545","625.5","625.5","black","legacy","legacy","legacy","0","incongruent ","uniform","1","undefined","1","h","0","0","0","21","0","21","21","0","0","0","0","21","21","21","21","21","Sat Sep 19 10:43:40 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","21","21","/Users/kaylaredder/Desktop/fr-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","q","NA","NA","h","560","NA","58728","NA","NA","560","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","61198","NA","NA","62885","NA","100042","98986","2461","NA","NA","2446","NA","100157","100718","100030","100157","Flanker Task ","21","13761","22","yes","1024"
"95.65217391304348","95.65217391304348","616.5652173913044","616.5652173913044","black","legacy","legacy","legacy","0","congruent ","uniform","1","undefined","1","s","0","0","0","22","0","22","22","0","0","0","0","22","22","22","22","22","Sat Sep 19 10:43:40 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","22","22","/Users/kaylaredder/Desktop/fr-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","q","NA","NA","s","420","NA","58728","NA","NA","420","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","61198","NA","NA","62885","NA","101807","100749","2461","NA","NA","2446","NA","101921","102342","101795","101921","Flanker Task ","22","14181","23","yes","1024"
"95.83333333333333","95.83333333333333","613.75","613.75","black","legacy","legacy","legacy","0","incongruent ","uniform","1","undefined","1","h","0","0","0","23","0","23","23","0","0","0","0","23","23","23","23","23","Sat Sep 19 10:43:40 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","23","23","/Users/kaylaredder/Desktop/fr-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","q","NA","NA","h","549","NA","58728","NA","NA","549","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","61198","NA","NA","62885","NA","103421","102364","2461","NA","NA","2446","NA","103535","104085","103409","103535","Flanker Task ","23","14730","24","yes","1024"
"96","96","607.84","607.84","black","legacy","legacy","legacy","0","congruent ","uniform","1","undefined","1","s","0","0","0","24","0","24","24","0","0","0","0","24","24","24","24","24","Sat Sep 19 10:43:40 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","24","24","/Users/kaylaredder/Desktop/fr-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","q","NA","NA","s","466","NA","58728","NA","NA","466","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","61198","NA","NA","62885","NA","105163","104106","2461","NA","NA","2446","NA","105278","105745","105151","105277","Flanker Task ","24","15196","25","yes","1024"
"96.15384615384616","96.15384615384616","603.5","603.5","black","legacy","legacy","legacy","0","congruent ","uniform","1","undefined","1","s","0","0","0","25","0","25","25","0","0","0","0","25","25","25","25","25","Sat Sep 19 10:43:40 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","25","25","/Users/kaylaredder/Desktop/fr-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","q","NA","NA","s","495","NA","58728","NA","NA","495","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","61198","NA","NA","62885","NA","106823","105766","2461","NA","NA","2446","NA","106937","107433","106811","106937","Flanker Task ","25","15691","26","yes","1024"
"96.29629629629629","96.29629629629629","595.5925925925926","595.5925925925926","black","legacy","legacy","legacy","0","congruent ","uniform","1","undefined","1","s","0","0","0","26","0","26","26","0","0","0","0","26","26","26","26","26","Sat Sep 19 10:43:40 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","26","26","/Users/kaylaredder/Desktop/fr-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","q","NA","NA","s","390","NA","58728","NA","NA","390","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","61198","NA","NA","62885","NA","108511","107454","2461","NA","NA","2446","NA","108625","109016","108499","108625","Flanker Task ","26","16081","27","yes","1024"
"96.42857142857143","96.42857142857143","590.9642857142857","590.9642857142857","black","legacy","legacy","legacy","0","congruent ","uniform","1","undefined","1","s","0","0","0","27","0","27","27","0","0","0","0","27","27","27","27","27","Sat Sep 19 10:43:40 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","27","27","/Users/kaylaredder/Desktop/fr-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","q","NA","NA","s","466","NA","58728","NA","NA","466","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","61198","NA","NA","62885","NA","110096","109037","2461","NA","NA","2446","NA","110210","110677","110084","110210","Flanker Task ","27","16547","28","yes","1024"
"93.10344827586206","93.10344827586206","590.5862068965517","590.5862068965517","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","s","0","0","0","28","0","28","28","0","0","0","0","28","28","28","28","28","Sat Sep 19 10:43:40 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","28","28","/Users/kaylaredder/Desktop/fr-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","q","NA","NA","h","580","NA","58728","NA","NA","580","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","61198","NA","NA","62885","NA","111755","110698","2461","NA","NA","2446","NA","111870","112451","111744","111870","Flanker Task ","27","17127","29","yes","1024"
"93.33333333333333","93.33333333333333","589.2","589.2","black","legacy","legacy","legacy","0","incongruent ","uniform","1","undefined","1","h","0","0","0","29","0","29","29","0","0","0","0","29","29","29","29","29","Sat Sep 19 10:43:40 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","29","29","/Users/kaylaredder/Desktop/fr-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","q","NA","NA","h","549","NA","58728","NA","NA","549","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","61198","NA","NA","112472","NA","114042","112986","2461","NA","NA","2446","NA","114156","114706","114030","114156","Flanker Task ","28","17676","30","yes","1024"
