"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","condition","correct","correct_instructions1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_ErrorFeedback","count_Fixation","count_ISI","count_Logger","count_Sequence","count_Stimulus","count_experiment","count_faster","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_new_sketchpad","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_new_sketchpad","response_time","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","response_time_new_sketchpad","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_ErrorFeedback","time_Fixation","time_ISI","time_Logger","time_Sequence","time_Stimulus","time_experiment","time_faster","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_new_sketchpad","title","total_correct","total_response_time","total_responses","width"
"90","90","401","401","#000000","legacy","legacy","legacy","Incongruent","1","undefined","1","s","0","0","0","20","20","20","20","20","20","0","20","0","0","0","20","0","Sun Sep 24 19:26:35 2023","1500","The main experiment item","False","Edward Banda Flanker Task.osexp","C:\Users\Edward Banda\Desktop\Avd Quant Methods 5316","False","mono","False","18","no","white","no","yes","768","legacy","20","20","C:/Users/Edward Banda/Desktop/EB-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","s","s","NA","NA","s","NA","375.0","169423","NA","NA","375","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","171286","NA","NA","180146","203417","202382","203893","203416","203518","1858","NA","1862","NA","NA","203518","NA","Flanker Task","19","8441.0","21","1024"
"90","90","406","406","#000000","legacy","legacy","legacy","Incongruent","1","undefined","1","s","0","0","0","21","21","21","21","21","21","0","21","0","0","0","21","0","Sun Sep 24 19:26:35 2023","1500","The main experiment item","False","Edward Banda Flanker Task.osexp","C:\Users\Edward Banda\Desktop\Avd Quant Methods 5316","False","mono","False","18","no","white","no","yes","768","legacy","21","21","C:/Users/Edward Banda/Desktop/EB-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","s","s","NA","NA","s","NA","496.0","169423","NA","NA","496","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","171286","NA","NA","180146","204945","203905","205544","204943","205046","1858","NA","1862","NA","NA","205047","NA","Flanker Task","20","8937.0","22","1024"
"86","86","407","407","#000000","legacy","legacy","legacy","Incongruent","0","undefined","0","s","0","0","0","22","22","22","22","22","22","0","22","0","0","0","22","0","Sun Sep 24 19:26:35 2023","1500","The main experiment item","False","Edward Banda Flanker Task.osexp","C:\Users\Edward Banda\Desktop\Avd Quant Methods 5316","False","mono","False","18","no","white","no","yes","768","legacy","22","22","C:/Users/Edward Banda/Desktop/EB-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","h","s","NA","NA","h","NA","424.0","169423","NA","NA","424","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","171286","NA","NA","180146","206594","205556","207119","206591","206695","1858","NA","1862","NA","NA","206695","NA","Flanker Task","20","9361.0","23","1024"
"83","83","405","405","#000000","legacy","legacy","legacy","Incongruent","0","undefined","0","h","0","0","0","23","23","23","23","23","23","0","23","0","0","0","23","0","Sun Sep 24 19:26:35 2023","1500","The main experiment item","False","Edward Banda Flanker Task.osexp","C:\Users\Edward Banda\Desktop\Avd Quant Methods 5316","False","mono","False","18","no","white","no","yes","768","legacy","23","23","C:/Users/Edward Banda/Desktop/EB-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","s","s","NA","NA","s","NA","382.0","169423","NA","NA","382","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","171286","NA","NA","207132","208668","207633","209152","208667","208770","1858","NA","1862","NA","NA","208770","NA","Flanker Task","20","9743.0","24","1024"
"84","84","406","406","#000000","legacy","legacy","legacy","Congruent","1","undefined","1","s","0","0","0","24","24","24","24","24","24","0","24","0","0","0","24","0","Sun Sep 24 19:26:35 2023","1500","The main experiment item","False","Edward Banda Flanker Task.osexp","C:\Users\Edward Banda\Desktop\Avd Quant Methods 5316","False","mono","False","18","no","white","no","yes","768","legacy","24","24","C:/Users/Edward Banda/Desktop/EB-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","s","s","NA","NA","s","NA","408.0","169423","NA","NA","408","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","171286","NA","NA","209165","210700","209666","211210","210697","210801","1858","NA","1862","NA","NA","210801","NA","Flanker Task","21","10151.0","25","1024"
"84","84","407","407","#000000","legacy","legacy","legacy","Incongruent","1","undefined","1","s","0","0","0","25","25","25","25","25","25","0","25","0","0","0","25","0","Sun Sep 24 19:26:35 2023","1500","The main experiment item","False","Edward Banda Flanker Task.osexp","C:\Users\Edward Banda\Desktop\Avd Quant Methods 5316","False","mono","False","18","no","white","no","yes","768","legacy","25","25","C:/Users/Edward Banda/Desktop/EB-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","s","s","NA","NA","s","NA","455.0","169423","NA","NA","455","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","171286","NA","NA","209165","212255","211222","212812","212253","212356","1858","NA","1862","NA","NA","212357","NA","Flanker Task","22","10606.0","26","1024"
"85","85","410","410","#000000","legacy","legacy","legacy","Incongruent","1","undefined","1","h","0","0","0","26","26","26","26","26","26","0","26","0","0","0","26","0","Sun Sep 24 19:26:35 2023","1500","The main experiment item","False","Edward Banda Flanker Task.osexp","C:\Users\Edward Banda\Desktop\Avd Quant Methods 5316","False","mono","False","18","no","white","no","yes","768","legacy","26","26","C:/Users/Edward Banda/Desktop/EB-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","h","s","NA","NA","h","NA","466.0","169423","NA","NA","466","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","171286","NA","NA","209165","213868","212824","214436","213867","213969","1858","NA","1862","NA","NA","213969","NA","Flanker Task","23","11072.0","27","1024"
"85","85","406","406","#000000","legacy","legacy","legacy","Congruent","1","undefined","1","s","0","0","0","27","27","27","27","27","27","0","27","0","0","0","27","0","Sun Sep 24 19:26:35 2023","1500","The main experiment item","False","Edward Banda Flanker Task.osexp","C:\Users\Edward Banda\Desktop\Avd Quant Methods 5316","False","mono","False","18","no","white","no","yes","768","legacy","27","27","C:/Users/Edward Banda/Desktop/EB-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","s","s","NA","NA","s","NA","303.0","169423","NA","NA","303","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","171286","NA","NA","209165","215485","214448","215890","215483","215586","1858","NA","1862","NA","NA","215586","NA","Flanker Task","24","11375.0","28","1024"
"86","86","406","406","#000000","legacy","legacy","legacy","Congruent","1","undefined","1","h","0","0","0","28","28","28","28","28","28","0","28","0","0","0","28","0","Sun Sep 24 19:26:35 2023","1500","The main experiment item","False","Edward Banda Flanker Task.osexp","C:\Users\Edward Banda\Desktop\Avd Quant Methods 5316","False","mono","False","18","no","white","no","yes","768","legacy","28","28","C:/Users/Edward Banda/Desktop/EB-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","h","s","NA","NA","h","NA","425.0","169423","NA","NA","425","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","171286","NA","NA","209165","216940","215902","217467","216938","217041","1858","NA","1862","NA","NA","217041","NA","Flanker Task","25","11800.0","29","1024"
"86","86","404","404","#000000","legacy","legacy","legacy","Incongruent","1","undefined","1","h","0","0","0","29","29","29","29","29","29","0","29","0","0","0","29","0","Sun Sep 24 19:26:35 2023","1500","The main experiment item","False","Edward Banda Flanker Task.osexp","C:\Users\Edward Banda\Desktop\Avd Quant Methods 5316","False","mono","False","18","no","white","no","yes","768","legacy","29","29","C:/Users/Edward Banda/Desktop/EB-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","h","s","NA","NA","h","NA","331.0","169423","NA","NA","331","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","171286","NA","NA","209165","218517","217479","218950","218514","218618","1858","NA","1862","NA","NA","218618","NA","Flanker Task","26","12131.0","30","1024"
