acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_Instructions1,correct_keyboard_response,correct_response,count_ISI,count_Instructions1,count_block1,count_block2,count_block3,count_errorFeedback,count_experiment,count_faster,count_finish,count_instructions2,count_instructions3,count_keyboard_response,count_logger,count_new_sketchpad,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Instructions1,response_finish,response_instructions2,response_instructions3,response_keyboard_response,response_time,response_time_Instructions1,response_time_finish,response_time_instructions2,response_time_instructions3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_ISI,time_Instructions1,time_block1,time_block2,time_block3,time_errorFeedback,time_experiment,time_faster,time_finish,time_instructions2,time_instructions3,time_keyboard_response,time_logger,time_new_sketchpad,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
80.95238095,80.95238095,614.6190476,614.6190476,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,h,20,0,0,0,0,20,0,20,0,0,0,20,20,20,20,20,Fri Sep 18 21:35:23 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources,no,mono,no,18,no,white,no,no,768,legacy,20,20,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources/th-subject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,h,NA,NA,NA,s,337,4131,NA,NA,NA,337,2,legacy,1024,2,48000,-16,experiment,SSHSS,0,even,49995,4853,9009,NA,NA,28421,4666,NA,NA,NA,NA,51408,51760,51212,51124,51408,Flanker Task,17,12907,21,yes,1024
81.81818182,81.81818182,613.1363636,613.1363636,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,21,0,0,0,0,21,0,21,0,0,0,21,21,21,21,21,Fri Sep 18 21:35:23 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources,no,mono,no,18,no,white,no,no,768,legacy,21,21,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources/th-subject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,h,NA,NA,NA,h,582,4131,NA,NA,NA,582,2,legacy,1024,2,48000,-16,experiment,SSHSS,0,even,52458,4853,9009,NA,NA,51881,4666,NA,NA,NA,NA,53834,54418,53652,53575,53834,Flanker Task,18,13489,22,yes,1024
82.60869565,82.60869565,615.9565217,615.9565217,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,22,0,0,0,0,22,0,22,0,0,0,22,22,22,22,22,Fri Sep 18 21:35:23 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources,no,mono,no,18,no,white,no,no,768,legacy,22,22,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources/th-subject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,h,NA,NA,NA,s,678,4131,NA,NA,NA,678,2,legacy,1024,2,48000,-16,experiment,HHSHH,0,even,54483,4853,9009,NA,NA,51881,4666,NA,NA,NA,NA,55763,56443,55610,55556,55763,Flanker Task,19,14167,23,yes,1024
83.33333333,83.33333333,610.2916667,610.2916667,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,23,0,0,0,0,23,0,23,0,0,0,23,23,23,23,23,Fri Sep 18 21:35:23 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources,no,mono,no,18,no,white,no,no,768,legacy,23,23,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources/th-subject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,h,NA,NA,NA,s,480,4131,NA,NA,NA,480,2,legacy,1024,2,48000,-16,experiment,HHSHH,0,even,56498,4853,9009,NA,NA,51881,4666,NA,NA,NA,NA,57775,58257,57621,57568,57774,Flanker Task,20,14647,24,yes,1024
84,84,604.08,604.08,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,24,0,0,0,0,24,0,24,0,0,0,24,24,24,24,24,Fri Sep 18 21:35:23 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources,no,mono,no,18,no,white,no,no,768,legacy,24,24,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources/th-subject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,h,NA,NA,NA,s,455,4131,NA,NA,NA,455,2,legacy,1024,2,48000,-16,experiment,HHSHH,0,even,58327,4853,9009,NA,NA,51881,4666,NA,NA,NA,NA,59611,60068,59457,59398,59611,Flanker Task,21,15102,25,yes,1024
84.61538462,84.61538462,596.6923077,596.6923077,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,25,0,0,0,0,25,0,25,0,0,0,25,25,25,25,25,Fri Sep 18 21:35:23 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources,no,mono,no,18,no,white,no,no,768,legacy,25,25,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources/th-subject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,h,NA,NA,NA,s,412,4131,NA,NA,NA,412,2,legacy,1024,2,48000,-16,experiment,HHSHH,0,even,60129,4853,9009,NA,NA,51881,4666,NA,NA,NA,NA,61420,61834,61266,61208,61420,Flanker Task,22,15514,26,yes,1024
85.18518519,85.18518519,591.7407407,591.7407407,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,26,0,0,0,0,26,0,26,0,0,0,26,26,26,26,26,Fri Sep 18 21:35:23 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources,no,mono,no,18,no,white,no,no,768,legacy,26,26,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources/th-subject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,h,NA,NA,NA,h,463,4131,NA,NA,NA,463,2,legacy,1024,2,48000,-16,experiment,HHHHH,0,even,61889,4853,9009,NA,NA,51881,4666,NA,NA,NA,NA,63161,63626,63009,62957,63161,Flanker Task,23,15977,27,yes,1024
85.71428571,85.71428571,584.6428571,584.6428571,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,27,0,0,0,0,27,0,27,0,0,0,27,27,27,27,27,Fri Sep 18 21:35:23 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources,no,mono,no,18,no,white,no,no,768,legacy,27,27,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources/th-subject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,h,NA,NA,NA,s,393,4131,NA,NA,NA,393,2,legacy,1024,2,48000,-16,experiment,SSSSS,0,even,63688,4853,9009,NA,NA,51881,4666,NA,NA,NA,NA,64968,65363,64815,64762,64967,Flanker Task,24,16370,28,yes,1024
86.20689655,86.20689655,581.7241379,581.7241379,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,28,0,0,0,0,28,0,28,0,0,0,28,28,28,28,28,Fri Sep 18 21:35:23 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources,no,mono,no,18,no,white,no,no,768,legacy,28,28,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources/th-subject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,h,NA,NA,NA,h,500,4131,NA,NA,NA,500,2,legacy,1024,2,48000,-16,experiment,SSHSS,0,even,65426,4853,9009,NA,NA,51881,4666,NA,NA,NA,NA,66700,67202,66548,66495,66700,Flanker Task,25,16870,29,yes,1024
86.66666667,86.66666667,578.7333333,578.7333333,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,29,0,0,0,0,29,0,29,0,0,0,29,29,29,29,29,Fri Sep 18 21:35:23 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources,no,mono,no,18,no,white,no,no,768,legacy,29,29,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources/th-subject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,h,NA,NA,NA,h,492,4131,NA,NA,NA,492,2,legacy,1024,2,48000,-16,experiment,HHHHH,0,even,67287,4853,9009,NA,NA,51881,4666,NA,NA,NA,NA,68580,69074,68411,68357,68580,Flanker Task,26,17362,30,yes,1024
