acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_ISI,count_errorFeedback,count_experiment,count_faster,count_finish,count_fixation,count_getting_started,count_instructions1,count_instructions2,count_instructions3,count_keyboard_response,count_new_logger,count_new_sketchpad,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instructions1,response_instructions2,response_instructions3,response_keyboard_response,response_new_sketchpad,response_time,response_time_finish,response_time_instructions1,response_time_instructions2,response_time_instructions3,response_time_keyboard_response,response_time_new_sketchpad,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ISI,time_errorFeedback,time_experiment,time_faster,time_finish,time_fixation,time_getting_started,time_instructions1,time_instructions2,time_instructions3,time_keyboard_response,time_new_logger,time_new_sketchpad,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
95.23809524,95.23809524,497,497,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,20,20,0,20,0,20,0,0,0,0,20,20,NA,20,20,Sun Sep 22 16:22:41 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,20,20,/Users/danielrazo0311/Desktop/DR-subject0.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,NA,499,NA,14083,NA,NA,499,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,18000,NA,NA,52821,38237,3883,NA,NA,53952,NA,3906,NA,NA,54065,54566,NA,53940,54065,Flanker Task,20,10437,21,yes,1024
95.45454545,95.45454545,504.0909091,504.0909091,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,21,21,0,21,0,21,0,0,0,0,21,21,NA,21,21,Sun Sep 22 16:22:41 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,21,21,/Users/danielrazo0311/Desktop/DR-subject0.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,NA,653,NA,14083,NA,NA,653,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,18000,NA,NA,54581,38237,3883,NA,NA,55710,NA,3906,NA,NA,55823,56478,NA,55698,55823,Flanker Task,21,11090,22,yes,1024
95.65217391,95.65217391,504.6521739,504.6521739,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,22,22,0,22,0,22,0,0,0,0,22,22,NA,22,22,Sun Sep 22 16:22:41 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,22,22,/Users/danielrazo0311/Desktop/DR-subject0.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,NA,517,NA,14083,NA,NA,517,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,18000,NA,NA,56493,38237,3883,NA,NA,57628,NA,3906,NA,NA,57742,58261,NA,57615,57742,Flanker Task,22,11607,23,yes,1024
95.83333333,95.83333333,503.375,503.375,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,23,23,0,23,0,23,0,0,0,0,23,23,NA,23,23,Sun Sep 22 16:22:41 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,23,23,/Users/danielrazo0311/Desktop/DR-subject0.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,474,NA,14083,NA,NA,474,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,18000,NA,NA,58276,38237,3883,NA,NA,59407,NA,3906,NA,NA,59522,59998,NA,59395,59522,Flanker Task,23,12081,24,yes,1024
96,96,500.6,500.6,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,24,24,0,24,0,24,0,0,0,0,24,24,NA,24,24,Sun Sep 22 16:22:41 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,24,24,/Users/danielrazo0311/Desktop/DR-subject0.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,434,NA,14083,NA,NA,434,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,18000,NA,NA,60012,38237,3883,NA,NA,61145,NA,3906,NA,NA,61258,61694,NA,61133,61258,Flanker Task,24,12515,25,yes,1024
96.15384615,96.15384615,497.3076923,497.3076923,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,25,25,0,25,0,25,0,0,0,0,25,25,NA,25,25,Sun Sep 22 16:22:41 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,25,25,/Users/danielrazo0311/Desktop/DR-subject0.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,415,NA,14083,NA,NA,415,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,18000,NA,NA,61709,38237,3883,NA,NA,62842,NA,3906,NA,NA,62956,63374,NA,62829,62956,Flanker Task,25,12930,26,yes,1024
96.2962963,96.2962963,500,500,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,26,26,0,26,0,26,0,0,0,0,26,26,NA,26,26,Sun Sep 22 16:22:41 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,26,26,/Users/danielrazo0311/Desktop/DR-subject0.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,NA,570,NA,14083,NA,NA,570,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,18000,NA,NA,63389,38237,3883,NA,NA,64519,NA,3906,NA,NA,64632,65205,NA,64506,64632,Flanker Task,26,13500,27,yes,1024
96.42857143,96.42857143,503.0357143,503.0357143,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,27,27,0,27,0,27,0,0,0,0,27,27,NA,27,27,Sun Sep 22 16:22:41 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,27,27,/Users/danielrazo0311/Desktop/DR-subject0.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,NA,585,NA,14083,NA,NA,585,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,18000,NA,NA,65236,38237,3883,NA,NA,66368,NA,3906,NA,NA,66481,67069,NA,66355,66481,Flanker Task,27,14085,28,yes,1024
96.55172414,96.55172414,500.4482759,500.4482759,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,28,28,0,28,0,28,0,0,0,0,28,28,NA,28,28,Sun Sep 22 16:22:41 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,28,28,/Users/danielrazo0311/Desktop/DR-subject0.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,428,NA,14083,NA,NA,428,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,18000,NA,NA,67084,38237,3883,NA,NA,68231,NA,3906,NA,NA,68343,68774,NA,68218,68343,Flanker Task,28,14513,29,yes,1024
96.66666667,96.66666667,500.7666667,500.7666667,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,29,29,0,29,0,29,0,0,0,0,29,29,NA,29,29,Sun Sep 22 16:22:41 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,29,29,/Users/danielrazo0311/Desktop/DR-subject0.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,510,NA,14083,NA,NA,510,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,18000,NA,NA,68823,38237,3883,NA,NA,69956,NA,3906,NA,NA,70069,70582,NA,69943,70069,Flanker Task,29,15023,30,yes,1024
96.77419355,96.77419355,500.3870968,500.3870968,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,30,30,0,30,0,30,0,0,0,0,30,30,NA,30,30,Sun Sep 22 16:22:41 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,30,30,/Users/danielrazo0311/Desktop/DR-subject0.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,489,NA,14083,NA,NA,489,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,18000,NA,NA,70597,38237,3883,NA,NA,71728,NA,3906,NA,NA,71842,72334,NA,71715,71842,Flanker Task,30,15512,31,yes,1024
96.875,96.875,498.84375,498.84375,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,31,31,0,31,0,31,0,0,0,0,31,31,NA,31,31,Sun Sep 22 16:22:41 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,31,31,/Users/danielrazo0311/Desktop/DR-subject0.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,451,NA,14083,NA,NA,451,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,18000,NA,NA,72350,38237,3883,NA,NA,73479,NA,3906,NA,NA,73592,74045,NA,73467,73592,Flanker Task,31,15963,32,yes,1024
