"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_InstructionsOne","correct_Keyboard_Response","correct_response","count_BlockOne","count_BlockThree","count_BlockTwo","count_Error_Feedback","count_Faster","count_Finish","count_Fixation","count_ISI","count_InstructionsOne","count_InstructionsThree","count_InstructionsTwo","count_Keyboard_Response","count_Logger","count_Sequence","count_Stimulus","count_experiment","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_BlockOne","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Finish","response_InstructionsOne","response_InstructionsThree","response_InstructionsTwo","response_Keyboard_Response","response_time","response_time_Finish","response_time_InstructionsOne","response_time_InstructionsThree","response_time_InstructionsTwo","response_time_Keyboard_Response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_BlockOne","time_BlockThree","time_BlockTwo","time_Error_Feedback","time_Faster","time_Finish","time_Fixation","time_ISI","time_InstructionsOne","time_InstructionsThree","time_InstructionsTwo","time_Keyboard_Response","time_Logger","time_Sequence","time_Stimulus","time_experiment","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"90.47619047619048","90.47619047619048","483.8095238095238","483.8095238095238","black","legacy","legacy","legacy","0","Incongruent","uniform","1","undefined","1","s","0","0","0","20","20","0","20","20","0","0","0","20","20","20","20","0","Wed Sep 21 12:59:00 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Austin\Documents","no","mono","no","18","no","white","no","yes","768","legacy","20","20","C:/Users/Austin/Documents/AH-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","s","NA","NA","s","460","NA","5637","NA","NA","460","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","11337","NA","NA","34491","NA","NA","49480","48213","5697","NA","NA","49589","50051","49473","49588","5686","Flanker Task","19","10160","21","yes","1024"
"90.9090909090909","90.9090909090909","483.6818181818182","483.6818181818182","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","h","0","0","0","21","21","0","21","21","0","0","0","21","21","21","21","0","Wed Sep 21 12:59:00 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Austin\Documents","no","mono","no","18","no","white","no","yes","768","legacy","21","21","C:/Users/Austin/Documents/AH-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","s","NA","NA","h","481","NA","5637","NA","NA","481","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","11337","NA","NA","34491","NA","NA","51329","50062","5697","NA","NA","51437","51920","51320","51436","5686","Flanker Task","20","10641","22","yes","1024"
"91.30434782608695","91.30434782608695","482.4347826086956","482.4347826086956","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","h","0","0","0","22","22","0","22","22","0","0","0","22","22","22","22","0","Wed Sep 21 12:59:00 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Austin\Documents","no","mono","no","18","no","white","no","yes","768","legacy","22","22","C:/Users/Austin/Documents/AH-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","s","NA","NA","h","455","NA","5637","NA","NA","455","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","11337","NA","NA","34491","NA","NA","53211","51931","5697","NA","NA","53319","53775","53202","53318","5686","Flanker Task","21","11096","23","yes","1024"
"91.66666666666667","91.66666666666667","482.2083333333333","482.2083333333333","black","legacy","legacy","legacy","0","Incongruent","uniform","1","undefined","1","s","0","0","0","23","23","0","23","23","0","0","0","23","23","23","23","0","Wed Sep 21 12:59:00 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Austin\Documents","no","mono","no","18","no","white","no","yes","768","legacy","23","23","C:/Users/Austin/Documents/AH-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","s","NA","NA","s","477","NA","5637","NA","NA","477","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","11337","NA","NA","34491","NA","NA","55030","53787","5697","NA","NA","55137","55616","55022","55136","5686","Flanker Task","22","11573","24","yes","1024"
"92","92","480.24","480.24","black","legacy","legacy","legacy","0","Incongruent","uniform","1","undefined","1","s","0","0","0","24","24","0","24","24","0","0","0","24","24","24","24","0","Wed Sep 21 12:59:00 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Austin\Documents","no","mono","no","18","no","white","no","yes","768","legacy","24","24","C:/Users/Austin/Documents/AH-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","s","NA","NA","s","433","NA","5637","NA","NA","433","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","11337","NA","NA","34491","NA","NA","56854","55626","5697","NA","NA","56960","57395","56846","56959","5686","Flanker Task","23","12006","25","yes","1024"
"88.46153846153847","88.46153846153847","476.4230769230769","476.4230769230769","black","legacy","legacy","legacy","0","Incongruent","uniform","0","undefined","0","h","0","0","0","25","25","0","25","25","0","0","0","25","25","25","25","0","Wed Sep 21 12:59:00 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Austin\Documents","no","mono","no","18","no","white","no","yes","768","legacy","25","25","C:/Users/Austin/Documents/AH-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","s","NA","NA","s","381","NA","5637","NA","NA","381","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","11337","NA","NA","34491","NA","NA","58618","57405","5697","NA","NA","58726","59109","58610","58726","5686","Flanker Task","23","12387","26","yes","1024"
"88.88888888888889","88.88888888888889","475.0740740740741","475.0740740740741","black","legacy","legacy","legacy","0","Incongruent","uniform","1","undefined","1","s","0","0","0","26","26","0","26","26","0","0","0","26","26","26","26","0","Wed Sep 21 12:59:00 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Austin\Documents","no","mono","no","18","no","white","no","yes","768","legacy","26","26","C:/Users/Austin/Documents/AH-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","s","NA","NA","s","440","NA","5637","NA","NA","440","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","11337","NA","NA","59120","NA","NA","60839","59625","5697","NA","NA","60948","61389","60832","60946","5686","Flanker Task","24","12827","27","yes","1024"
"89.28571428571429","89.28571428571429","503.7857142857143","503.7857142857143","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","h","0","0","0","27","27","0","27","27","0","0","0","27","27","27","27","0","Wed Sep 21 12:59:00 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Austin\Documents","no","mono","no","18","no","white","no","yes","768","legacy","27","27","C:/Users/Austin/Documents/AH-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","s","NA","NA","h","1279","NA","5637","NA","NA","1279","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","11337","NA","NA","59120","NA","NA","62680","61400","5697","NA","NA","62788","64068","62671","62787","5686","Flanker Task","25","14106","28","yes","1024"
"89.65517241379311","89.65517241379311","535.6551724137931","535.6551724137931","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","s","0","0","0","28","28","0","28","28","0","0","0","28","28","28","28","0","Wed Sep 21 12:59:00 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Austin\Documents","no","mono","no","18","no","white","no","yes","768","legacy","28","28","C:/Users/Austin/Documents/AH-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","s","NA","NA","s","1428","NA","5637","NA","NA","1428","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","11337","NA","NA","59120","NA","NA","65355","64079","5697","NA","NA","65462","66892","65347","65462","5686","Flanker Task","26","15534","29","yes","1024"
"90","90","531.8","531.8","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","h","0","0","0","29","29","0","29","29","0","0","0","29","29","29","29","0","Wed Sep 21 12:59:00 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Austin\Documents","no","mono","no","18","no","white","no","yes","768","legacy","29","29","C:/Users/Austin/Documents/AH-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","s","NA","NA","h","420","NA","5637","NA","NA","420","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","11337","NA","NA","59120","NA","NA","68157","66903","5697","NA","NA","68264","68685","68149","68263","5686","Flanker Task","27","15954","30","yes","1024"
"90.3225806451613","90.3225806451613","530.5483870967741","530.5483870967741","black","legacy","legacy","legacy","0","Incongruent","uniform","1","undefined","1","s","0","0","0","30","30","0","30","30","0","0","0","30","30","30","30","0","Wed Sep 21 12:59:00 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Austin\Documents","no","mono","no","18","no","white","no","yes","768","legacy","30","30","C:/Users/Austin/Documents/AH-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","s","NA","NA","s","493","NA","5637","NA","NA","493","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","11337","NA","NA","59120","NA","NA","69952","68696","5697","NA","NA","70061","70556","69945","70060","5686","Flanker Task","28","16447","31","yes","1024"
