acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,condition,correct,correct_instructions1,correct_keyboard_response,correct_response,count_ISI,count_block1,count_block2,count_block3,count_errorFeedback,count_experiment,count_faster,count_finish,count_fixation,count_instructions1,count_instructions2,count_instructions3,count_keyboard_response,count_logger,count_new_sketchpad,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instructions1,response_instructions2,response_instructions3,response_keyboard_response,response_new_sketchpad,response_time,response_time_finish,response_time_instructions1,response_time_instructions2,response_time_instructions3,response_time_keyboard_response,response_time_new_sketchpad,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_ISI,time_block1,time_block2,time_block3,time_errorFeedback,time_experiment,time_faster,time_finish,time_fixation,time_instructions1,time_instructions2,time_instructions3,time_keyboard_response,time_logger,time_new_sketchpad,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,width
95,95,434,434,black,legacy,legacy,legacy,congruent ,1,undefined,1,s,21,0,0,0,21,0,21,0,21,0,0,0,21,21,NA,21,21,Thu Sep 21 14:33:46 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,21,21,C:/Users/Simone/Desktop/SD-subject-4.csv,legacy,Melodramatic Milgram,4.0.5,0,s,NA,s,NA,NA,s,NA,439,NA,2308,NA,NA,439,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,36645,4092,NA,NA,6115,1780,NA,NA,37677,1783,NA,NA,37778,38217,NA,37676,37778,Flanker Task,21,9568,22,1024
95,95,432,432,black,legacy,legacy,legacy,congruent ,1,undefined,1,s,22,0,0,0,22,0,22,0,22,0,0,0,22,22,NA,22,22,Thu Sep 21 14:33:46 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,22,22,C:/Users/Simone/Desktop/SD-subject-4.csv,legacy,Melodramatic Milgram,4.0.5,0,s,NA,s,NA,NA,s,NA,382,NA,2308,NA,NA,382,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,38220,4092,NA,NA,6115,1780,NA,NA,39250,1783,NA,NA,39352,39734,NA,39249,39352,Flanker Task,22,9950,23,1024
95,95,430,430,black,legacy,legacy,legacy,congruent ,1,undefined,1,s,23,0,0,0,23,0,23,0,23,0,0,0,23,23,NA,23,23,Thu Sep 21 14:33:46 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,23,23,C:/Users/Simone/Desktop/SD-subject-4.csv,legacy,Melodramatic Milgram,4.0.5,0,s,NA,s,NA,NA,s,NA,378,NA,2308,NA,NA,378,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,39737,4092,NA,NA,6115,1780,NA,NA,40768,1783,NA,NA,40869,41247,NA,40766,40869,Flanker Task,23,10328,24,1024
96,96,431,431,black,legacy,legacy,legacy,congruent ,1,undefined,1,h,24,0,0,0,24,0,24,0,24,0,0,0,24,24,NA,24,24,Thu Sep 21 14:33:46 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,24,24,C:/Users/Simone/Desktop/SD-subject-4.csv,legacy,Melodramatic Milgram,4.0.5,0,h,NA,s,NA,NA,h,NA,451,NA,2308,NA,NA,451,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,41251,4092,NA,NA,6115,1780,NA,NA,42281,1783,NA,NA,42382,42834,NA,42280,42382,Flanker Task,24,10779,25,1024
96,96,433,433,black,legacy,legacy,legacy,incongruent,1,undefined,1,h,25,0,0,0,25,0,25,0,25,0,0,0,25,25,NA,25,25,Thu Sep 21 14:33:46 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,25,25,C:/Users/Simone/Desktop/SD-subject-4.csv,legacy,Melodramatic Milgram,4.0.5,0,h,NA,s,NA,NA,h,NA,503,NA,2308,NA,NA,503,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,42838,4092,NA,NA,6115,1780,NA,NA,43871,1783,NA,NA,43972,44476,NA,43869,43972,Flanker Task,25,11282,26,1024
96,96,433,433,black,legacy,legacy,legacy,incongruent,1,undefined,1,h,26,0,0,0,26,0,26,0,26,0,0,0,26,26,NA,26,26,Thu Sep 21 14:33:46 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,26,26,C:/Users/Simone/Desktop/SD-subject-4.csv,legacy,Melodramatic Milgram,4.0.5,0,h,NA,s,NA,NA,h,NA,427,NA,2308,NA,NA,427,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,44481,4092,NA,NA,6115,1780,NA,NA,45517,1783,NA,NA,45618,46046,NA,45515,45618,Flanker Task,26,11709,27,1024
96,96,433,433,black,legacy,legacy,legacy,incongruent,1,undefined,1,s,27,0,0,0,27,0,27,0,27,0,0,0,27,27,NA,27,27,Thu Sep 21 14:33:46 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,27,27,C:/Users/Simone/Desktop/SD-subject-4.csv,legacy,Melodramatic Milgram,4.0.5,0,s,NA,s,NA,NA,s,NA,420,NA,2308,NA,NA,420,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,46052,4092,NA,NA,6115,1780,NA,NA,47086,1783,NA,NA,47187,47607,NA,47084,47187,Flanker Task,27,12129,28,1024
96,96,434,434,black,legacy,legacy,legacy,incongruent,1,undefined,1,h,28,0,0,0,28,0,28,0,28,0,0,0,28,28,NA,28,28,Thu Sep 21 14:33:46 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,28,28,C:/Users/Simone/Desktop/SD-subject-4.csv,legacy,Melodramatic Milgram,4.0.5,0,h,NA,s,NA,NA,h,NA,462,NA,2308,NA,NA,462,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,47611,4092,NA,NA,6115,1780,NA,NA,48640,1783,NA,NA,48741,49203,NA,48638,48741,Flanker Task,28,12591,29,1024
96,96,433,433,black,legacy,legacy,legacy,incongruent,1,undefined,1,h,29,0,0,0,29,0,29,0,29,0,0,0,29,29,NA,29,29,Thu Sep 21 14:33:46 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,29,29,C:/Users/Simone/Desktop/SD-subject-4.csv,legacy,Melodramatic Milgram,4.0.5,0,h,NA,s,NA,NA,h,NA,419,NA,2308,NA,NA,419,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,49207,4092,NA,NA,6115,1780,NA,NA,50251,1783,NA,NA,50352,50771,NA,50249,50352,Flanker Task,29,13010,30,1024
96,96,432,432,black,legacy,legacy,legacy,congruent ,1,undefined,1,s,30,0,0,0,30,0,30,0,30,0,0,0,30,30,NA,30,30,Thu Sep 21 14:33:46 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,30,30,C:/Users/Simone/Desktop/SD-subject-4.csv,legacy,Melodramatic Milgram,4.0.5,0,s,NA,s,NA,NA,s,NA,396,NA,2308,NA,NA,396,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,50775,4092,NA,NA,6115,1780,NA,NA,51807,1783,NA,NA,51908,52304,NA,51805,51908,Flanker Task,30,13406,31,1024
96,96,431,431,black,legacy,legacy,legacy,congruent ,1,undefined,1,s,31,0,0,0,31,0,31,0,31,0,0,0,31,31,NA,31,31,Thu Sep 21 14:33:46 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,31,31,C:/Users/Simone/Desktop/SD-subject-4.csv,legacy,Melodramatic Milgram,4.0.5,0,s,NA,s,NA,NA,s,NA,407,NA,2308,NA,NA,407,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,52308,4092,NA,NA,6115,1780,NA,NA,53337,1783,NA,NA,53438,53846,NA,53335,53438,Flanker Task,31,13813,32,1024
96,96,431,431,black,legacy,legacy,legacy,incongruent,1,undefined,1,h,32,0,0,0,32,0,32,0,32,0,0,0,32,32,NA,32,32,Thu Sep 21 14:33:46 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,32,32,C:/Users/Simone/Desktop/SD-subject-4.csv,legacy,Melodramatic Milgram,4.0.5,0,h,NA,s,NA,NA,h,NA,423,NA,2308,NA,NA,423,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,53851,4092,NA,NA,6115,1780,NA,NA,54883,1783,NA,NA,54984,55408,NA,54881,54984,Flanker Task,32,14236,33,1024
97,97,428,428,black,legacy,legacy,legacy,congruent ,1,undefined,1,s,33,0,0,0,33,0,33,0,33,0,0,0,33,33,NA,33,33,Thu Sep 21 14:33:46 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,33,33,C:/Users/Simone/Desktop/SD-subject-4.csv,legacy,Melodramatic Milgram,4.0.5,0,s,NA,s,NA,NA,s,NA,349,NA,2308,NA,NA,349,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,55412,4092,NA,NA,6115,1780,NA,NA,56443,1783,NA,NA,56544,56894,NA,56441,56544,Flanker Task,33,14585,34,1024
97,97,428,428,black,legacy,legacy,legacy,incongruent,1,undefined,1,s,34,0,0,0,34,0,34,0,34,0,0,0,34,34,NA,34,34,Thu Sep 21 14:33:46 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,34,34,C:/Users/Simone/Desktop/SD-subject-4.csv,legacy,Melodramatic Milgram,4.0.5,0,s,NA,s,NA,NA,s,NA,411,NA,2308,NA,NA,411,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,56898,4092,NA,NA,6115,1780,NA,NA,57922,1783,NA,NA,58023,58435,NA,57920,58023,Flanker Task,34,14996,35,1024
97,97,428,428,black,legacy,legacy,legacy,congruent ,1,undefined,1,h,35,0,0,0,35,0,35,0,35,0,0,0,35,35,NA,35,35,Thu Sep 21 14:33:46 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,35,35,C:/Users/Simone/Desktop/SD-subject-4.csv,legacy,Melodramatic Milgram,4.0.5,0,h,NA,s,NA,NA,h,NA,426,NA,2308,NA,NA,426,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,58437,4092,NA,NA,6115,1780,NA,NA,59465,1783,NA,NA,59566,59993,NA,59464,59566,Flanker Task,35,15422,36,1024
