acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_Instructions1,correct_new_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_ErrorFeedback,count_Faster,count_Finish,count_Fixation,count_ISI,count_Instructions1,count_Instructions2,count_Instructions3,count_Stimulus,count_experiment,count_new_keyboard_response,count_new_logger,count_new_sequence,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Finish,response_Instructions1,response_Instructions2,response_Instructions3,response_new_keyboard_response,response_time,response_time_Finish,response_time_Instructions1,response_time_Instructions2,response_time_Instructions3,response_time_new_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ErrorFeedback,time_Faster,time_Finish,time_Fixation,time_ISI,time_Instructions1,time_Instructions2,time_Instructions3,time_Stimulus,time_experiment,time_new_keyboard_response,time_new_logger,time_new_sequence,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
95.23809524,95.23809524,507.5238095,507.5238095,black,xpyriment,legacy,legacy,0,Incongruent,uniform,1,undefined,1,h,0,0,0,20,20,0,20,20,0,0,0,20,0,20,20,20,9/26/19 11:20,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,20,20,C:/Users/hosan/Desktop/TB_subject-04.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,475,NA,2395,NA,NA,475,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,14659,NA,NA,41127,NA,NA,77449,75400,12262,NA,NA,77557,12237,77558,78034,77427,Flanker Task ,20,10658,21,yes,1024
95.45454545,95.45454545,506.1818182,506.1818182,black,xpyriment,legacy,legacy,0,Congruent,uniform,1,undefined,1,h,0,0,0,21,21,0,21,21,0,0,0,21,0,21,21,21,9/26/19 11:20,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,21,21,C:/Users/hosan/Desktop/TB_subject-04.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,478,NA,2395,NA,NA,478,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,14659,NA,NA,41127,NA,NA,80438,78279,12262,NA,NA,80546,12237,80546,81025,80413,Flanker Task ,21,11136,22,yes,1024
95.65217391,95.65217391,505.5217391,505.5217391,black,xpyriment,legacy,legacy,0,Incongruent,uniform,1,undefined,1,s,0,0,0,22,22,0,22,22,0,0,0,22,0,22,22,22,9/26/19 11:20,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,22,22,C:/Users/hosan/Desktop/TB_subject-04.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,491,NA,2395,NA,NA,491,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,14659,NA,NA,41127,NA,NA,83374,81334,12262,NA,NA,83481,12237,83481,83972,83352,Flanker Task ,22,11627,23,yes,1024
95.83333333,95.83333333,507.5416667,507.5416667,black,xpyriment,legacy,legacy,0,Congruent,uniform,1,undefined,1,h,0,0,0,23,23,0,23,23,0,0,0,23,0,23,23,23,9/26/19 11:20,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,23,23,C:/Users/hosan/Desktop/TB_subject-04.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,554,NA,2395,NA,NA,554,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,14659,NA,NA,41127,NA,NA,86290,84267,12262,NA,NA,86397,12237,86397,86952,86266,Flanker Task ,23,12181,24,yes,1024
96,96,508.56,508.56,black,xpyriment,legacy,legacy,0,Incongruent,uniform,1,undefined,1,h,0,0,0,24,24,0,24,24,0,0,0,24,0,24,24,24,9/26/19 11:20,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,24,24,C:/Users/hosan/Desktop/TB_subject-04.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,533,NA,2395,NA,NA,533,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,14659,NA,NA,41127,NA,NA,89372,87219,12262,NA,NA,89479,12237,89480,90013,89349,Flanker Task ,24,12714,25,yes,1024
96.15384615,96.15384615,506.5769231,506.5769231,black,xpyriment,legacy,legacy,0,Incongruent,uniform,1,undefined,1,s,0,0,0,25,25,0,25,25,0,0,0,25,0,25,25,25,9/26/19 11:20,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,25,25,C:/Users/hosan/Desktop/TB_subject-04.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,457,NA,2395,NA,NA,457,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,14659,NA,NA,41127,NA,NA,92467,90271,12262,NA,NA,92572,12237,92572,93030,92443,Flanker Task ,25,13171,26,yes,1024
96.2962963,96.2962963,507.8518519,507.8518519,black,xpyriment,legacy,legacy,0,Congruent,uniform,1,undefined,1,s,0,0,0,26,26,0,26,26,0,0,0,26,0,26,26,26,9/26/19 11:20,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,26,26,C:/Users/hosan/Desktop/TB_subject-04.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,541,NA,2395,NA,NA,541,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,14659,NA,NA,41127,NA,NA,95304,93195,12262,NA,NA,95409,12237,95409,95950,95279,Flanker Task ,26,13712,27,yes,1024
96.42857143,96.42857143,507.7142857,507.7142857,black,xpyriment,legacy,legacy,0,Incongruent,uniform,1,undefined,1,h,0,0,0,27,27,0,27,27,0,0,0,27,0,27,27,27,9/26/19 11:20,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,27,27,C:/Users/hosan/Desktop/TB_subject-04.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,504,NA,2395,NA,NA,504,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,14659,NA,NA,41127,NA,NA,98314,96179,12262,NA,NA,98421,12237,98421,98926,98289,Flanker Task ,27,14216,28,yes,1024
96.55172414,96.55172414,502.4827586,502.4827586,black,xpyriment,legacy,legacy,0,Congruent,uniform,1,undefined,1,h,0,0,0,28,28,0,28,28,0,0,0,28,0,28,28,28,9/26/19 11:20,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,28,28,C:/Users/hosan/Desktop/TB_subject-04.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,356,NA,2395,NA,NA,356,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,14659,NA,NA,41127,NA,NA,101303,99007,12262,NA,NA,101410,12237,101410,101767,101279,Flanker Task ,28,14572,29,yes,1024
96.66666667,96.66666667,497.3666667,497.3666667,black,xpyriment,legacy,legacy,0,Incongruent,uniform,1,undefined,1,h,0,0,0,29,29,0,29,29,0,0,0,29,0,29,29,29,9/26/19 11:20,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,29,29,C:/Users/hosan/Desktop/TB_subject-04.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,349,NA,2395,NA,NA,349,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,14659,NA,NA,41127,NA,NA,104056,101806,12262,NA,NA,104163,12237,104163,104513,104033,Flanker Task ,29,14921,30,yes,1024
