condition,Deadline,Stimulus,acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_Instructions1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_Finish,count_Fixation,count_ISI,count_Instructions1,count_Instructions2,count_Instructions3,count_Sequence,count_Stimulus,count_errorFeedback,count_experiment,count_faster,count_keyboard_response,count_logger,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Finish,response_Instructions1,response_Instructions2,response_Instructions3,response_keyboard_response,response_time,response_time_Finish,response_time_Instructions1,response_time_Instructions2,response_time_Instructions3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_Finish,time_Fixation,time_ISI,time_Instructions1,time_Instructions2,time_Instructions3,time_Sequence,time_Stimulus,time_errorFeedback,time_experiment,time_faster,time_keyboard_response,time_logger,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
Congruent,1500,HHHHH,63.63636364,63.63636364,1157,1157,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,0,10,10,0,0,0,10,10,10,0,10,10,10,Sun Sep 26 18:46:48 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Downloads,no,mono,no,18,no,white,no,yes,768,legacy,10,10,/Users/samonemarks/Downloads/CM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,s,NA,NA,h,848,NA,121334,NA,NA,848,2,legacy,1024,2,48000,-16,experiment,3,odd,125806,NA,NA,NA,151972,150909,4464,NA,NA,151970,152074,142270,4426,139099,152074,152922,Flanker Task,7,12727,11,yes,1024
Incongruent,1500,HHSHH,66.66666667,66.66666667,1159.916667,1159.916667,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,0,11,11,0,0,0,11,11,11,0,11,11,11,Sun Sep 26 18:46:48 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Downloads,no,mono,no,18,no,white,no,yes,768,legacy,11,11,/Users/samonemarks/Downloads/CM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,s,NA,NA,s,1192,NA,121334,NA,NA,1192,2,legacy,1024,2,48000,-16,experiment,3,odd,125806,NA,NA,NA,153990,152927,4464,NA,NA,153987,154092,142270,4426,139099,154092,155284,Flanker Task,8,13919,12,yes,1024
Incongruent,1500,SSHSS,69.23076923,69.23076923,1138.692308,1138.692308,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,0,12,12,0,0,0,12,12,12,0,12,12,12,Sun Sep 26 18:46:48 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Downloads,no,mono,no,18,no,white,no,yes,768,legacy,12,12,/Users/samonemarks/Downloads/CM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,s,NA,NA,h,884,NA,121334,NA,NA,884,2,legacy,1024,2,48000,-16,experiment,3,odd,125806,NA,NA,NA,156351,155289,4464,NA,NA,156349,156453,142270,4426,139099,156453,157337,Flanker Task,9,14803,13,yes,1024
Congruent,1500,SSSSS,71.42857143,71.42857143,1129.714286,1129.714286,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,0,13,13,0,0,0,13,13,13,0,13,13,13,Sun Sep 26 18:46:48 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Downloads,no,mono,no,18,no,white,no,yes,768,legacy,13,13,/Users/samonemarks/Downloads/CM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,s,NA,NA,s,1013,NA,121334,NA,NA,1013,2,legacy,1024,2,48000,-16,experiment,3,odd,125806,NA,NA,NA,158403,157342,4464,NA,NA,158401,158506,142270,4426,139099,158506,159519,Flanker Task,10,15816,14,yes,1024
Incongruent,1500,SSHSS,73.33333333,73.33333333,1120.533333,1120.533333,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,0,14,14,0,0,0,14,14,14,0,14,14,14,Sun Sep 26 18:46:48 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Downloads,no,mono,no,18,no,white,no,yes,768,legacy,14,14,/Users/samonemarks/Downloads/CM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,s,NA,NA,h,992,NA,121334,NA,NA,992,2,legacy,1024,2,48000,-16,experiment,3,odd,125806,NA,NA,NA,160586,159524,4464,NA,NA,160583,160688,142270,4426,139099,160688,161680,Flanker Task,11,16808,15,yes,1024
Incongruent,1500,SSHSS,75,75,1110.75,1110.75,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,0,15,15,0,0,0,15,15,15,0,15,15,15,Sun Sep 26 18:46:48 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Downloads,no,mono,no,18,no,white,no,yes,768,legacy,15,15,/Users/samonemarks/Downloads/CM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,s,NA,NA,h,964,NA,121334,NA,NA,964,2,legacy,1024,2,48000,-16,experiment,3,odd,125806,NA,NA,NA,162745,161684,4464,NA,NA,162743,162847,142270,4426,139099,162847,163812,Flanker Task,12,17772,16,yes,1024
Incongruent,1500,SSHSS,76.47058824,76.47058824,1101.588235,1101.588235,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,0,16,16,0,0,0,16,16,16,0,16,16,16,Sun Sep 26 18:46:48 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Downloads,no,mono,no,18,no,white,no,yes,768,legacy,16,16,/Users/samonemarks/Downloads/CM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,s,NA,NA,h,955,NA,121334,NA,NA,955,2,legacy,1024,2,48000,-16,experiment,3,odd,125806,NA,NA,NA,164878,163816,4464,NA,NA,164875,164980,142270,4426,139099,164981,165937,Flanker Task,13,18727,17,yes,1024
Congruent,1500,HHHHH,77.77777778,77.77777778,1086.944444,1086.944444,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,0,17,17,0,0,0,17,17,17,0,17,17,17,Sun Sep 26 18:46:48 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Downloads,no,mono,no,18,no,white,no,yes,768,legacy,17,17,/Users/samonemarks/Downloads/CM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,s,NA,NA,h,838,NA,121334,NA,NA,838,2,legacy,1024,2,48000,-16,experiment,3,odd,125806,NA,NA,NA,167024,165942,4464,NA,NA,167021,167127,142270,4426,139099,167127,167966,Flanker Task,14,19565,18,yes,1024
Congruent,1500,SSSSS,78.94736842,78.94736842,1067.421053,1067.421053,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,0,18,18,0,0,0,18,18,18,0,18,18,18,Sun Sep 26 18:46:48 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Downloads,no,mono,no,18,no,white,no,yes,768,legacy,18,18,/Users/samonemarks/Downloads/CM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,s,NA,NA,s,716,NA,121334,NA,NA,716,2,legacy,1024,2,48000,-16,experiment,3,odd,125806,NA,NA,NA,169034,167971,4464,NA,NA,169031,169136,142270,4426,139099,169136,169853,Flanker Task,15,20281,19,yes,1024
Congruent,1500,SSSSS,80,80,1057.25,1057.25,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,0,19,19,0,0,0,19,19,19,0,19,19,19,Sun Sep 26 18:46:48 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Downloads,no,mono,no,18,no,white,no,yes,768,legacy,19,19,/Users/samonemarks/Downloads/CM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,s,NA,NA,s,864,NA,121334,NA,NA,864,2,legacy,1024,2,48000,-16,experiment,3,odd,125806,NA,NA,NA,170921,169858,4464,NA,NA,170919,171023,142270,4426,139099,171023,171888,Flanker Task,16,21145,20,yes,1024
Congruent,1500,HHHHH,80.95238095,80.95238095,1049.142857,1049.142857,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,0,20,20,0,0,0,20,20,20,0,20,20,20,Sun Sep 26 18:46:48 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Downloads,no,mono,no,18,no,white,no,yes,768,legacy,20,20,/Users/samonemarks/Downloads/CM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,s,NA,NA,h,887,NA,121334,NA,NA,887,2,legacy,1024,2,48000,-16,experiment,3,odd,125806,NA,NA,NA,172954,171892,4464,NA,NA,172951,173056,142270,4426,139099,173056,173944,Flanker Task,17,22032,21,yes,1024
Congruent,1500,SSSSS,81.81818182,81.81818182,1053.409091,1053.409091,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,0,21,21,0,0,0,21,21,21,0,21,21,21,Sun Sep 26 18:46:48 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Downloads,no,mono,no,18,no,white,no,yes,768,legacy,21,21,/Users/samonemarks/Downloads/CM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,s,NA,NA,s,1143,NA,121334,NA,NA,1143,2,legacy,1024,2,48000,-16,experiment,3,odd,125806,NA,NA,NA,175012,173949,4464,NA,NA,175009,175114,142270,4426,139099,175114,176258,Flanker Task,18,23175,22,yes,1024
Incongruent,1500,SSHSS,82.60869565,82.60869565,1040.826087,1040.826087,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,0,22,22,0,0,0,22,22,22,0,22,22,22,Sun Sep 26 18:46:48 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Downloads,no,mono,no,18,no,white,no,yes,768,legacy,22,22,/Users/samonemarks/Downloads/CM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,s,NA,NA,h,764,NA,121334,NA,NA,764,2,legacy,1024,2,48000,-16,experiment,3,odd,125806,NA,NA,NA,177325,176263,4464,NA,NA,177323,177428,142270,4426,139099,177428,178193,Flanker Task,19,23939,23,yes,1024
Congruent,1500,HHHHH,83.33333333,83.33333333,1027.375,1027.375,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,0,23,23,0,0,0,23,23,23,0,23,23,23,Sun Sep 26 18:46:48 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Downloads,no,mono,no,18,no,white,no,yes,768,legacy,23,23,/Users/samonemarks/Downloads/CM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,s,NA,NA,h,718,NA,121334,NA,NA,718,2,legacy,1024,2,48000,-16,experiment,3,odd,125806,NA,NA,NA,179260,178198,4464,NA,NA,179258,179362,142270,4426,139099,179362,180080,Flanker Task,20,24657,24,yes,1024
Congruent,1500,SSSSS,84,84,1014.28,1014.28,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,0,24,24,0,0,0,24,24,24,0,24,24,24,Sun Sep 26 18:46:48 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Downloads,no,mono,no,18,no,white,no,yes,768,legacy,24,24,/Users/samonemarks/Downloads/CM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,s,NA,NA,s,700,NA,121334,NA,NA,700,2,legacy,1024,2,48000,-16,experiment,3,odd,125806,NA,NA,NA,181147,180085,4464,NA,NA,181145,181249,142270,4426,139099,181249,181949,Flanker Task,21,25357,25,yes,1024
Congruent,1500,SSSSS,84.61538462,84.61538462,1001.807692,1001.807692,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,0,25,25,0,0,0,25,25,25,0,25,25,25,Sun Sep 26 18:46:48 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Downloads,no,mono,no,18,no,white,no,yes,768,legacy,25,25,/Users/samonemarks/Downloads/CM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,s,NA,NA,s,690,NA,121334,NA,NA,690,2,legacy,1024,2,48000,-16,experiment,3,odd,125806,NA,NA,NA,183017,181955,4464,NA,NA,183015,183119,142270,4426,139099,183119,183809,Flanker Task,22,26047,26,yes,1024
Incongruent,1500,SSHSS,85.18518519,85.18518519,1002.185185,1002.185185,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,0,26,26,0,0,0,26,26,26,0,26,26,26,Sun Sep 26 18:46:48 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Downloads,no,mono,no,18,no,white,no,yes,768,legacy,26,26,/Users/samonemarks/Downloads/CM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,s,NA,NA,h,1012,NA,121334,NA,NA,1012,2,legacy,1024,2,48000,-16,experiment,3,odd,125806,NA,NA,NA,184876,183814,4464,NA,NA,184874,184978,142270,4426,139099,184978,185990,Flanker Task,23,27059,27,yes,1024
Congruent,1500,SSSSS,85.71428571,85.71428571,989.3571429,989.3571429,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,0,27,27,0,0,0,27,27,27,0,27,27,27,Sun Sep 26 18:46:48 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Downloads,no,mono,no,18,no,white,no,yes,768,legacy,27,27,/Users/samonemarks/Downloads/CM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,s,NA,NA,s,643,NA,121334,NA,NA,643,2,legacy,1024,2,48000,-16,experiment,3,odd,125806,NA,NA,NA,187057,185995,4464,NA,NA,187054,187159,142270,4426,139099,187159,187802,Flanker Task,24,27702,28,yes,1024
Congruent,1500,HHHHH,86.20689655,86.20689655,982.7586207,982.7586207,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,0,28,28,0,0,0,28,28,28,0,28,28,28,Sun Sep 26 18:46:48 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Downloads,no,mono,no,18,no,white,no,yes,768,legacy,28,28,/Users/samonemarks/Downloads/CM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,s,NA,NA,h,798,NA,121334,NA,NA,798,2,legacy,1024,2,48000,-16,experiment,3,odd,125806,NA,NA,NA,188870,187807,4464,NA,NA,188868,188972,142270,4426,139099,188973,189771,Flanker Task,25,28500,29,yes,1024
Incongruent,1500,SSHSS,86.66666667,86.66666667,974.8,974.8,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,0,29,29,0,0,0,29,29,29,0,29,29,29,Sun Sep 26 18:46:48 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Downloads,no,mono,no,18,no,white,no,yes,768,legacy,29,29,/Users/samonemarks/Downloads/CM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,s,NA,NA,h,744,NA,121334,NA,NA,744,2,legacy,1024,2,48000,-16,experiment,3,odd,125806,NA,NA,NA,190839,189777,4464,NA,NA,190837,190941,142270,4426,139099,190941,191685,Flanker Task,26,29244,30,yes,1024
Congruent,1500,HHHHH,87.09677419,87.09677419,971.9354839,971.9354839,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,0,30,30,0,0,0,30,30,30,0,30,30,30,Sun Sep 26 18:46:48 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Downloads,no,mono,no,18,no,white,no,yes,768,legacy,30,30,/Users/samonemarks/Downloads/CM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,s,NA,NA,h,886,NA,121334,NA,NA,886,2,legacy,1024,2,48000,-16,experiment,3,odd,125806,NA,NA,NA,192752,191691,4464,NA,NA,192750,192854,142270,4426,139099,192854,193741,Flanker Task,27,30130,31,yes,1024
Incongruent,1500,HHSHH,87.5,87.5,969.65625,969.65625,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,0,31,31,0,0,0,31,31,31,0,31,31,31,Sun Sep 26 18:46:48 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Downloads,no,mono,no,18,no,white,no,yes,768,legacy,31,31,/Users/samonemarks/Downloads/CM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,s,NA,NA,s,899,NA,121334,NA,NA,899,2,legacy,1024,2,48000,-16,experiment,3,odd,125806,NA,NA,NA,194808,193746,4464,NA,NA,194806,194911,142270,4426,139099,194912,195812,Flanker Task,28,31029,32,yes,1024
Incongruent,1500,HHSHH,87.87878788,87.87878788,959.030303,959.030303,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,0,32,32,0,0,0,32,32,32,0,32,32,32,Sun Sep 26 18:46:48 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Downloads,no,mono,no,18,no,white,no,yes,768,legacy,32,32,/Users/samonemarks/Downloads/CM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,s,NA,NA,s,619,NA,121334,NA,NA,619,2,legacy,1024,2,48000,-16,experiment,3,odd,125806,NA,NA,NA,196878,195816,4464,NA,NA,196875,196980,142270,4426,139099,196980,197600,Flanker Task,29,31648,33,yes,1024
Congruent,1500,HHHHH,88.23529412,88.23529412,953.1470588,953.1470588,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,0,33,33,0,0,0,33,33,33,0,33,33,33,Sun Sep 26 18:46:48 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Downloads,no,mono,no,18,no,white,no,yes,768,legacy,33,33,/Users/samonemarks/Downloads/CM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,s,NA,NA,h,759,NA,121334,NA,NA,759,2,legacy,1024,2,48000,-16,experiment,3,odd,125806,NA,NA,NA,198666,197605,4464,NA,NA,198664,198768,142270,4426,139099,198769,199529,Flanker Task,30,32407,34,yes,1024
Incongruent,1500,SSHSS,88.57142857,88.57142857,951.6571429,951.6571429,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,0,34,34,0,0,0,34,34,34,0,34,34,34,Sun Sep 26 18:46:48 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Downloads,no,mono,no,18,no,white,no,yes,768,legacy,34,34,/Users/samonemarks/Downloads/CM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,s,NA,NA,h,901,NA,121334,NA,NA,901,2,legacy,1024,2,48000,-16,experiment,3,odd,125806,NA,NA,NA,200597,199534,4464,NA,NA,200594,200699,142270,4426,139099,200699,201601,Flanker Task,31,33308,35,yes,1024
