p_go,d,RT
0.5,4,376
0.5,4,377
0.5,4,378
0.5,4,379
0.5,4,379
0.5,4,379
0.5,4,380
0.5,4,381
0.5,4,381
0.5,4,382
0.5,4,385
0.5,4,385
0.5,4,385
0.5,4,385
0.5,4,386
0.5,4,386
0.5,4,386
0.5,4,387
0.5,4,387
0.5,4,388
0.5,4,388
0.5,4,389
0.5,4,389
0.5,4,390
0.5,4,391
0.5,4,392
0.5,4,392
0.5,4,393
0.5,4,393
0.5,4,393
0.5,4,394
0.5,4,395
0.5,4,395
0.5,4,395
0.5,4,395
0.5,4,395
0.5,4,396
0.5,4,397
0.5,4,397
0.5,4,398
0.5,4,398
0.5,4,398
0.5,4,401
0.5,4,404
0.5,4,413
0.5,4,413
0.5,4,413
0.5,4,416
0.5,4,418
0.5,4,419
0.5,4,423
0.5,4,424
0.5,4,429
0.5,4,430
0.5,4,430
0.5,4,431
0.5,4,432
0.5,4,435
0.5,4,436
0.5,4,438
0.5,4,438
0.5,4,444
0.5,4,444
0.5,4,445
0.5,4,445
0.5,4,446
0.5,4,448
0.5,4,448
0.5,4,450
0.5,4,457
0.5,4,459
0.5,4,465
0.5,4,479
0.5,4,480
0.5,4,483
0.5,4,494
0.75,1,186
0.75,1,190
0.75,1,196
0.75,1,215
0.75,1,216
0.75,1,216
0.75,1,216
0.75,1,217
0.75,1,218
0.75,1,220
0.75,1,221
0.75,1,222
0.75,1,222
0.75,1,223
0.75,1,223
0.75,1,224
0.75,1,226
0.75,1,228
0.75,1,229
0.75,1,229
0.75,1,230
0.75,1,232
0.75,1,233
0.75,1,233
0.75,1,233
0.75,1,234
0.75,1,235
0.75,1,235
0.75,1,235
0.75,1,236
0.75,1,236
0.75,1,237
0.75,1,237
0.75,1,237
0.75,1,237
0.75,1,238
0.75,1,238
0.75,1,238
0.75,1,240
0.75,1,240
0.75,1,240
0.75,1,241
0.75,1,242
0.75,1,243
0.75,1,244
0.75,1,245
0.75,1,245
0.75,1,246
0.75,1,247
0.75,1,247
0.75,1,247
0.75,1,247
0.75,1,248
0.75,1,249
0.75,1,250
0.75,1,250
0.75,1,251
0.75,1,251
0.75,1,251
0.75,1,252
0.75,1,252
0.75,1,252
0.75,1,253
0.75,1,253
0.75,1,253
0.75,1,254
0.75,1,254
0.75,1,255
0.75,1,255
0.75,1,255
0.75,1,256
0.75,1,256
0.75,1,256
0.75,1,257
0.75,1,257
0.75,1,258
0.75,1,258
0.75,1,260
0.75,1,261
0.75,1,261
0.75,1,262
0.75,1,262
0.75,1,263
0.75,1,263
0.75,1,264
0.75,1,264
0.75,1,264
0.75,1,264
0.75,1,264
0.75,1,265
0.75,1,265
0.75,1,265
0.75,1,265
0.75,1,265
0.75,1,266
0.75,1,266
0.75,1,266
0.75,1,267
0.75,1,267
0.75,1,267
0.75,1,268
0.75,1,269
0.75,1,269
0.75,1,269
0.75,1,270
0.75,1,271
0.75,1,271
0.75,1,271
0.75,1,271
0.75,1,272
0.75,1,273
0.75,1,273
0.75,1,273
0.75,1,273
0.75,1,273
0.75,1,273
0.75,1,273
0.75,1,274
