"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instructions2","count_keyboard_response","count_logger","count_memorySet","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instructions2","time_keyboard_response","time_logger","time_memorySet","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","818.692307692","818.692307692","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","12","12","12","0","0","12","12","0","0","12","12","12","0","12","0","10/25/20 16:16:52","The main experiment item","yes","SternbergTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613\STERNBERGTASK","no","mono","no","18","no","white","no","yes","768","legacy","0","11","C:/Users/Jennifer Wright/Desktop/PSYC5613/STERNBERGTASK/th-subject-4.csv","legacy","8 1 6","Lentiform Loewenfeld","3.3.3","3","y","0","left","left","left","left","NA","707","8622","6619","707","NA","2","legacy","3","1024","2","48000","-16","experiment","4","even","6","100682","90470","98463","4313","98154","98469","NA","4321","91533","102688","103396","99476","12946","102687","NA","SternbergTask","13","10643","13","yes","1024"
"100","100","819.071428571","819.071428571","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","13","13","13","0","0","13","13","0","0","13","13","13","0","13","0","10/25/20 16:16:52","The main experiment item","yes","SternbergTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613\STERNBERGTASK","no","mono","no","18","no","white","no","yes","768","legacy","1","11","C:/Users/Jennifer Wright/Desktop/PSYC5613/STERNBERGTASK/th-subject-4.csv","legacy","8 9 6 1","Lentiform Loewenfeld","3.3.3","2","y","0","left","left","left","left","NA","824","8622","6619","824","NA","2","legacy","4","1024","2","48000","-16","experiment","4","even","9","106921","103467","104697","4313","98154","104702","NA","4321","91533","108929","109755","105712","12946","108928","NA","SternbergTask","14","11467","14","yes","1024"
"100","100","800.266666667","800.266666667","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","14","14","14","0","0","14","14","0","0","14","14","14","0","14","0","10/25/20 16:16:52","The main experiment item","yes","SternbergTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613\STERNBERGTASK","no","mono","no","18","no","white","no","yes","768","legacy","2","11","C:/Users/Jennifer Wright/Desktop/PSYC5613/STERNBERGTASK/th-subject-4.csv","legacy","1 4 9 3","Lentiform Loewenfeld","3.3.3","0","n","0","right","left","left","right","NA","537","8622","6619","537","NA","2","legacy","4","1024","2","48000","-16","experiment","4","even","5","113273","109821","111046","4313","98154","111051","NA","4321","91533","115280","115818","112060","12946","115279","NA","SternbergTask","15","12004","15","yes","1024"
"100","100","792.1875","792.1875","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","15","15","15","0","0","15","15","0","0","15","15","15","0","15","0","10/25/20 16:16:52","The main experiment item","yes","SternbergTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613\STERNBERGTASK","no","mono","no","18","no","white","no","yes","768","legacy","3","11","C:/Users/Jennifer Wright/Desktop/PSYC5613/STERNBERGTASK/th-subject-4.csv","legacy","5 7 3 6 2","Lentiform Loewenfeld","3.3.3","5","y","0","left","left","left","left","NA","671","8622","6619","671","NA","2","legacy","5","1024","2","48000","-16","experiment","4","even","2","119326","115889","117108","4313","98154","117113","NA","4321","91533","121332","122005","118120","12946","121332","NA","SternbergTask","16","12675","16","yes","1024"
"100","100","767.588235294","767.588235294","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","16","16","16","0","0","16","16","0","0","16","16","16","0","16","0","10/25/20 16:16:52","The main experiment item","yes","SternbergTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613\STERNBERGTASK","no","mono","no","18","no","white","no","yes","768","legacy","4","11","C:/Users/Jennifer Wright/Desktop/PSYC5613/STERNBERGTASK/th-subject-4.csv","legacy","2 8 5 1","Lentiform Loewenfeld","3.3.3","4","y","0","left","left","left","left","NA","374","8622","6619","374","NA","2","legacy","4","1024","2","48000","-16","experiment","4","even","1","125594","122144","123366","4313","98154","123371","NA","4321","91533","127601","127977","124380","12946","127600","NA","SternbergTask","17","13049","17","yes","1024"
"100","100","749.444444444","749.444444444","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","17","17","17","0","0","17","17","0","0","17","17","17","0","17","0","10/25/20 16:16:52","The main experiment item","yes","SternbergTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613\STERNBERGTASK","no","mono","no","18","no","white","no","yes","768","legacy","5","11","C:/Users/Jennifer Wright/Desktop/PSYC5613/STERNBERGTASK/th-subject-4.csv","legacy","1 7 5 2","Lentiform Loewenfeld","3.3.3","0","n","0","right","left","left","right","NA","441","8622","6619","441","NA","2","legacy","4","1024","2","48000","-16","experiment","4","even","3","131484","128045","129265","4313","98154","129270","NA","4321","91533","133490","133933","130277","12946","133489","NA","SternbergTask","18","13490","18","yes","1024"
"100","100","737","737","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","18","18","18","0","0","18","18","0","0","18","18","18","0","18","0","10/25/20 16:16:52","The main experiment item","yes","SternbergTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613\STERNBERGTASK","no","mono","no","18","no","white","no","yes","768","legacy","6","11","C:/Users/Jennifer Wright/Desktop/PSYC5613/STERNBERGTASK/th-subject-4.csv","legacy","9 1 6 7 8","Lentiform Loewenfeld","3.3.3","1","y","0","left","left","left","left","NA","513","8622","6619","513","NA","2","legacy","5","1024","2","48000","-16","experiment","4","even","9","137441","134000","135220","4313","98154","135225","NA","4321","91533","139447","139962","136235","12946","139447","NA","SternbergTask","19","14003","19","yes","1024"
"100","100","725.3","725.3","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","19","19","19","0","0","19","19","0","0","19","19","19","0","19","0","10/25/20 16:16:52","The main experiment item","yes","SternbergTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613\STERNBERGTASK","no","mono","no","18","no","white","no","yes","768","legacy","7","11","C:/Users/Jennifer Wright/Desktop/PSYC5613/STERNBERGTASK/th-subject-4.csv","legacy","7 6","Lentiform Loewenfeld","3.3.3","2","y","0","left","left","left","left","NA","503","8622","6619","503","NA","2","legacy","2","1024","2","48000","-16","experiment","4","even","6","143458","140020","141241","4313","98154","141246","NA","4321","91533","145463","145968","142252","12946","145463","NA","SternbergTask","20","14506","20","yes","1024"
"100","100","715.142857143","715.142857143","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","20","20","20","0","0","20","20","0","0","20","20","20","0","20","0","10/25/20 16:16:52","The main experiment item","yes","SternbergTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613\STERNBERGTASK","no","mono","no","18","no","white","no","yes","768","legacy","8","11","C:/Users/Jennifer Wright/Desktop/PSYC5613/STERNBERGTASK/th-subject-4.csv","legacy","3 2 1 4 7","Lentiform Loewenfeld","3.3.3","2","y","0","left","left","left","left","NA","512","8622","6619","512","NA","2","legacy","5","1024","2","48000","-16","experiment","4","even","2","149475","146023","147253","4313","98154","147258","NA","4321","91533","151481","151994","148267","12946","151481","NA","SternbergTask","21","15018","21","yes","1024"
"100","100","715.090909091","715.090909091","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","21","21","21","0","0","21","21","0","0","21","21","21","0","21","0","10/25/20 16:16:52","The main experiment item","yes","SternbergTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613\STERNBERGTASK","no","mono","no","18","no","white","no","yes","768","legacy","9","11","C:/Users/Jennifer Wright/Desktop/PSYC5613/STERNBERGTASK/th-subject-4.csv","legacy","9 8 2 7 4","Lentiform Loewenfeld","3.3.3","0","n","0","right","left","left","right","NA","714","8622","6619","714","NA","2","legacy","5","1024","2","48000","-16","experiment","4","even","5","155461","152019","153242","4313","98154","153247","NA","4321","91533","157465","158181","154255","12946","157465","NA","SternbergTask","22","15732","22","yes","1024"
"100","100","705.869565217","705.869565217","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","22","22","22","0","0","22","22","0","0","22","22","22","0","22","0","10/25/20 16:16:52","The main experiment item","yes","SternbergTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613\STERNBERGTASK","no","mono","no","18","no","white","no","yes","768","legacy","10","11","C:/Users/Jennifer Wright/Desktop/PSYC5613/STERNBERGTASK/th-subject-4.csv","legacy","6 7 9 3 1 2","Lentiform Loewenfeld","3.3.3","1","y","0","left","left","left","left","NA","503","8622","6619","503","NA","2","legacy","6","1024","2","48000","-16","experiment","4","even","6","161682","158232","159464","4313","98154","159469","NA","4321","91533","163690","164195","160478","12946","163690","NA","SternbergTask","23","16235","23","yes","1024"
"100","100","699.333333333","699.333333333","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","23","23","23","0","0","23","23","0","0","23","23","23","0","23","0","10/25/20 16:16:52","The main experiment item","yes","SternbergTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613\STERNBERGTASK","no","mono","no","18","no","white","no","yes","768","legacy","11","11","C:/Users/Jennifer Wright/Desktop/PSYC5613/STERNBERGTASK/th-subject-4.csv","legacy","2 6 1 7 4","Lentiform Loewenfeld","3.3.3","2","y","0","left","left","left","left","NA","549","8622","6619","549","NA","2","legacy","5","1024","2","48000","-16","experiment","4","even","6","167711","164254","165488","4313","98154","165493","NA","4321","91533","169719","170270","166504","12946","169718","NA","SternbergTask","24","16784","24","yes","1024"
"100","100","694","694","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","24","24","24","0","0","24","24","0","0","24","24","24","0","24","0","10/25/20 16:16:52","The main experiment item","yes","SternbergTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613\STERNBERGTASK","no","mono","no","18","no","white","no","yes","768","legacy","12","11","C:/Users/Jennifer Wright/Desktop/PSYC5613/STERNBERGTASK/th-subject-4.csv","legacy","2 8 9 4 1","Lentiform Loewenfeld","3.3.3","0","n","0","right","left","left","right","NA","566","8622","6619","566","NA","2","legacy","5","1024","2","48000","-16","experiment","4","even","5","173777","170333","171559","4313","98154","171565","NA","4321","91533","175783","176351","172571","12946","175783","NA","SternbergTask","25","17350","25","yes","1024"
