acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_Instruction1,correct_keyboard_response,correct_response,count_CorrectFeedback,count_ExpSequence,count_ExperimentLoop,count_Fixation,count_ISI,count_Instruction1,count_Instructions2,count_MemorySet,count_PracticeLoop,count_Probe,count_ThankYou,count_experiment,count_incorrectFeedback,count_keyboard_response,count_logger,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_PracticeLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_Instruction1,response_Instructions2,response_ThankYou,response_keyboard_response,response_time,response_time_Instruction1,response_time_Instructions2,response_time_ThankYou,response_time_keyboard_response,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_CorrectFeedback,time_ExpSequence,time_ExperimentLoop,time_Fixation,time_ISI,time_Instruction1,time_Instructions2,time_MemorySet,time_PracticeLoop,time_Probe,time_ThankYou,time_experiment,time_incorrectFeedback,time_keyboard_response,time_logger,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
90.47619048,90.47619048,866.4285714,866.4285714,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,20,20,0,20,20,0,0,20,0,20,0,0,20,20,20,10/27/19 19:58,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,8,11,E:/Classwork/AQMAED/Stenberg/RS-subject-4.csv,legacy,2 5 4 8 7,Kafkaesque Koffka,3.2.8,3,y,0,left,left,left,NA,left,1209,350743,448808,NA,1209,2,legacy,5,1024,2,48000,-16,experiment,4,even,4,925292,926396,876823,926398,928603,2426,428014,927402,353171,930605,NA,2424,893964,930605,931814,Sternberg Task,19,18195,21,yes,1024
90.90909091,90.90909091,865.0454545,865.0454545,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,21,21,0,21,21,0,0,21,0,21,0,0,21,21,21,10/27/19 19:58,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,9,11,E:/Classwork/AQMAED/Stenberg/RS-subject-4.csv,legacy,6 8,Kafkaesque Koffka,3.2.8,0,n,0,right,left,left,NA,right,836,350743,448808,NA,836,2,legacy,2,1024,2,48000,-16,experiment,4,even,9,931825,932931,876823,932933,935142,2426,428014,933937,353171,937147,NA,2424,893964,937147,937984,Sternberg Task,20,19031,22,yes,1024
91.30434783,91.30434783,868.1304348,868.1304348,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,22,22,0,22,22,0,0,22,0,22,0,0,22,22,22,10/27/19 19:58,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,10,11,E:/Classwork/AQMAED/Stenberg/RS-subject-4.csv,legacy,4 1 5,Kafkaesque Koffka,3.2.8,2,y,0,left,left,left,NA,left,936,350743,448808,NA,936,2,legacy,3,1024,2,48000,-16,experiment,4,even,1,937992,939079,876823,939081,941290,2426,428014,940086,353171,943295,NA,2424,893964,943296,944232,Sternberg Task,21,19967,23,yes,1024
87.5,87.5,861.5416667,861.5416667,black,experiment,legacy,legacy,legacy,0,uniform,0,undefined,0,left,23,23,0,23,23,0,0,23,0,23,0,0,23,23,23,10/27/19 19:58,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,11,11,E:/Classwork/AQMAED/Stenberg/RS-subject-4.csv,legacy,6 1 2,Kafkaesque Koffka,3.2.8,3,y,0,right,left,left,NA,right,710,350743,448808,NA,710,2,legacy,3,1024,2,48000,-16,experiment,4,even,2,944239,945342,876823,945344,947552,2426,428014,946349,353171,949557,NA,2424,893964,949557,950267,Sternberg Task,21,20677,24,yes,1024
88,88,853.12,853.12,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,24,24,0,24,24,0,0,24,0,24,0,0,24,24,24,10/27/19 19:58,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,12,11,E:/Classwork/AQMAED/Stenberg/RS-subject-4.csv,legacy,9 5 3 2 8 6,Kafkaesque Koffka,3.2.8,0,n,0,right,left,left,NA,right,651,350743,448808,NA,651,2,legacy,6,1024,2,48000,-16,experiment,4,even,7,944239,951378,876823,951379,953590,2426,428014,952384,353171,955595,NA,2424,950272,955595,956247,Sternberg Task,22,21328,25,yes,1024
88.46153846,88.46153846,848.6923077,848.6923077,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,25,25,0,25,25,0,0,25,0,25,0,0,25,25,25,10/27/19 19:58,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,13,11,E:/Classwork/AQMAED/Stenberg/RS-subject-4.csv,legacy,9 8 2 7 4,Kafkaesque Koffka,3.2.8,0,n,0,right,left,left,NA,right,738,350743,448808,NA,738,2,legacy,5,1024,2,48000,-16,experiment,4,even,5,956252,957348,876823,957350,959560,2426,428014,958355,353171,961566,NA,2424,950272,961566,962304,Sternberg Task,23,22066,26,yes,1024
88.88888889,88.88888889,840.6296296,840.6296296,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,26,26,0,26,26,0,0,26,0,26,0,0,26,26,26,10/27/19 19:58,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,14,11,E:/Classwork/AQMAED/Stenberg/RS-subject-4.csv,legacy,1 7 5 2,Kafkaesque Koffka,3.2.8,0,n,0,right,left,left,NA,right,631,350743,448808,NA,631,2,legacy,4,1024,2,48000,-16,experiment,4,even,3,962309,963416,876823,963417,965627,2426,428014,964422,353171,967632,NA,2424,950272,967632,968263,Sternberg Task,24,22697,27,yes,1024
89.28571429,89.28571429,842.1071429,842.1071429,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,27,27,0,27,27,0,0,27,0,27,0,0,27,27,27,10/27/19 19:58,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,15,11,E:/Classwork/AQMAED/Stenberg/RS-subject-4.csv,legacy,4 1 8 7 5,Kafkaesque Koffka,3.2.8,3,y,0,left,left,left,NA,left,882,350743,448808,NA,882,2,legacy,5,1024,2,48000,-16,experiment,4,even,8,968268,969368,876823,969370,971581,2426,428014,970376,353171,973586,NA,2424,950272,973586,974469,Sternberg Task,25,23579,28,yes,1024
89.65517241,89.65517241,833.6551724,833.6551724,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,28,28,0,28,28,0,0,28,0,28,0,0,28,28,28,10/27/19 19:58,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,16,11,E:/Classwork/AQMAED/Stenberg/RS-subject-4.csv,legacy,8 6 3 4 7,Kafkaesque Koffka,3.2.8,0,n,0,right,left,left,NA,right,597,350743,448808,NA,597,2,legacy,5,1024,2,48000,-16,experiment,4,even,1,974474,975581,876823,975582,977792,2426,428014,976587,353171,979797,NA,2424,950272,979797,980394,Sternberg Task,26,24176,29,yes,1024
90,90,827.3666667,827.3666667,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,29,29,0,29,29,0,0,29,0,29,0,0,29,29,29,10/27/19 19:58,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,17,11,E:/Classwork/AQMAED/Stenberg/RS-subject-4.csv,legacy,9 7 4 5 8,Kafkaesque Koffka,3.2.8,0,n,0,right,left,left,NA,right,645,350743,448808,NA,645,2,legacy,5,1024,2,48000,-16,experiment,4,even,6,980405,981506,876823,981508,983715,2426,428014,982513,353171,985719,NA,2424,950272,985720,986365,Sternberg Task,27,24821,30,yes,1024
