"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","correct","correct_Instruction1","correct_new_keyboard_response","correct_response","count_ISI","count_Instruction1","count_ThankYou","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instructions2","count_memorySet","count_new_keyboard_response","count_new_logger","count_practiceloop","count_probe","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceloop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_Instruction1","response_ThankYou","response_instructions2","response_new_keyboard_response","response_time","response_time_Instruction1","response_time_ThankYou","response_time_instructions2","response_time_new_keyboard_response","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_Instruction1","time_ThankYou","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instructions2","time_memorySet","time_new_keyboard_response","time_new_logger","time_practiceloop","time_probe","title","total_correct","total_response_time","total_responses","width"
"53","53","1216","1216","#3d3846","experiment","legacy","legacy","legacy","0","undefined","0","left","14","0","0","14","14","0","0","14","14","0","14","14","14","0","14","Sun Oct 15 14:28:41 2023","The main experiment item","True","Sternberg Task Elizabeth McGibbon .osexp","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /3.0 ","False","mono","False","18","no","white","no","yes","768","legacy","2","11","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /3.0 /EWMsubject-2.csv","legacy","5 2 9 6 1 7","Melodramatic Milgram","4.0.5","3","y","0","None","right","NA","left","None","2001.0","53035","NA","8345","2001","2","legacy","6","1024","2","48000","-16","experiment","2","even","9","157655","2992","NA","154401","155448","2880","143599","155450","109090","135253","156453","159657","161658","56084","159657","New experiment","8","18251.0","15","1024"
"56","56","1185","1185","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","right","15","0","0","15","15","0","0","15","15","0","15","15","15","0","15","Sun Oct 15 14:28:41 2023","The main experiment item","True","Sternberg Task Elizabeth McGibbon .osexp","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /3.0 ","False","mono","False","18","no","white","no","yes","768","legacy","3","11","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /3.0 /EWMsubject-2.csv","legacy","1 6 4","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","left","right","721.0","53035","NA","8345","721","2","legacy","3","1024","2","48000","-16","experiment","2","even","7","164915","2992","NA","154401","162707","2880","143599","162709","161661","135253","163712","166917","167639","56084","166917","New experiment","9","18972.0","16","1024"
"58","58","1182","1182","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","left","16","0","0","16","16","0","0","16","16","0","16","16","16","0","16","Sun Oct 15 14:28:41 2023","The main experiment item","True","Sternberg Task Elizabeth McGibbon .osexp","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /3.0 ","False","mono","False","18","no","white","no","yes","768","legacy","4","11","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /3.0 /EWMsubject-2.csv","legacy","4 1 5","Melodramatic Milgram","4.0.5","2","y","0","left","right","NA","left","left","1129.0","53035","NA","8345","1129","2","legacy","3","1024","2","48000","-16","experiment","2","even","1","170887","2992","NA","167642","168679","2880","143599","168681","161661","135253","169683","172889","174019","56084","172889","New experiment","10","20101.0","17","1024"
"61","61","1170","1170","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","left","17","0","0","17","17","0","0","17","17","0","17","17","17","0","17","Sun Oct 15 14:28:41 2023","The main experiment item","True","Sternberg Task Elizabeth McGibbon .osexp","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /3.0 ","False","mono","False","18","no","white","no","yes","768","legacy","5","11","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /3.0 /EWMsubject-2.csv","legacy","4 9 7 8 5 3","Melodramatic Milgram","4.0.5","4","y","0","left","right","NA","left","left","971.0","53035","NA","8345","971","2","legacy","6","1024","2","48000","-16","experiment","2","even","8","177271","2992","NA","174022","175065","2880","143599","175066","161661","135253","176069","179274","180245","56084","179273","New experiment","11","21072.0","18","1024"
"63","63","1181","1181","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","right","18","0","0","18","18","0","0","18","18","0","18","18","18","0","18","Sun Oct 15 14:28:41 2023","The main experiment item","True","Sternberg Task Elizabeth McGibbon .osexp","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /3.0 ","False","mono","False","18","no","white","no","yes","768","legacy","6","11","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /3.0 /EWMsubject-2.csv","legacy","4 8 1 2","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","left","right","1385.0","53035","NA","8345","1385","2","legacy","4","1024","2","48000","-16","experiment","2","even","7","183501","2992","NA","180248","181293","2880","143599","181295","161661","135253","182298","185503","186888","56084","185503","New experiment","12","22457.0","19","1024"
"65","65","1164","1164","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","left","19","0","0","19","19","0","0","19","19","0","19","19","19","0","19","Sun Oct 15 14:28:41 2023","The main experiment item","True","Sternberg Task Elizabeth McGibbon .osexp","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /3.0 ","False","mono","False","18","no","white","no","yes","768","legacy","7","11","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /3.0 /EWMsubject-2.csv","legacy","8 5 3 7 4 6","Melodramatic Milgram","4.0.5","6","y","0","left","right","NA","left","left","833.0","53035","NA","8345","833","2","legacy","6","1024","2","48000","-16","experiment","2","even","6","190135","2992","NA","186891","187930","2880","143599","187932","161661","135253","188933","192136","192969","56084","192136","New experiment","13","23290.0","20","1024"
"66","66","1149","1149","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","left","20","0","0","20","20","0","0","20","20","0","20","20","20","0","20","Sun Oct 15 14:28:41 2023","The main experiment item","True","Sternberg Task Elizabeth McGibbon .osexp","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /3.0 ","False","mono","False","18","no","white","no","yes","768","legacy","8","11","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /3.0 /EWMsubject-2.csv","legacy","4 6 2 5 1","Melodramatic Milgram","4.0.5","5","y","0","left","right","NA","left","left","842.0","53035","NA","8345","842","2","legacy","5","1024","2","48000","-16","experiment","2","even","1","196224","2992","NA","192972","194016","2880","143599","194019","161661","135253","195022","198226","199069","56084","198226","New experiment","14","24132.0","21","1024"
"63","63","1152","1152","#3d3846","experiment","legacy","legacy","legacy","0","undefined","0","left","21","0","0","21","21","0","0","21","21","0","21","21","21","0","21","Sun Oct 15 14:28:41 2023","The main experiment item","True","Sternberg Task Elizabeth McGibbon .osexp","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /3.0 ","False","mono","False","18","no","white","no","yes","768","legacy","9","11","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /3.0 /EWMsubject-2.csv","legacy","2 4 8 5 1 3","Melodramatic Milgram","4.0.5","1","y","0","right","right","NA","left","right","1215.0","53035","NA","8345","1215","2","legacy","6","1024","2","48000","-16","experiment","2","even","2","202331","2992","NA","199072","200124","2880","143599","200126","161661","135253","201128","204334","205550","56084","204333","New experiment","14","25347.0","22","1024"
"65","65","1134","1134","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","left","22","0","0","22","22","0","0","22","22","0","22","22","22","0","22","Sun Oct 15 14:28:41 2023","The main experiment item","True","Sternberg Task Elizabeth McGibbon .osexp","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /3.0 ","False","mono","False","18","no","white","no","yes","768","legacy","10","11","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /3.0 /EWMsubject-2.csv","legacy","6 9 7 4 5 1","Melodramatic Milgram","4.0.5","2","y","0","left","right","NA","left","left","751.0","53035","NA","8345","751","2","legacy","6","1024","2","48000","-16","experiment","2","even","9","208797","2992","NA","199072","206591","2880","143599","206592","205553","135253","207594","210800","211552","56084","210800","New experiment","15","26098.0","23","1024"
"66","66","1108","1108","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","left","23","0","0","23","23","0","0","23","23","0","23","23","23","0","23","Sun Oct 15 14:28:41 2023","The main experiment item","True","Sternberg Task Elizabeth McGibbon .osexp","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /3.0 ","False","mono","False","18","no","white","no","yes","768","legacy","11","11","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /3.0 /EWMsubject-2.csv","legacy","6 2","Melodramatic Milgram","4.0.5","1","y","0","left","right","NA","left","left","505.0","53035","NA","8345","505","2","legacy","2","1024","2","48000","-16","experiment","2","even","6","214801","2992","NA","211555","212594","2880","143599","212595","205553","135253","213598","216803","217309","56084","216803","New experiment","16","26603.0","24","1024"
"68","68","1087","1087","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","right","24","0","0","24","24","0","0","24","24","0","24","24","24","0","24","Sun Oct 15 14:28:41 2023","The main experiment item","True","Sternberg Task Elizabeth McGibbon .osexp","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /3.0 ","False","mono","False","18","no","white","no","yes","768","legacy","12","11","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /3.0 /EWMsubject-2.csv","legacy","4 1","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","left","right","582.0","53035","NA","8345","582","2","legacy","2","1024","2","48000","-16","experiment","2","even","6","220564","2992","NA","217311","218356","2880","143599","218358","205553","135253","219361","222566","223148","56084","222566","New experiment","17","27185.0","25","1024"
"69","69","1072","1072","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","right","25","0","0","25","25","0","0","25","25","0","25","25","25","0","25","Sun Oct 15 14:28:41 2023","The main experiment item","True","Sternberg Task Elizabeth McGibbon .osexp","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /3.0 ","False","mono","False","18","no","white","no","yes","768","legacy","13","11","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /3.0 /EWMsubject-2.csv","legacy","3 9 1","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","left","right","706.0","53035","NA","8345","706","2","legacy","3","1024","2","48000","-16","experiment","2","even","7","226404","2992","NA","223152","224196","2880","143599","224198","205553","135253","225201","228406","229113","56084","228406","New experiment","18","27891.0","26","1024"
"70","70","1047","1047","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","left","26","0","0","26","26","0","0","26","26","0","26","26","26","0","26","Sun Oct 15 14:28:41 2023","The main experiment item","True","Sternberg Task Elizabeth McGibbon .osexp","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /3.0 ","False","mono","False","18","no","white","no","yes","768","legacy","14","11","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /3.0 /EWMsubject-2.csv","legacy","7 1 3","Melodramatic Milgram","4.0.5","2","y","0","left","right","NA","left","left","397.0","53035","NA","8345","397","2","legacy","3","1024","2","48000","-16","experiment","2","even","1","232369","2992","NA","229117","230162","2880","143599","230164","205553","135253","231167","234372","234770","56084","234372","New experiment","19","28288.0","27","1024"
"71","71","1029","1029","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","left","27","0","0","27","27","0","0","27","27","0","27","27","27","0","27","Sun Oct 15 14:28:41 2023","The main experiment item","True","Sternberg Task Elizabeth McGibbon .osexp","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /3.0 ","False","mono","False","18","no","white","no","yes","768","legacy","15","11","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /3.0 /EWMsubject-2.csv","legacy","5 2 6","Melodramatic Milgram","4.0.5","2","y","0","left","right","NA","left","left","547.0","53035","NA","8345","547","2","legacy","3","1024","2","48000","-16","experiment","2","even","2","238034","2992","NA","234773","235828","2880","143599","235830","205553","135253","236832","240036","240584","56084","240036","New experiment","20","28835.0","28","1024"
"72","72","1025","1025","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","right","28","0","0","28","28","0","0","28","28","0","28","28","28","0","28","Sun Oct 15 14:28:41 2023","The main experiment item","True","Sternberg Task Elizabeth McGibbon .osexp","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /3.0 ","False","mono","False","18","no","white","no","yes","768","legacy","16","11","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /3.0 /EWMsubject-2.csv","legacy","2 8 7 9 5 3","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","left","right","911.0","53035","NA","8345","911","2","legacy","6","1024","2","48000","-16","experiment","2","even","6","243822","2992","NA","240587","241615","2880","143599","241617","205553","135253","242619","245825","246736","56084","245825","New experiment","21","29746.0","29","1024"
"73","73","1019","1019","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","right","29","0","0","29","29","0","0","29","29","0","29","29","29","0","29","Sun Oct 15 14:28:41 2023","The main experiment item","True","Sternberg Task Elizabeth McGibbon .osexp","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /3.0 ","False","mono","False","18","no","white","no","yes","768","legacy","17","11","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /3.0 /EWMsubject-2.csv","legacy","9 5 3 2 8 6","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","left","right","827.0","53035","NA","8345","827","2","legacy","6","1024","2","48000","-16","experiment","2","even","7","249987","2992","NA","246740","247781","2880","143599","247783","205553","135253","248785","251988","252815","56084","251988","New experiment","22","30573.0","30","1024"
"74","74","1007","1007","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","left","30","0","0","30","30","0","0","30","30","0","30","30","30","0","30","Sun Oct 15 14:28:41 2023","The main experiment item","True","Sternberg Task Elizabeth McGibbon .osexp","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /3.0 ","False","mono","False","18","no","white","no","yes","768","legacy","18","11","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /3.0 /EWMsubject-2.csv","legacy","8 9 6 1","Melodramatic Milgram","4.0.5","2","y","0","left","right","NA","left","left","666.0","53035","NA","8345","666","2","legacy","4","1024","2","48000","-16","experiment","2","even","9","256067","2992","NA","252818","253860","2880","143599","253862","205553","135253","254865","258069","258736","56084","258069","New experiment","23","31239.0","31","1024"
