"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","correct","correct_instruction1","correct_keyboard_response","correct_response","count_correctFeedback","count_expSequence","count_experiment","count_experimentalLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_keyboard_response","count_logger","count_memorySet","count_new_1_sketchpad","count_new_sketchpad","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_keyboard_response","response_new_1_sketchpad","response_thankYou","response_time","response_time_instruction1","response_time_keyboard_response","response_time_new_1_sketchpad","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_correctFeedback","time_expSequence","time_experiment","time_experimentalLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_keyboard_response","time_logger","time_memorySet","time_new_1_sketchpad","time_new_sketchpad","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","width"
"52","52","508","508","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","left","20","20","0","0","20","20","0","20","20","20","0","20","0","20","0","Sun Oct 15 15:59:22 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\Edward Banda\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","8","11","C:/Users/Edward Banda/Desktop/subject-1.csv","legacy","4 6 5 8","Melodramatic Milgram","4.0.5","1","y","0","left","left","left","left","NA","515.0","50086","515","3183","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","4","164910","171715","2368","125294","171717","170674","2371","175920","176435","172718","122111","173919","52458","175920","NA","Sternberg task","11","10681.0","21","1024"
"50","50","510","510","#3d3846","experiment","legacy","legacy","legacy","0","undefined","0","left","21","21","0","0","21","21","0","21","21","21","0","21","0","21","0","Sun Oct 15 15:59:22 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\Edward Banda\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","9","11","C:/Users/Edward Banda/Desktop/subject-1.csv","legacy","4 7 6 8 2 3","Melodramatic Milgram","4.0.5","6","y","0","right","left","right","left","NA","550.0","50086","550","3183","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","3","176437","177480","2368","125294","177481","170674","2371","181684","182234","178482","122111","179683","52458","181684","NA","Sternberg task","11","11231.0","22","1024"
"47","47","517","517","#3d3846","experiment","legacy","legacy","legacy","0","undefined","0","right","22","22","0","0","22","22","0","22","22","22","0","22","0","22","0","Sun Oct 15 15:59:22 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\Edward Banda\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","10","11","C:/Users/Edward Banda/Desktop/subject-1.csv","legacy","7 1 8 4 9 3","Melodramatic Milgram","4.0.5","0","n","0","left","left","left","left","NA","668.0","50086","668","3183","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","6","176437","183281","2368","125294","183283","182246","2371","187487","188156","184285","122111","185486","52458","187487","NA","Sternberg task","11","11899.0","23","1024"
"45","45","527","527","#3d3846","experiment","legacy","legacy","legacy","0","undefined","0","right","23","23","0","0","23","23","0","23","23","23","0","23","0","23","0","Sun Oct 15 15:59:22 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\Edward Banda\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","11","11","C:/Users/Edward Banda/Desktop/subject-1.csv","legacy","1 6 4","Melodramatic Milgram","4.0.5","0","n","0","left","left","left","left","NA","765.0","50086","765","3183","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","7","176437","189222","2368","125294","189224","188168","2371","193427","194193","190225","122111","191426","52458","193427","NA","Sternberg task","11","12664.0","24","1024"
"48","48","531","531","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","left","24","24","0","0","24","24","0","24","24","24","0","24","0","24","0","Sun Oct 15 15:59:22 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\Edward Banda\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","12","11","C:/Users/Edward Banda/Desktop/subject-1.csv","legacy","8 3","Melodramatic Milgram","4.0.5","2","y","0","left","left","left","left","NA","617.0","50086","617","3183","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","3","176437","195247","2368","125294","195250","194205","2371","199454","200072","196251","122111","197452","52458","199453","NA","Sternberg task","12","13281.0","25","1024"
"50","50","586","586","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","right","25","25","0","0","25","25","0","25","25","25","0","25","0","25","0","Sun Oct 15 15:59:22 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\Edward Banda\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","13","11","C:/Users/Edward Banda/Desktop/subject-1.csv","legacy","6 8","Melodramatic Milgram","4.0.5","0","n","0","right","left","right","left","NA","1977.0","50086","1977","3183","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","9","200084","201127","2368","125294","201129","194205","2371","205332","207310","202130","122111","203331","52458","205332","NA","Sternberg task","13","15258.0","26","1024"
"48","48","586","586","#3d3846","experiment","legacy","legacy","legacy","0","undefined","0","right","26","26","0","0","26","26","0","26","26","26","0","26","0","26","0","Sun Oct 15 15:59:22 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\Edward Banda\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","14","11","C:/Users/Edward Banda/Desktop/subject-1.csv","legacy","8 5 4 2 9 6","Melodramatic Milgram","4.0.5","0","n","0","left","left","left","left","NA","582.0","50086","582","3183","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","3","207322","208368","2368","125294","208370","194205","2371","212576","213159","209371","122111","210572","52458","212575","NA","Sternberg task","13","15840.0","27","1024"
"46","46","585","585","#3d3846","experiment","legacy","legacy","legacy","0","undefined","0","right","27","27","0","0","27","27","0","27","27","27","0","27","0","27","0","Sun Oct 15 15:59:22 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\Edward Banda\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","15","11","C:/Users/Edward Banda/Desktop/subject-1.csv","legacy","1 7 8 3 9","Melodramatic Milgram","4.0.5","0","n","0","left","left","left","left","NA","555.0","50086","555","3183","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","2","207322","214212","2368","125294","214214","213171","2371","218417","218973","215215","122111","216416","52458","218417","NA","Sternberg task","13","16395.0","28","1024"
"44","44","598","598","#3d3846","experiment","legacy","legacy","legacy","0","undefined","0","left","28","28","0","0","28","28","0","28","28","28","0","28","0","28","0","Sun Oct 15 15:59:22 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\Edward Banda\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","16","11","C:/Users/Edward Banda/Desktop/subject-1.csv","legacy","9 3 1 2 5","Melodramatic Milgram","4.0.5","4","y","0","right","left","right","left","NA","948.0","50086","948","3183","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","2","207322","220031","2368","125294","220033","218985","2371","224237","225186","221035","122111","222236","52458","224237","NA","Sternberg task","13","17343.0","29","1024"
"46","46","595","595","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","left","29","29","0","0","29","29","0","29","29","29","0","29","0","29","0","Sun Oct 15 15:59:22 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\Edward Banda\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","17","11","C:/Users/Edward Banda/Desktop/subject-1.csv","legacy","9 5 3 8 4","Melodramatic Milgram","4.0.5","1","y","0","left","left","left","left","NA","507.0","50086","507","3183","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","9","207322","226232","2368","125294","226235","225190","2371","230439","230946","227236","122111","228437","52458","230438","NA","Sternberg task","14","17850.0","30","1024"
