"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instruction_1","correct_Keyboard_Response","correct_response","count_Correct_Feedback","count_Experimental_Loop","count_Fixation","count_ISI","count_Incorrect_Feedback","count_Instruction_1","count_Instructions_2","count_Instructions_3_Thanks","count_Keyboard_Response","count_Logger","count_Memory_Set","count_Practice_Loop","count_Probe","count_expSequence","count_experiment","count_new_sketchpad","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Practice_Loop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_Incorrect_Feedback","response_Instruction_1","response_Instructions_2","response_Instructions_3_Thanks","response_Keyboard_Response","response_new_sketchpad","response_time","response_time_Incorrect_Feedback","response_time_Instruction_1","response_time_Instructions_2","response_time_Instructions_3_Thanks","response_time_Keyboard_Response","response_time_new_sketchpad","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_Correct_Feedback","time_Experimental_Loop","time_Fixation","time_ISI","time_Incorrect_Feedback","time_Instruction_1","time_Instructions_2","time_Instructions_3_Thanks","time_Keyboard_Response","time_Logger","time_Memory_Set","time_Practice_Loop","time_Probe","time_expSequence","time_experiment","time_new_sketchpad","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"90.47619047619048","90.47619047619048","599.3333333333334","599.3333333333334","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","20","0","20","20","20","0","0","0","20","20","20","0","20","20","0","NA","Sun Oct 25 19:04:45 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","8","11","/Users/jacobspurling/Desktop/KS-subject-3.csv","legacy","1 3 2 6 9","Lentiform Loewenfeld","3.3.5","0","n","0","right","right","left","left","NA","right","NA","705","784","2922","3584","NA","705","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","5","126248","83549","133411","135641","132514","4609","79964","NA","137654","138361","134426","7560","137654","133399","4586","NA","Sternberg Task","19","12586","21","yes","1024"
"90.9090909090909","90.9090909090909","595.9090909090909","595.9090909090909","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","21","0","21","21","21","0","0","0","21","21","21","0","21","21","0","NA","Sun Oct 25 19:04:45 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","9","11","/Users/jacobspurling/Desktop/KS-subject-3.csv","legacy","3 4 9 6 7 8","Lentiform Loewenfeld","3.3.5","0","n","0","right","right","left","left","NA","right","NA","524","784","2922","3584","NA","524","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","2","138388","83549","139494","141725","132514","4609","79964","NA","143738","144264","140508","7560","143737","139482","4586","NA","Sternberg Task","20","13110","22","yes","1024"
"86.95652173913044","86.95652173913044","599.5217391304348","599.5217391304348","black","experiment","legacy","legacy","legacy","0","uniform","0","undefined","0","left","22","0","22","22","22","0","0","0","22","22","22","0","22","22","0","NA","Sun Oct 25 19:04:45 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","10","11","/Users/jacobspurling/Desktop/KS-subject-3.csv","legacy","3 9 7 6 4","Lentiform Loewenfeld","3.3.5","3","y","0","right","right","left","left","NA","right","NA","679","784","2922","3584","NA","679","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","7","144290","83549","145400","147632","132514","4609","79964","NA","149645","150325","146414","7560","149645","145384","4586","NA","Sternberg Task","20","13789","23","yes","1024"
"83.33333333333333","83.33333333333333","591.125","591.125","black","experiment","legacy","legacy","legacy","0","uniform","0","undefined","0","right","23","0","23","23","23","0","0","0","23","23","23","0","23","23","0","NA","Sun Oct 25 19:04:45 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","11","11","/Users/jacobspurling/Desktop/KS-subject-3.csv","legacy","5 3 2 6 9 8","Lentiform Loewenfeld","3.3.5","0","n","0","left","right","left","left","NA","left","NA","398","592","2922","3584","NA","398","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","4","144290","83549","151051","153282","150351","4609","79964","NA","155295","155694","152065","7560","155295","151039","4586","NA","Sternberg Task","20","14187","24","yes","1024"
"80","80","603.24","603.24","black","experiment","legacy","legacy","legacy","0","uniform","0","undefined","0","right","24","0","24","24","24","0","0","0","24","24","24","0","24","24","0","NA","Sun Oct 25 19:04:45 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","12","11","/Users/jacobspurling/Desktop/KS-subject-3.csv","legacy","1 6 4","Lentiform Loewenfeld","3.3.5","0","n","0","left","left","left","left","NA","left","NA","894","585","2922","3584","NA","894","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","7","144290","83549","156420","158653","155720","4609","79964","NA","160666","161561","157435","7560","160666","156408","4586","NA","Sternberg Task","20","15081","25","yes","1024"
"80.76923076923077","80.76923076923077","602.7307692307693","602.7307692307693","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","25","0","25","25","25","0","0","0","25","25","25","0","25","25","0","NA","Sun Oct 25 19:04:45 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","13","11","/Users/jacobspurling/Desktop/KS-subject-3.csv","legacy","6 9 5","Lentiform Loewenfeld","3.3.5","0","n","0","right","left","left","left","NA","right","NA","590","458","2922","3584","NA","590","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","8","144290","83549","162157","164391","161587","4609","79964","NA","166406","166998","163172","7560","166406","162145","4586","NA","Sternberg Task","21","15671","26","yes","1024"
"81.48148148148148","81.48148148148148","605.2592592592592","605.2592592592592","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","26","0","26","26","26","0","0","0","26","26","26","0","26","26","0","NA","Sun Oct 25 19:04:45 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","14","11","/Users/jacobspurling/Desktop/KS-subject-3.csv","legacy","9 4 2","Lentiform Loewenfeld","3.3.5","1","y","0","left","left","left","left","NA","left","NA","671","458","2922","3584","NA","671","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","9","167023","83549","168134","170365","161587","4609","79964","NA","172378","173051","169149","7560","172378","168120","4586","NA","Sternberg Task","22","16342","27","yes","1024"
"78.57142857142857","78.57142857142857","626.9285714285714","626.9285714285714","black","experiment","legacy","legacy","legacy","0","uniform","0","undefined","0","left","27","0","27","27","27","0","0","0","27","27","27","0","27","27","0","NA","Sun Oct 25 19:04:45 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","15","11","/Users/jacobspurling/Desktop/KS-subject-3.csv","legacy","8 1 6","Lentiform Loewenfeld","3.3.5","3","y","0","right","left","left","left","NA","right","NA","1212","458","2922","3584","NA","1212","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","6","173077","83549","174185","176421","161587","4609","79964","NA","178434","179647","175202","7560","178434","174173","4586","NA","Sternberg Task","22","17554","28","yes","1024"
"79.3103448275862","79.3103448275862","626.5172413793103","626.5172413793103","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","28","0","28","28","28","0","0","0","28","28","28","0","28","28","0","NA","Sun Oct 25 19:04:45 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","16","11","/Users/jacobspurling/Desktop/KS-subject-3.csv","legacy","5 7 3","Lentiform Loewenfeld","3.3.5","0","n","0","right","right","left","left","NA","right","NA","615","3057","2922","3584","NA","615","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","9","173077","83549","182846","185077","179674","4609","79964","NA","187091","187708","183860","7560","187090","182834","4586","NA","Sternberg Task","23","18169","29","yes","1024"
"76.66666666666667","76.66666666666667","645.1","645.1","black","experiment","legacy","legacy","legacy","0","uniform","0","undefined","0","right","29","0","29","29","29","0","0","0","29","29","29","0","29","29","0","NA","Sun Oct 25 19:04:45 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","17","11","/Users/jacobspurling/Desktop/KS-subject-3.csv","legacy","1 4 3 6 5","Lentiform Loewenfeld","3.3.5","0","n","0","left","right","left","left","NA","left","NA","1184","3057","2922","3584","NA","1184","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","8","187733","83549","188849","191080","179674","4609","79964","NA","193099","194285","189864","7560","193099","188835","4586","NA","Sternberg Task","23","19353","30","yes","1024"
