"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","correct","correct_instruction1","correct_new_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_experiment","count_experimentLoop","count_expsequence","count_fixation","count_incorrectFeedback","count_instruction1","count_instructions2","count_memoryset","count_new_keyboard_response","count_new_logger","count_practiceLoop","count_probe","count_thankyou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_new_keyboard_response","response_thankyou","response_time","response_time_instruction1","response_time_instructions2","response_time_new_keyboard_response","response_time_thankyou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_experiment","time_experimentLoop","time_expsequence","time_fixation","time_incorrectFeedback","time_instruction1","time_instructions2","time_memoryset","time_new_keyboard_response","time_new_logger","time_practiceLoop","time_probe","time_thankyou","title","total_correct","total_response_time","total_responses","width"
"71","71","540","540","#3d3846","experiment","legacy","legacy","legacy","0","undefined","0","left","20","20","0","0","20","20","20","0","0","20","20","20","0","20","0","Sat Oct 21 14:54:49 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\katjo\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","8","11","C:/Users/katjo/OneDrive/Desktop/KEJ-subject-4.csv","legacy","6 1 2","Melodramatic Milgram","4.0.5","3","y","0","right","left","right","right","NA","4.0","394","734","4","NA","2","legacy","3","1024","2","48000","-16","experiment","4","even","2","125333","122089","4808","76283","123131","123132","104268","4814","75548","124132","127335","127340","5209","127334","NA","Sternberg Task","15","11356.0","21","1024"
"72","72","578","578","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","left","21","21","0","0","21","21","21","0","0","21","21","21","0","21","0","Sat Oct 21 14:54:49 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\katjo\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","9","11","C:/Users/katjo/OneDrive/Desktop/KEJ-subject-4.csv","legacy","9 1 7 2","Melodramatic Milgram","4.0.5","2","y","0","left","left","right","left","NA","1376.0","394","734","1376","NA","2","legacy","4","1024","2","48000","-16","experiment","4","even","1","130588","122089","4808","76283","128386","128387","127347","4814","75548","129387","132588","133964","5209","132588","NA","Sternberg Task","16","12732.0","22","1024"
"69","69","624","624","#3d3846","experiment","legacy","legacy","legacy","0","undefined","0","left","22","22","0","0","22","22","22","0","0","22","22","22","0","22","0","Sat Oct 21 14:54:49 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\katjo\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","10","11","C:/Users/katjo/OneDrive/Desktop/KEJ-subject-4.csv","legacy","7 4 2 6 3 5","Melodramatic Milgram","4.0.5","6","y","0","right","left","right","right","NA","1641.0","394","734","1641","NA","2","legacy","6","1024","2","48000","-16","experiment","4","even","5","137216","133972","4808","76283","135012","135013","127347","4814","75548","136014","139216","140858","5209","139216","NA","Sternberg Task","16","14373.0","23","1024"
"70","70","622","622","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","left","23","23","0","0","23","23","23","0","0","23","23","23","0","23","0","Sat Oct 21 14:54:49 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\katjo\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","11","11","C:/Users/katjo/OneDrive/Desktop/KEJ-subject-4.csv","legacy","9 5 8 1","Melodramatic Milgram","4.0.5","2","y","0","left","left","right","left","NA","572.0","394","734","572","NA","2","legacy","4","1024","2","48000","-16","experiment","4","even","5","144137","133972","4808","76283","141934","141935","140885","4814","75548","142936","146137","146710","5209","146137","NA","Sternberg Task","17","14945.0","24","1024"
"72","72","628","628","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","left","24","24","0","0","24","24","24","0","0","24","24","24","0","24","0","Sat Oct 21 14:54:49 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\katjo\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","12","11","C:/Users/katjo/OneDrive/Desktop/KEJ-subject-4.csv","legacy","2 4 8 5 1 3","Melodramatic Milgram","4.0.5","1","y","0","left","left","right","left","NA","769.0","394","734","769","NA","2","legacy","6","1024","2","48000","-16","experiment","4","even","2","149955","146713","4808","76283","147753","147754","140885","4814","75548","148754","151955","152724","5209","151955","NA","Sternberg Task","18","15714.0","25","1024"
"73","73","626","626","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","left","25","25","0","0","25","25","25","0","0","25","25","25","0","25","0","Sat Oct 21 14:54:49 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\katjo\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","13","11","C:/Users/katjo/OneDrive/Desktop/KEJ-subject-4.csv","legacy","9 4 2","Melodramatic Milgram","4.0.5","1","y","0","left","left","right","left","NA","587.0","394","734","587","NA","2","legacy","3","1024","2","48000","-16","experiment","4","even","9","155995","152752","4808","76283","153792","153793","140885","4814","75548","154794","157997","158585","5209","157996","NA","Sternberg Task","19","16301.0","26","1024"
"74","74","629","629","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","left","26","26","0","0","26","26","26","0","0","26","26","26","0","26","0","Sat Oct 21 14:54:49 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\katjo\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","14","11","C:/Users/katjo/OneDrive/Desktop/KEJ-subject-4.csv","legacy","6 7 8 5","Melodramatic Milgram","4.0.5","3","y","0","left","left","right","left","NA","705.0","394","734","705","NA","2","legacy","4","1024","2","48000","-16","experiment","4","even","8","161851","158611","4808","76283","159649","159651","140885","4814","75548","160651","163851","164556","5209","163851","NA","Sternberg Task","20","17006.0","27","1024"
"75","75","635","635","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","right","27","27","0","0","27","27","27","0","0","27","27","27","0","27","0","Sat Oct 21 14:54:49 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\katjo\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","15","11","C:/Users/katjo/OneDrive/Desktop/KEJ-subject-4.csv","legacy","1 4 9 2 5","Melodramatic Milgram","4.0.5","0","n","0","right","left","right","right","NA","778.0","394","734","778","NA","2","legacy","5","1024","2","48000","-16","experiment","4","even","7","167818","164564","4808","76283","165616","165617","140885","4814","75548","166617","169818","170596","5209","169818","NA","Sternberg Task","21","17784.0","28","1024"
"75","75","620","620","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","right","28","28","0","0","28","28","28","0","0","28","28","28","0","28","0","Sat Oct 21 14:54:49 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\katjo\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","16","11","C:/Users/katjo/OneDrive/Desktop/KEJ-subject-4.csv","legacy","7 9 1 6","Melodramatic Milgram","4.0.5","0","n","0","right","left","right","right","NA","223.0","394","734","223","NA","2","legacy","4","1024","2","48000","-16","experiment","4","even","4","173858","170601","4808","76283","171656","171657","140885","4814","75548","172657","175858","176082","5209","175858","NA","Sternberg Task","22","18007.0","29","1024"
"73","73","617","617","#3d3846","experiment","legacy","legacy","legacy","0","undefined","0","right","29","29","0","0","29","29","29","0","0","29","29","29","0","29","0","Sat Oct 21 14:54:49 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\katjo\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","17","11","C:/Users/katjo/OneDrive/Desktop/KEJ-subject-4.csv","legacy","9 7 4 5 8","Melodramatic Milgram","4.0.5","0","n","0","left","left","right","left","NA","513.0","394","734","513","NA","2","legacy","5","1024","2","48000","-16","experiment","4","even","6","179366","176108","4808","76283","177163","177164","140885","4814","75548","178165","181366","181880","5209","181366","NA","Sternberg Task","22","18520.0","30","1024"
