"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","correct","correct_instruction1_sketchpad","correct_keyboard_keyboard_response","correct_response","count__logger","count_correctfeeback_sketchpad","count_exp_sequence","count_experiment","count_experimentloop","count_fixation_sketchpad","count_incorrectfeedback_sketchpad","count_instruction1_sketchpad","count_instruction2_sketchpad","count_isi_sketchpad","count_keyboard_keyboard_response","count_memoryset_sketchpad","count_practice_loop","count_probe_sketchpad","count_thankyou_sketchpad","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practice_loop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1_sketchpad","response_instruction2_sketchpad","response_keyboard_keyboard_response","response_thankyou_sketchpad","response_time","response_time_instruction1_sketchpad","response_time_instruction2_sketchpad","response_time_keyboard_keyboard_response","response_time_thankyou_sketchpad","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time__logger","time_correctfeeback_sketchpad","time_exp_sequence","time_experiment","time_experimentloop","time_fixation_sketchpad","time_incorrectfeedback_sketchpad","time_instruction1_sketchpad","time_instruction2_sketchpad","time_isi_sketchpad","time_keyboard_keyboard_response","time_memoryset_sketchpad","time_practice_loop","time_probe_sketchpad","time_thankyou_sketchpad","title","total_correct","total_response_time","total_responses","width"
"66","66","835","835","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","right","20","20","20","0","0","20","20","0","0","20","20","20","0","20","0","Sun Oct 22 13:42:56 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","8","11","C:/Users/User/Desktop/subject-2.csv","legacy","7 9","Melodramatic Milgram","4.0.5","0","n","0","right","space","left","right","NA","762.0","54491","4039","762","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","1","191144","185123","186176","2680","138068","186177","161322","2687","134029","188380","190381","187179","57180","190380","NA","Sternberg task","14","17546.0","21","1024"
"68","68","835","835","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","left","21","21","21","0","0","21","21","0","0","21","21","21","0","21","0","Sun Oct 22 13:42:56 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","9","11","C:/Users/User/Desktop/subject-2.csv","legacy","6 5","Melodramatic Milgram","4.0.5","2","y","0","left","space","left","left","NA","841.0","54491","4039","841","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","5","197241","191150","192197","2680","138068","192198","161322","2687","134029","194399","196400","193198","57180","196399","NA","Sternberg task","15","18387.0","22","1024"
"65","65","865","865","#3d3846","experiment","legacy","legacy","legacy","0","undefined","0","right","22","22","22","0","0","22","22","0","0","22","22","22","0","22","0","Sun Oct 22 13:42:56 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","10","11","C:/Users/User/Desktop/subject-2.csv","legacy","4 2 7 6 1 3","Melodramatic Milgram","4.0.5","0","n","0","left","space","left","left","NA","1519.0","54491","4039","1519","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","8","204005","197247","198284","2680","138068","198285","161322","2687","134029","200486","202486","199285","57180","202486","NA","Sternberg task","15","19906.0","23","1024"
"62","62","862","862","#3d3846","experiment","legacy","legacy","legacy","0","undefined","0","left","23","23","23","0","0","23","23","0","0","23","23","23","0","23","0","Sun Oct 22 13:42:56 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","11","11","C:/Users/User/Desktop/subject-2.csv","legacy","4 1 8 7 5","Melodramatic Milgram","4.0.5","3","y","0","right","space","left","right","NA","790.0","54491","4039","790","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","8","210052","197247","205057","2680","138068","205058","204010","2687","134029","207259","209261","206059","57180","209260","NA","Sternberg task","15","20696.0","24","1024"
"60","60","865","865","#3d3846","experiment","legacy","legacy","legacy","0","undefined","0","left","24","24","24","0","0","24","24","0","0","24","24","24","0","24","0","Sun Oct 22 13:42:56 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","12","11","C:/Users/User/Desktop/subject-2.csv","legacy","2 4 6 9","Melodramatic Milgram","4.0.5","3","y","0","right","space","left","right","NA","935.0","54491","4039","935","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","6","216251","197247","211113","2680","138068","211114","210058","2687","134029","213315","215316","212115","57180","215315","NA","Sternberg task","15","21631.0","25","1024"
"61","61","860","860","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","right","25","25","25","0","0","25","25","0","0","25","25","25","0","25","0","Sun Oct 22 13:42:56 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","13","11","C:/Users/User/Desktop/subject-2.csv","legacy","8 9","Melodramatic Milgram","4.0.5","0","n","0","right","space","left","right","NA","748.0","54491","4039","748","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","5","222256","197247","217303","2680","138068","217304","216254","2687","134029","219506","221507","218305","57180","221507","NA","Sternberg task","16","22379.0","26","1024"
"62","62","869","869","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","right","26","26","26","0","0","26","26","0","0","26","26","26","0","26","0","Sun Oct 22 13:42:56 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","14","11","C:/Users/User/Desktop/subject-2.csv","legacy","1 4 9 2 5","Melodramatic Milgram","4.0.5","0","n","0","right","space","left","right","NA","1091.0","54491","4039","1091","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","7","228610","222262","223317","2680","138068","223318","216254","2687","134029","225518","227519","224318","57180","227519","NA","Sternberg task","17","23470.0","27","1024"
"64","64","865","865","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","right","27","27","27","0","0","27","27","0","0","27","27","27","0","27","0","Sun Oct 22 13:42:56 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","15","11","C:/Users/User/Desktop/subject-2.csv","legacy","7 1 8 4 9 3","Melodramatic Milgram","4.0.5","0","n","0","right","space","left","right","NA","761.0","54491","4039","761","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","6","234627","228617","229663","2680","138068","229664","216254","2687","134029","231865","233865","230664","57180","233865","NA","Sternberg task","18","24231.0","28","1024"
"65","65","854","854","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","right","28","28","28","0","0","28","28","0","0","28","28","28","0","28","0","Sun Oct 22 13:42:56 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","16","11","C:/Users/User/Desktop/subject-2.csv","legacy","7 1","Melodramatic Milgram","4.0.5","0","n","0","right","space","left","right","NA","561.0","54491","4039","561","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","8","240485","234666","235719","2680","138068","235720","216254","2687","134029","237923","239924","236721","57180","239924","NA","Sternberg task","19","24792.0","29","1024"
"66","66","859","859","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","right","29","29","29","0","0","29","29","0","0","29","29","29","0","29","0","Sun Oct 22 13:42:56 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","17","11","C:/Users/User/Desktop/subject-2.csv","legacy","7 6 4 8 1 2","Melodramatic Milgram","4.0.5","0","n","0","right","space","left","right","NA","987.0","54491","4039","987","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","9","246731","240491","241540","2680","138068","241541","216254","2687","134029","243743","245743","242542","57180","245743","NA","Sternberg task","20","25779.0","30","1024"
