acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instruction1,correct_keyboard_response,correct_response,count_correctFeedback,count_expSequence,count_experiment,count_experimentLoop,count_fixation,count_iSi,count_incorrectFeedback,count_instruction1,count_instructions2,count_keyboard_response,count_logger,count_memorySet,count_practiceLoop,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practiceLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_instruction1,response_instructions2,response_keyboard_response,response_thankYou,response_time,response_time_instruction1,response_time_instructions2,response_time_keyboard_response,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_correctFeedback,time_expSequence,time_experiment,time_experimentLoop,time_fixation,time_iSi,time_incorrectFeedback,time_instruction1,time_instructions2,time_keyboard_response,time_logger,time_memorySet,time_practiceLoop,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
85.71428571,85.71428571,809.8095238,809.8095238,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,20,20,0,0,20,20,20,0,0,20,20,20,0,20,0,Fri Oct 15 20:26:29 2021,The main experiment item,yes,Sternbergtask.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,8,11,C:/Users/rayra/Documents/subject-1.csv,legacy,5 9 2 3,Lentiform Loewenfeld,3.3.9,0,n,0,right,left,left,right,NA,1085,38208,16490,1085,NA,2,legacy,4,1024,2,48000,-16,experiment,1,odd,8,176799,184659,3549,134737,184661,186868,183443,3554,118246,188870,189956,185664,41763,188870,NA,Sternberg task,18,17006,21,yes,1024
86.36363636,86.36363636,807.1363636,807.1363636,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,21,21,0,0,21,21,21,0,0,21,21,21,0,21,0,Fri Oct 15 20:26:29 2021,The main experiment item,yes,Sternbergtask.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,9,11,C:/Users/rayra/Documents/subject-1.csv,legacy,9 5 3 8 4,Lentiform Loewenfeld,3.3.9,1,y,0,left,left,left,left,NA,751,38208,16490,751,NA,2,legacy,5,1024,2,48000,-16,experiment,1,odd,9,189962,191122,3549,134737,191124,193332,183443,3554,118246,195337,196088,192128,41763,195337,NA,Sternberg task,19,17757,22,yes,1024
82.60869565,82.60869565,830.5217391,830.5217391,black,experiment,legacy,legacy,legacy,0,uniform,0,undefined,0,right,22,22,0,0,22,22,22,0,0,22,22,22,0,22,0,Fri Oct 15 20:26:29 2021,The main experiment item,yes,Sternbergtask.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,10,11,C:/Users/rayra/Documents/subject-1.csv,legacy,6 9 4 5 3 2,Lentiform Loewenfeld,3.3.9,0,n,0,left,left,left,left,NA,1345,38208,16490,1345,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,8,196112,197376,3549,134737,197378,199588,183443,3554,118246,201594,202939,198382,41763,201594,NA,Sternberg task,19,19102,23,yes,1024
83.33333333,83.33333333,836.5833333,836.5833333,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,23,23,0,0,23,23,23,0,0,23,23,23,0,23,0,Fri Oct 15 20:26:29 2021,The main experiment item,yes,Sternbergtask.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,11,11,C:/Users/rayra/Documents/subject-1.csv,legacy,6 9 7 3 8 2,Lentiform Loewenfeld,3.3.9,0,n,0,right,left,left,right,NA,976,38208,16490,976,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,5,196112,204157,3549,134737,204159,206367,202945,3554,118246,208370,209347,205162,41763,208370,NA,Sternberg task,20,20078,24,yes,1024
84,84,832.76,832.76,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,24,24,0,0,24,24,24,0,0,24,24,24,0,24,0,Fri Oct 15 20:26:29 2021,The main experiment item,yes,Sternbergtask.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,12,11,C:/Users/rayra/Documents/subject-1.csv,legacy,6 9 5,Lentiform Loewenfeld,3.3.9,0,n,0,right,left,left,right,NA,741,38208,16490,741,NA,2,legacy,3,1024,2,48000,-16,experiment,1,odd,8,209354,210580,3549,134737,210583,212791,202945,3554,118246,214795,215537,211587,41763,214795,NA,Sternberg task,21,20819,25,yes,1024
84.61538462,84.61538462,838,838,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,25,25,0,0,25,25,25,0,0,25,25,25,0,25,0,Fri Oct 15 20:26:29 2021,The main experiment item,yes,Sternbergtask.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,13,11,C:/Users/rayra/Documents/subject-1.csv,legacy,9 3 8 2 1 4,Lentiform Loewenfeld,3.3.9,3,y,0,left,left,left,left,NA,969,38208,16490,969,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,8,215546,216812,3549,134737,216814,219023,202945,3554,118246,221028,221998,217819,41763,221028,NA,Sternberg task,22,21788,26,yes,1024
85.18518519,85.18518519,833.2222222,833.2222222,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,26,26,0,0,26,26,26,0,0,26,26,26,0,26,0,Fri Oct 15 20:26:29 2021,The main experiment item,yes,Sternbergtask.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,14,11,C:/Users/rayra/Documents/subject-1.csv,legacy,9 4 2,Lentiform Loewenfeld,3.3.9,1,y,0,left,left,left,left,NA,709,38208,16490,709,NA,2,legacy,3,1024,2,48000,-16,experiment,1,odd,9,222004,223268,3549,134737,223271,225480,202945,3554,118246,227484,228194,224274,41763,227484,NA,Sternberg task,23,22497,27,yes,1024
85.71428571,85.71428571,833.5714286,833.5714286,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,27,27,0,0,27,27,27,0,0,27,27,27,0,27,0,Fri Oct 15 20:26:29 2021,The main experiment item,yes,Sternbergtask.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,15,11,C:/Users/rayra/Documents/subject-1.csv,legacy,9 5 3 2 8 6,Lentiform Loewenfeld,3.3.9,0,n,0,right,left,left,right,NA,843,38208,16490,843,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,7,228203,229445,3549,134737,229448,231656,202945,3554,118246,233660,234504,230452,41763,233659,NA,Sternberg task,24,23340,28,yes,1024
86.20689655,86.20689655,838,838,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,28,28,0,0,28,28,28,0,0,28,28,28,0,28,0,Fri Oct 15 20:26:29 2021,The main experiment item,yes,Sternbergtask.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,16,11,C:/Users/rayra/Documents/subject-1.csv,legacy,2 3 8 5 6 7,Lentiform Loewenfeld,3.3.9,0,n,0,right,left,left,right,NA,962,38208,16490,962,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,1,234512,235803,3549,134737,235807,238016,202945,3554,118246,240020,240984,236811,41763,240020,NA,Sternberg task,25,24302,29,yes,1024
83.33333333,83.33333333,839.9666667,839.9666667,black,experiment,legacy,legacy,legacy,0,uniform,0,undefined,0,left,29,29,0,0,29,29,29,0,0,29,29,29,0,29,0,Fri Oct 15 20:26:29 2021,The main experiment item,yes,Sternbergtask.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,17,11,C:/Users/rayra/Documents/subject-1.csv,legacy,7 8 4 6 9 5,Lentiform Loewenfeld,3.3.9,4,y,0,right,left,left,right,NA,897,38208,16490,897,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,6,240991,242282,3549,134737,242286,244494,202945,3554,118246,246500,247398,243290,41763,246500,NA,Sternberg task,25,25199,30,yes,1024
