"acc","accuracy","average_response_time","avg_rt","background","bidi","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instruction1","correct_keyboard_response","correct_response","count_Fixation","count_ISI","count_Instruction1","count_Instructions2","count_ThankYou","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_incorrectFeedback","count_keyboard_response","count_memorySet","count_new_logger","count_practiceLoop","count_probe","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_Instruction1","response_Instructions2","response_ThankYou","response_keyboard_response","response_time","response_time_Instruction1","response_time_Instructions2","response_time_ThankYou","response_time_keyboard_response","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_Fixation","time_ISI","time_Instruction1","time_Instructions2","time_ThankYou","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_incorrectFeedback","time_keyboard_response","time_memorySet","time_new_logger","time_practiceLoop","time_probe","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"85.7142857143","85.7142857143","1399.33333333","1399.33333333","black","no","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","20","20","0","0","0","20","20","0","0","20","20","20","20","0","20","10/02/18 15:13:01","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","8","11","C:/Users/Anabel/Desktop/subject-2.csv","legacy","3 5 9 6 2 4","Jazzy James","3.1.9","1","y","0","left","space","space","NA","left","1090","16227","3393","NA","1090","2","legacy","6","1024","2","48000","-16","experiment","2","even","3","157317","159521","1548","95357","NA","156232","157315","1544","98751","136898","161523","158319","162614","17777","161523","Sternberg Task","18","29386","21","yes","1024"
"86.3636363636","86.3636363636","1380.13636364","1380.13636364","black","no","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","21","21","0","0","0","21","21","0","0","21","21","21","21","0","21","10/02/18 15:13:01","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","9","11","C:/Users/Anabel/Desktop/subject-2.csv","legacy","5 7 8 2 3 8","Jazzy James","3.1.9","5","y","0","left","space","space","NA","left","977","16227","3393","NA","977","2","legacy","6","1024","2","48000","-16","experiment","2","even","3","163751","165955","1548","95357","NA","162676","163749","1544","98751","136898","167957","164753","168935","17777","167957","Sternberg Task","19","30363","22","yes","1024"
"86.9565217391","86.9565217391","1357.26086957","1357.26086957","black","no","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","22","22","0","0","0","22","22","0","0","22","22","22","22","0","22","10/02/18 15:13:01","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","10","11","C:/Users/Anabel/Desktop/subject-2.csv","legacy","6 5","Jazzy James","3.1.9","2","y","0","left","space","space","NA","left","854","16227","3393","NA","854","2","legacy","2","1024","2","48000","-16","experiment","2","even","5","170095","172299","1548","95357","NA","169009","170093","1544","98751","136898","174301","171097","175157","17777","174301","Sternberg Task","20","31217","23","yes","1024"
"87.5","87.5","1326.41666667","1326.41666667","black","no","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","23","23","0","0","0","23","23","0","0","23","23","23","23","0","23","10/02/18 15:13:01","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","11","11","C:/Users/Anabel/Desktop/subject-2.csv","legacy","1 5 3 2 8","Jazzy James","3.1.9","0","n","0","right","space","space","NA","right","617","16227","3393","NA","617","2","legacy","5","1024","2","48000","-16","experiment","2","even","4","176286","178490","1548","95357","NA","175209","176284","1544","98751","136898","180492","177288","181110","17777","180492","Sternberg Task","21","31834","24","yes","1024"
"88","88","1308.72","1308.72","black","no","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","24","24","0","0","0","24","24","0","0","24","24","24","24","0","24","10/02/18 15:13:01","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","12","11","C:/Users/Anabel/Desktop/subject-2.csv","legacy","7 3 2 8","Jazzy James","3.1.9","0","n","0","right","space","space","NA","right","884","16227","3393","NA","884","2","legacy","4","1024","2","48000","-16","experiment","2","even","4","182248","184453","1548","95357","NA","181165","182247","1544","98751","136898","186455","183251","187340","17777","186455","Sternberg Task","22","32718","25","yes","1024"
"88.4615384615","88.4615384615","1281.03846154","1281.03846154","black","no","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","25","25","0","0","0","25","25","0","0","25","25","25","25","0","25","10/02/18 15:13:01","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","13","11","C:/Users/Anabel/Desktop/subject-2.csv","legacy","4 3 2 5 8","Jazzy James","3.1.9","2","y","0","left","space","space","NA","left","589","16227","3393","NA","589","2","legacy","5","1024","2","48000","-16","experiment","2","even","3","188529","190733","1548","95357","NA","187453","188527","1544","98751","136898","192735","189531","193325","17777","192735","Sternberg Task","23","33307","26","yes","1024"
"88.8888888889","88.8888888889","1278.37037037","1278.37037037","black","no","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","26","26","0","0","0","26","26","0","0","26","26","26","26","0","26","10/02/18 15:13:01","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","14","11","C:/Users/Anabel/Desktop/subject-2.csv","legacy","8 1 6","Jazzy James","3.1.9","3","y","0","left","space","space","NA","left","1209","16227","3393","NA","1209","2","legacy","3","1024","2","48000","-16","experiment","2","even","6","194492","196696","1548","95357","NA","193409","194490","1544","98751","136898","198698","195494","199908","17777","198698","Sternberg Task","24","34516","27","yes","1024"
"89.2857142857","89.2857142857","1255.60714286","1255.60714286","black","no","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","27","27","0","0","0","27","27","0","0","27","27","27","27","0","27","10/02/18 15:13:01","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","15","11","C:/Users/Anabel/Desktop/subject-2.csv","legacy","7 9","Jazzy James","3.1.9","0","n","0","right","space","space","NA","right","641","16227","3393","NA","641","2","legacy","2","1024","2","48000","-16","experiment","2","even","1","201034","203238","1548","95357","NA","199953","201032","1544","98751","136898","205240","202036","205883","17777","205240","Sternberg Task","25","35157","28","yes","1024"
"86.2068965517","86.2068965517","1242.34482759","1242.34482759","black","no","experiment","legacy","legacy","legacy","0","uniform","0","undefined","0","left","28","28","0","0","0","28","28","0","0","28","28","28","28","0","28","10/02/18 15:13:01","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","16","11","C:/Users/Anabel/Desktop/subject-2.csv","legacy","5 7 3 6 2","Jazzy James","3.1.9","5","y","0","right","space","space","NA","right","871","16227","3393","NA","871","2","legacy","5","1024","2","48000","-16","experiment","2","even","2","207029","209233","1548","95357","NA","205942","207027","1544","98751","136898","211235","208031","212108","17777","211235","Sternberg Task","25","36028","29","yes","1024"
"83.3333333333","83.3333333333","1240.96666667","1240.96666667","black","no","experiment","legacy","legacy","legacy","0","uniform","0","undefined","0","left","29","29","0","0","0","29","29","0","0","29","29","29","29","0","29","10/02/18 15:13:01","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","17","11","C:/Users/Anabel/Desktop/subject-2.csv","legacy","3 2 1 4 7","Jazzy James","3.1.9","2","y","0","right","space","space","NA","right","1201","16227","3393","NA","1201","2","legacy","5","1024","2","48000","-16","experiment","2","even","2","213246","215450","1548","95357","NA","205942","213244","1544","98751","212165","217452","214248","218655","17777","217452","Sternberg Task","25","37229","30","yes","1024"
