"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_ISI","correct_instruction1","correct_new_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instruction2","count_logger","count_memorySet","count_new_keyboard_response","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_ISI","response_instruction1","response_instruction2","response_new_keyboard_response","response_thankYou","response_time","response_time_ISI","response_time_instruction1","response_time_instruction2","response_time_new_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instruction2","time_logger","time_memorySet","time_new_keyboard_response","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"85.7142857143","85.7142857143","1541.95238095","1541.95238095","black","experiment","legacy","legacy","legacy","0","uniform","1","0","undefined","1","right","20","20","20","0","0","20","20","0","0","20","20","20","0","20","0","Sun Oct  7 18:07:52 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","8","11","/Volumes/USB20FD/subject-2 f.csv","legacy","4 2 6 9","Kafkaesque Koffka","3.2.5","0","n","0","right","up","","up","right","NA","888","1382","78277","11966","888","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","7","293551","290205","291310","2307","243648","291320","249636","2324","231681","295836","292335","294947","132152","294947","NA","Sternberg Task","18","32381","21","yes","1024"
"86.3636363636","86.3636363636","1513.09090909","1513.09090909","black","experiment","legacy","legacy","legacy","0","uniform","1","0","undefined","1","right","21","21","21","0","0","21","21","0","0","21","21","21","0","21","0","Sun Oct  7 18:07:52 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","9","11","/Volumes/USB20FD/subject-2 f.csv","legacy","8 4 3 5","Kafkaesque Koffka","3.2.5","0","n","0","right","up","","up","right","NA","907","809","78277","11966","907","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","6","299191","295849","296955","2307","243648","296966","249636","2324","231681","300919","297980","300011","132152","300011","NA","Sternberg Task","19","33288","22","yes","1024"
"86.9565217391","86.9565217391","1489.56521739","1489.56521739","black","experiment","legacy","legacy","legacy","0","uniform","1","0","undefined","1","right","22","22","22","0","0","22","22","0","0","22","22","22","0","22","0","Sun Oct  7 18:07:52 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","10","11","/Volumes/USB20FD/subject-2 f.csv","legacy","7 6 4 8 1 2","Kafkaesque Koffka","3.2.5","0","n","0","right","up","","up","right","NA","972","1449","78277","11966","972","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","9","304277","300933","302038","2307","243648","302048","249636","2324","231681","306712","303061","305739","132152","305739","NA","Sternberg Task","20","34260","23","yes","1024"
"87.5","87.5","1475.08333333","1475.08333333","black","experiment","legacy","legacy","legacy","0","uniform","1","0","undefined","1","left","23","23","23","0","0","23","23","0","0","23","23","23","0","23","0","Sun Oct  7 18:07:52 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","11","11","/Volumes/USB20FD/subject-2 f.csv","legacy","5 7 8 2 3 8","Kafkaesque Koffka","3.2.5","5","y","0","left","up","","up","left","NA","1142","2796","78277","11966","1142","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","3","310072","306725","307836","2307","243648","307847","249636","2324","231681","314023","308861","312879","132152","312879","NA","Sternberg Task","21","35402","24","yes","1024"
"88","88","1484.12","1484.12","black","experiment","legacy","legacy","legacy","0","uniform","1","0","undefined","1","right","24","24","24","0","0","24","24","0","0","24","24","24","0","24","0","Sun Oct  7 18:07:52 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","12","11","/Volumes/USB20FD/subject-2 f.csv","legacy","6 9 4 5 3 2","Kafkaesque Koffka","3.2.5","0","n","0","right","up","","up","right","NA","1701","1688","78277","11966","1701","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","8","317380","314035","315139","2307","243648","315150","249636","2324","231681","320782","316164","319079","132152","319079","NA","Sternberg Task","22","37103","25","yes","1024"
"88.4615384615","88.4615384615","1462.11538462","1462.11538462","black","experiment","legacy","legacy","legacy","0","uniform","1","0","undefined","1","right","25","25","25","0","0","25","25","0","0","25","25","25","0","25","0","Sun Oct  7 18:07:52 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","13","11","/Volumes/USB20FD/subject-2 f.csv","legacy","7 8 6 1","Kafkaesque Koffka","3.2.5","0","n","0","right","up","","up","right","NA","912","483","78277","11966","912","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","3","324152","320800","321909","2307","243648","321919","249636","2324","231681","325561","322932","324648","132152","324648","NA","Sternberg Task","23","38015","26","yes","1024"
"88.8888888889","88.8888888889","1443.33333333","1443.33333333","black","experiment","legacy","legacy","legacy","0","uniform","1","0","undefined","1","right","26","26","26","0","0","26","26","0","0","26","26","26","0","26","0","Sun Oct  7 18:07:52 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","14","11","/Volumes/USB20FD/subject-2 f.csv","legacy","1 5 3 2 8","Kafkaesque Koffka","3.2.5","0","n","0","right","up","","up","right","NA","955","546","78277","11966","955","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","4","328919","325573","326679","2307","243648","326689","249636","2324","231681","330434","327703","329477","132152","329477","NA","Sternberg Task","24","38970","27","yes","1024"
"89.2857142857","89.2857142857","1439.03571429","1439.03571429","black","experiment","legacy","legacy","legacy","0","uniform","1","0","undefined","1","right","27","27","27","0","0","27","27","0","0","27","27","27","0","27","0","Sun Oct  7 18:07:52 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","15","11","/Volumes/USB20FD/subject-2 f.csv","legacy","9 5 3 2 8 6","Kafkaesque Koffka","3.2.5","0","n","0","right","up","","up","right","NA","1323","1278","78277","11966","1323","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","7","333794","330446","331551","2307","243648","331562","249636","2324","231681","336408","332578","335084","132152","335083","NA","Sternberg Task","25","40293","28","yes","1024"
"89.6551724138","89.6551724138","1429.48275862","1429.48275862","black","experiment","legacy","legacy","legacy","0","uniform","1","0","undefined","1","left","28","28","28","0","0","28","28","0","0","28","28","28","0","28","0","Sun Oct  7 18:07:52 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","16","11","/Volumes/USB20FD/subject-2 f.csv","legacy","6 8 9 3 4 9","Kafkaesque Koffka","3.2.5","5","y","0","left","up","","up","left","NA","1162","905","78277","11966","1162","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","4","339764","336421","337526","2307","243648","337536","249636","2324","231681","341843","338548","340680","132152","340680","NA","Sternberg Task","26","41455","29","yes","1024"
"90","90","1455.03333333","1455.03333333","black","experiment","legacy","legacy","legacy","0","uniform","1","0","undefined","1","right","29","29","29","0","0","29","29","0","0","29","29","29","0","29","0","Sun Oct  7 18:07:52 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","17","11","/Volumes/USB20FD/subject-2 f.csv","legacy","8 2 1 4 5 9","Kafkaesque Koffka","3.2.5","0","n","0","right","up","","up","right","NA","2196","453","78277","11966","2196","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","7","345209","341858","342963","2307","243648","342974","249636","2324","231681","347871","343991","345673","132152","345673","NA","Sternberg Task","27","43651","30","yes","1024"
"90.3225806452","90.3225806452","1436.80645161","1436.80645161","black","experiment","legacy","legacy","legacy","0","uniform","1","0","undefined","1","right","30","30","30","0","0","30","30","0","0","30","30","30","0","30","0","Sun Oct  7 18:07:52 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","18","11","/Volumes/USB20FD/subject-2 f.csv","legacy","8 5 4 2 9 6","Kafkaesque Koffka","3.2.5","0","n","0","right","up","","up","right","NA","890","1553","78277","11966","890","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","3","351223","347885","348989","2307","243648","348999","249636","2324","231681","353678","350012","352787","132152","352787","NA","Sternberg Task","28","44541","31","yes","1024"
"90.625","90.625","1418.21875","1418.21875","black","experiment","legacy","legacy","legacy","0","uniform","1","0","undefined","1","right","31","31","31","0","0","31","31","0","0","31","31","31","0","31","0","Sun Oct  7 18:07:52 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","19","11","/Volumes/USB20FD/subject-2 f.csv","legacy","1 6 4 3 9 7","Kafkaesque Koffka","3.2.5","0","n","0","right","up","","up","right","NA","842","646","78277","11966","842","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","8","357037","353690","354797","2307","243648","354808","249636","2324","231681","358537","355821","357694","132152","357694","NA","Sternberg Task","29","45383","32","yes","1024"
"90.9090909091","90.9090909091","1402.39393939","1402.39393939","black","experiment","legacy","legacy","legacy","0","uniform","1","0","undefined","1","left","32","32","32","0","0","32","32","0","0","32","32","32","0","32","0","Sun Oct  7 18:07:52 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","20","11","/Volumes/USB20FD/subject-2 f.csv","legacy","9 3 8 2 1 4","Kafkaesque Koffka","3.2.5","3","y","0","left","up","","up","left","NA","896","473","78277","11966","896","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","8","361898","358550","359657","2307","243648","359667","249636","2324","231681","363281","360681","362382","132152","362382","NA","Sternberg Task","30","46279","33","yes","1024"
"91.1764705882","91.1764705882","1396.70588235","1396.70588235","black","experiment","legacy","legacy","legacy","0","uniform","1","0","undefined","1","left","33","33","33","0","0","33","33","0","0","33","33","33","0","33","0","Sun Oct  7 18:07:52 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","21","11","/Volumes/USB20FD/subject-2 f.csv","legacy","2 4 8 5 1 3","Kafkaesque Koffka","3.2.5","1","y","0","left","up","","up","left","NA","1209","407","78277","11966","1209","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","2","366643","363296","364403","2307","243648","364413","249636","2324","231681","368271","365426","367061","132152","367061","NA","Sternberg Task","31","47488","34","yes","1024"
