"acc","accuracy","average_response_time","avg_rt","background","bidi","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instruction1","correct_keyboard_response","correct_response","count_CorrectResponse","count_ExperimentLoop","count_Fixation","count_ISI","count_IncorrectFeedback","count_Instruction1","count_Instructions2","count_Memory","count_PracticeLoop","count_Probe","count_Sternburgtask","count_Thankyou","count_XSequence","count_keyboard_response","count_logger","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_PracticeLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_Instruction1","response_Instructions2","response_Thankyou","response_keyboard_response","response_time","response_time_Instruction1","response_time_Instructions2","response_time_Thankyou","response_time_keyboard_response","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_CorrectResponse","time_ExperimentLoop","time_Fixation","time_ISI","time_IncorrectFeedback","time_Instruction1","time_Instructions2","time_Memory","time_PracticeLoop","time_Probe","time_Sternburgtask","time_Thankyou","time_XSequence","time_keyboard_response","time_logger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"76.1904761905","76.1904761905","995.476190476","995.476190476","black","no","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","20","0","20","20","20","0","0","20","0","20","0","0","20","20","20","Tue Oct  2 19:10:41 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","8","11","/Users/danieldalton/subject-1.csv","legacy","4","Jazzy James","3.1.9","1","y","0","left","right","left","NA","left","1164","50265","3969","NA","1164","2","legacy","1","1024","2","48000","-16","Sternburgtask","1","odd","4","182467","133384","183517","185755","176189","2010","129413","184539","52291","187772","1978","NA","183505","187772","188938","New experiment","16","20905","21","yes","1024"
"77.2727272727","77.2727272727","993.590909091","993.590909091","black","no","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","21","0","21","21","21","0","0","21","0","21","0","0","21","21","21","Tue Oct  2 19:10:41 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","9","11","/Users/danieldalton/subject-1.csv","legacy","5 9 2 3","Jazzy James","3.1.9","0","n","0","right","right","left","NA","right","954","50265","3969","NA","954","2","legacy","4","1024","2","48000","-16","Sternburgtask","1","odd","8","188952","133384","190004","192241","176189","2010","129413","191024","52291","194257","1978","NA","189994","194257","195213","New experiment","17","21859","22","yes","1024"
"78.2608695652","78.2608695652","994.304347826","994.304347826","black","no","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","22","0","22","22","22","0","0","22","0","22","0","0","22","22","22","Tue Oct  2 19:10:41 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","10","11","/Users/danieldalton/subject-1.csv","legacy","1 6 4","Jazzy James","3.1.9","0","n","0","right","right","left","NA","right","1010","50265","3969","NA","1010","2","legacy","3","1024","2","48000","-16","Sternburgtask","1","odd","7","195229","133384","196282","198515","176189","2010","129413","197297","52291","200528","1978","NA","196270","200528","201540","New experiment","18","22869","23","yes","1024"
"79.1666666667","79.1666666667","999.208333333","999.208333333","black","no","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","23","0","23","23","23","0","0","23","0","23","0","0","23","23","23","Tue Oct  2 19:10:41 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","11","11","/Users/danieldalton/subject-1.csv","legacy","7 1 8 4 9 3","Jazzy James","3.1.9","0","n","0","right","right","left","NA","right","1112","50265","3969","NA","1112","2","legacy","6","1024","2","48000","-16","Sternburgtask","1","odd","6","201554","133384","202622","204859","176189","2010","129413","203637","52291","206875","1978","NA","202611","206875","207989","New experiment","19","23981","24","yes","1024"
"80","80","1011.4","1011.4","black","no","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","24","0","24","24","24","0","0","24","0","24","0","0","24","24","24","Tue Oct  2 19:10:41 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","12","11","/Users/danieldalton/subject-1.csv","legacy","7","Jazzy James","3.1.9","1","y","0","left","right","left","NA","left","1304","50265","3969","NA","1304","2","legacy","1","1024","2","48000","-16","Sternburgtask","1","odd","7","208002","133384","209058","211289","176189","2010","129413","210072","52291","213311","1978","NA","209046","213311","214616","New experiment","20","25285","25","yes","1024"
"80.7692307692","80.7692307692","1006.11538462","1006.11538462","black","no","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","25","0","25","25","25","0","0","25","0","25","0","0","25","25","25","Tue Oct  2 19:10:41 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","13","11","/Users/danieldalton/subject-1.csv","legacy","1 5 3 2 8","Jazzy James","3.1.9","0","n","0","right","right","left","NA","right","874","50265","3969","NA","874","2","legacy","5","1024","2","48000","-16","Sternburgtask","1","odd","4","214632","133384","215686","217918","176189","2010","129413","216701","52291","219931","1978","NA","215675","219931","220807","New experiment","21","26159","26","yes","1024"
"81.4814814815","81.4814814815","1000.88888889","1000.88888889","black","no","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","26","0","26","26","26","0","0","26","0","26","0","0","26","26","26","Tue Oct  2 19:10:41 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","14","11","/Users/danieldalton/subject-1.csv","legacy","2 7 5","Jazzy James","3.1.9","0","n","0","right","right","left","NA","right","865","50265","3969","NA","865","2","legacy","3","1024","2","48000","-16","Sternburgtask","1","odd","8","220821","133384","221888","224122","176189","2010","129413","222902","52291","226137","1978","NA","221877","226137","227005","New experiment","22","27024","27","yes","1024"
"82.1428571429","82.1428571429","1020.92857143","1020.92857143","black","no","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","27","0","27","27","27","0","0","27","0","27","0","0","27","27","27","Tue Oct  2 19:10:41 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","15","11","/Users/danieldalton/subject-1.csv","legacy","9 4 2","Jazzy James","3.1.9","1","y","0","left","right","left","NA","left","1562","50265","3969","NA","1562","2","legacy","3","1024","2","48000","-16","Sternburgtask","1","odd","9","227019","133384","228069","230305","176189","2010","129413","229086","52291","232318","1978","NA","228058","232318","233882","New experiment","23","28586","28","yes","1024"
"82.7586206897","82.7586206897","1019.62068966","1019.62068966","black","no","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","28","0","28","28","28","0","0","28","0","28","0","0","28","28","28","Tue Oct  2 19:10:41 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","16","11","/Users/danieldalton/subject-1.csv","legacy","4 9 7 8 5 3","Jazzy James","3.1.9","4","y","0","left","right","left","NA","left","983","50265","3969","NA","983","2","legacy","6","1024","2","48000","-16","Sternburgtask","1","odd","8","233896","133384","234949","237188","176189","2010","129413","235971","52291","239201","1978","NA","234938","239201","240186","New experiment","24","29569","29","yes","1024"
"80","80","1003.06666667","1003.06666667","black","no","experiment","legacy","legacy","legacy","0","uniform","0","undefined","0","right","29","0","29","29","29","0","0","29","0","29","0","0","29","29","29","Tue Oct  2 19:10:41 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","17","11","/Users/danieldalton/subject-1.csv","legacy","9 7 4 5 8","Jazzy James","3.1.9","0","n","0","left","right","left","NA","left","523","50265","3969","NA","523","2","legacy","5","1024","2","48000","-16","Sternburgtask","1","odd","6","240199","133384","241253","243481","176189","2010","129413","242264","52291","245493","1978","NA","241242","245494","246019","New experiment","24","30092","30","yes","1024"
