condition,acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instruction1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_ISI,count_Stimulus,count_errorfeedback,count_experiment,count_faster,count_finish,count_fixation,count_instruction1,count_instruction2,count_instruction3,count_keyboard_response,count_logger,count_sequence,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instruction1,response_instruction2,response_instruction3,response_keyboard_response,response_time,response_time_finish,response_time_instruction1,response_time_instruction2,response_time_instruction3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ISI,time_Stimulus,time_errorfeedback,time_experiment,time_faster,time_finish,time_fixation,time_instruction1,time_instruction2,time_instruction3,time_keyboard_response,time_logger,time_sequence,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
incongruent,90.90909091,90.90909091,774.7272727,774.7272727,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,10,10,10,0,10,0,10,0,0,0,10,10,10,Sun Sep  9 21:50:03 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,10,10,/Users/hannahrae97/Desktop/CTsubject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,s,NA,NA,s,668,NA,25984,NA,NA,668,2,legacy,1024,2,48000,-16,experiment,HHSHH,3,odd,30615,NA,NA,50377,51594,39983,4594,NA,NA,51483,4609,NA,NA,51594,52263,51474,Flanker Task,10,8522,11,yes,1024
Congruent,91.66666667,91.66666667,768.4166667,768.4166667,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,11,11,11,0,11,0,11,0,0,0,11,11,11,Sun Sep  9 21:50:03 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,11,11,/Users/hannahrae97/Desktop/CTsubject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,s,NA,NA,s,699,NA,25984,NA,NA,699,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,30615,NA,NA,52275,53489,39983,4594,NA,NA,53377,4609,NA,NA,53489,54189,53368,Flanker Task,11,9221,12,yes,1024
incongruent,92.30769231,92.30769231,760.0769231,760.0769231,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,12,12,12,0,12,0,12,0,0,0,12,12,12,Sun Sep  9 21:50:03 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,12,12,/Users/hannahrae97/Desktop/CTsubject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,s,NA,NA,h,660,NA,25984,NA,NA,660,2,legacy,1024,2,48000,-16,experiment,SSHSS,3,odd,30615,NA,NA,54206,55445,39983,4594,NA,NA,55337,4609,NA,NA,55446,56107,55328,Flanker Task,12,9881,13,yes,1024
incongruent,92.85714286,92.85714286,793.5,793.5,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,13,13,13,0,13,0,13,0,0,0,13,13,13,Sun Sep  9 21:50:03 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,13,13,/Users/hannahrae97/Desktop/CTsubject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,s,NA,NA,s,1228,NA,25984,NA,NA,1228,2,legacy,1024,2,48000,-16,experiment,HHSHH,3,odd,30615,NA,NA,56119,57336,39983,4594,NA,NA,57224,4609,NA,NA,57337,58566,57215,Flanker Task,13,11109,14,yes,1024
Congruent,93.33333333,93.33333333,775.7333333,775.7333333,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,14,14,14,0,14,0,14,0,0,0,14,14,14,Sun Sep  9 21:50:03 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,14,14,/Users/hannahrae97/Desktop/CTsubject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,s,NA,NA,s,527,NA,25984,NA,NA,527,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,30615,NA,NA,58578,59795,39983,4594,NA,NA,59683,4609,NA,NA,59795,60323,59673,Flanker Task,14,11636,15,yes,1024
Congruent,93.75,93.75,756.75,756.75,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,15,15,15,0,15,0,15,0,0,0,15,15,15,Sun Sep  9 21:50:03 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,15,15,/Users/hannahrae97/Desktop/CTsubject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,s,NA,NA,s,472,NA,25984,NA,NA,472,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,30615,NA,NA,60335,61547,39983,4594,NA,NA,61438,4609,NA,NA,61547,62020,61429,Flanker Task,15,12108,16,yes,1024
congruent,94.11764706,94.11764706,740.1176471,740.1176471,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,16,16,16,0,16,0,16,0,0,0,16,16,16,Sun Sep  9 21:50:03 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,16,16,/Users/hannahrae97/Desktop/CTsubject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,s,NA,NA,h,474,NA,25984,NA,NA,474,2,legacy,1024,2,48000,-16,experiment,HHHHH,3,odd,30615,NA,NA,62033,63241,39983,4594,NA,NA,63132,4609,NA,NA,63241,63717,63124,Flanker Task,16,12582,17,yes,1024
incongruent,94.44444444,94.44444444,738.2222222,738.2222222,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,17,17,17,0,17,0,17,0,0,0,17,17,17,Sun Sep  9 21:50:03 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,17,17,/Users/hannahrae97/Desktop/CTsubject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,s,NA,NA,h,706,NA,25984,NA,NA,706,2,legacy,1024,2,48000,-16,experiment,SSHSS,3,odd,30615,NA,NA,63730,64943,39983,4594,NA,NA,64830,4609,NA,NA,64943,65650,64820,Flanker Task,17,13288,18,yes,1024
incongruent,94.73684211,94.73684211,724,724,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,18,18,18,0,18,0,18,0,0,0,18,18,18,Sun Sep  9 21:50:03 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,18,18,/Users/hannahrae97/Desktop/CTsubject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,s,NA,NA,h,468,NA,25984,NA,NA,468,2,legacy,1024,2,48000,-16,experiment,SSHSS,3,odd,30615,NA,NA,65660,66877,39983,4594,NA,NA,66765,4609,NA,NA,66877,67346,66755,Flanker Task,18,13756,19,yes,1024
Congruent,95,95,711.2,711.2,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,19,19,19,0,19,0,19,0,0,0,19,19,19,Sun Sep  9 21:50:03 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,19,19,/Users/hannahrae97/Desktop/CTsubject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,s,NA,NA,s,468,NA,25984,NA,NA,468,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,30615,NA,NA,67359,68577,39983,4594,NA,NA,68468,4609,NA,NA,68577,69046,68459,Flanker Task,19,14224,20,yes,1024
incongruent,95.23809524,95.23809524,704.5238095,704.5238095,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,20,20,20,0,20,0,20,0,0,0,20,20,20,Sun Sep  9 21:50:03 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,20,20,/Users/hannahrae97/Desktop/CTsubject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,s,NA,NA,s,571,NA,25984,NA,NA,571,2,legacy,1024,2,48000,-16,experiment,HHSHH,3,odd,30615,NA,NA,69059,70276,39983,4594,NA,NA,70163,4609,NA,NA,70276,70848,70155,Flanker Task,20,14795,21,yes,1024
incongruent,95.45454545,95.45454545,695.8181818,695.8181818,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,21,21,21,0,21,0,21,0,0,0,21,21,21,Sun Sep  9 21:50:03 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,21,21,/Users/hannahrae97/Desktop/CTsubject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,s,NA,NA,h,513,NA,25984,NA,NA,513,2,legacy,1024,2,48000,-16,experiment,SSHSS,3,odd,30615,NA,NA,70859,72082,39983,4594,NA,NA,71969,4609,NA,NA,72082,72596,71961,Flanker Task,21,15308,22,yes,1024
Congruent,95.65217391,95.65217391,689.5652174,689.5652174,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,22,22,22,0,22,0,22,0,0,0,22,22,22,Sun Sep  9 21:50:03 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,22,22,/Users/hannahrae97/Desktop/CTsubject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,s,NA,NA,s,552,NA,25984,NA,NA,552,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,30615,NA,NA,72608,73826,39983,4594,NA,NA,73712,4609,NA,NA,73827,74380,73704,Flanker Task,22,15860,23,yes,1024
incongruent,95.83333333,95.83333333,684.6666667,684.6666667,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,23,23,23,0,23,0,23,0,0,0,23,23,23,Sun Sep  9 21:50:03 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,23,23,/Users/hannahrae97/Desktop/CTsubject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,s,NA,NA,s,572,NA,25984,NA,NA,572,2,legacy,1024,2,48000,-16,experiment,HHSHH,3,odd,30615,NA,NA,74398,75606,39983,4594,NA,NA,75497,4609,NA,NA,75606,76179,75489,Flanker Task,23,16432,24,yes,1024
congruent,96,96,676.56,676.56,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,24,24,24,0,24,0,24,0,0,0,24,24,24,Sun Sep  9 21:50:03 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,24,24,/Users/hannahrae97/Desktop/CTsubject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,s,NA,NA,h,482,NA,25984,NA,NA,482,2,legacy,1024,2,48000,-16,experiment,HHHHH,3,odd,30615,NA,NA,76196,77422,39983,4594,NA,NA,77307,4609,NA,NA,77422,77906,77298,Flanker Task,24,16914,25,yes,1024
Congruent,96.15384615,96.15384615,665.5769231,665.5769231,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,25,25,25,0,25,0,25,0,0,0,25,25,25,Sun Sep  9 21:50:03 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,25,25,/Users/hannahrae97/Desktop/CTsubject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,s,NA,NA,s,391,NA,25984,NA,NA,391,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,30615,NA,NA,77918,79136,39983,4594,NA,NA,79023,4609,NA,NA,79136,79528,79014,Flanker Task,25,17305,26,yes,1024
congruent,96.2962963,96.2962963,661.2592593,661.2592593,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,26,26,26,0,26,0,26,0,0,0,26,26,26,Sun Sep  9 21:50:03 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,26,26,/Users/hannahrae97/Desktop/CTsubject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,s,NA,NA,h,549,NA,25984,NA,NA,549,2,legacy,1024,2,48000,-16,experiment,HHHHH,3,odd,30615,NA,NA,79540,80755,39983,4594,NA,NA,80646,4609,NA,NA,80755,81305,80638,Flanker Task,26,17854,27,yes,1024
incongruent,96.42857143,96.42857143,654.75,654.75,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,27,27,27,0,27,0,27,0,0,0,27,27,27,Sun Sep  9 21:50:03 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,27,27,/Users/hannahrae97/Desktop/CTsubject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,s,NA,NA,s,479,NA,25984,NA,NA,479,2,legacy,1024,2,48000,-16,experiment,HHSHH,3,odd,30615,NA,NA,81317,82533,39983,4594,NA,NA,82422,4609,NA,NA,82533,83013,82414,Flanker Task,27,18333,28,yes,1024
Congruent,96.55172414,96.55172414,651.6551724,651.6551724,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,28,28,28,0,28,0,28,0,0,0,28,28,28,Sun Sep  9 21:50:03 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,28,28,/Users/hannahrae97/Desktop/CTsubject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,s,NA,NA,s,565,NA,25984,NA,NA,565,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,30615,NA,NA,83026,84248,39983,4594,NA,NA,84135,4609,NA,NA,84248,84815,84126,Flanker Task,28,18898,29,yes,1024
incongruent,96.66666667,96.66666667,647.6,647.6,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,29,29,29,0,29,0,29,0,0,0,29,29,29,Sun Sep  9 21:50:03 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,29,29,/Users/hannahrae97/Desktop/CTsubject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,s,NA,NA,h,530,NA,25984,NA,NA,530,2,legacy,1024,2,48000,-16,experiment,SSHSS,3,odd,30615,NA,NA,84828,86046,39983,4594,NA,NA,85938,4609,NA,NA,86046,86577,85929,Flanker Task,29,19428,30,yes,1024
incongruent,96.77419355,96.77419355,643.0967742,643.0967742,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,30,30,30,0,30,0,30,0,0,0,30,30,30,Sun Sep  9 21:50:03 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,30,30,/Users/hannahrae97/Desktop/CTsubject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,s,NA,NA,s,508,NA,25984,NA,NA,508,2,legacy,1024,2,48000,-16,experiment,HHSHH,3,odd,30615,NA,NA,86590,87807,39983,4594,NA,NA,87695,4609,NA,NA,87808,88317,87686,Flanker Task,30,19936,31,yes,1024
incongruent,96.875,96.875,640.71875,640.71875,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,31,31,31,0,31,0,31,0,0,0,31,31,31,Sun Sep  9 21:50:03 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,31,31,/Users/hannahrae97/Desktop/CTsubject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,s,NA,NA,h,567,NA,25984,NA,NA,567,2,legacy,1024,2,48000,-16,experiment,SSHSS,3,odd,30615,NA,NA,88331,89548,39983,4594,NA,NA,89440,4609,NA,NA,89549,90117,89431,Flanker Task,31,20503,32,yes,1024
congruent,96.96969697,96.96969697,639.969697,639.969697,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,32,32,32,0,32,0,32,0,0,0,32,32,32,Sun Sep  9 21:50:03 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,32,32,/Users/hannahrae97/Desktop/CTsubject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,s,NA,NA,h,616,NA,25984,NA,NA,616,2,legacy,1024,2,48000,-16,experiment,HHHHH,3,odd,30615,NA,NA,90129,91349,39983,4594,NA,NA,91235,4609,NA,NA,91350,91967,91226,Flanker Task,32,21119,33,yes,1024
incongruent,97.05882353,97.05882353,637.8529412,637.8529412,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,33,33,33,0,33,0,33,0,0,0,33,33,33,Sun Sep  9 21:50:03 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,33,33,/Users/hannahrae97/Desktop/CTsubject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,s,NA,NA,h,568,NA,25984,NA,NA,568,2,legacy,1024,2,48000,-16,experiment,SSHSS,3,odd,30615,NA,NA,91979,93192,39983,4594,NA,NA,93081,4609,NA,NA,93192,93761,93069,Flanker Task,33,21687,34,yes,1024
congruent,97.14285714,97.14285714,635.2857143,635.2857143,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,34,34,34,0,34,0,34,0,0,0,34,34,34,Sun Sep  9 21:50:03 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,34,34,/Users/hannahrae97/Desktop/CTsubject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,s,NA,NA,h,548,NA,25984,NA,NA,548,2,legacy,1024,2,48000,-16,experiment,HHHHH,3,odd,30615,NA,NA,93773,94994,39983,4594,NA,NA,94886,4609,NA,NA,94994,95543,94877,Flanker Task,34,22235,35,yes,1024
congruent,97.22222222,97.22222222,630.1666667,630.1666667,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,35,35,35,0,35,0,35,0,0,0,35,35,35,Sun Sep  9 21:50:03 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,35,35,/Users/hannahrae97/Desktop/CTsubject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,s,NA,NA,h,451,NA,25984,NA,NA,451,2,legacy,1024,2,48000,-16,experiment,HHHHH,3,odd,30615,NA,NA,95555,96774,39983,4594,NA,NA,96661,4609,NA,NA,96774,97227,96652,Flanker Task,35,22686,36,yes,1024
