acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_ISI,count_errorFeedback,count_experiment,count_faster,count_finish,count_fixation,count_instruction2,count_instructions1,count_instructions3,count_keyboard_response,count_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instruction2,response_instructions1,response_instructions3,response_keyboard_response,response_time,response_time_finish,response_time_instruction2,response_time_instructions1,response_time_instructions3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ISI,time_errorFeedback,time_experiment,time_faster,time_finish,time_fixation,time_instruction2,time_instructions1,time_instructions3,time_keyboard_response,time_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
99.00990099,99.00990099,563.6930693,563.6930693,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,100,100,0,100,0,100,0,0,0,100,100,100,100,Fri Sep 20 12:06:06 2019,600,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,20,79,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,h,NA,s,480,NA,228700,58439,NA,480,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,61661,437327,NA,471475,105032,3176,438787,NA,472593,208624,3211,NA,472708,473190,472581,472708,Flanker Task,100,56933,101,yes,1024
99.01960784,99.01960784,561.8921569,561.8921569,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,101,101,0,101,0,101,0,0,0,101,101,101,101,Fri Sep 20 12:06:06 2019,600,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,21,79,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,h,NA,h,380,NA,228700,58439,NA,380,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,61661,437327,NA,473205,105032,3176,438787,NA,474306,208624,3211,NA,474420,474804,474293,474420,Flanker Task,101,57313,102,yes,1024
98.05825243,98.05825243,561.3980583,561.3980583,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,h,0,0,0,102,102,0,102,0,102,0,0,0,102,102,102,102,Fri Sep 20 12:06:06 2019,600,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,22,79,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,h,NA,s,511,NA,228700,58439,NA,511,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,61661,437327,NA,474820,105032,3176,438787,NA,475947,208624,3211,NA,476059,476573,475934,476059,Flanker Task,101,57824,103,yes,1024
98.07692308,98.07692308,560.0384615,560.0384615,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,103,103,0,103,0,103,0,0,0,103,103,103,103,Fri Sep 20 12:06:06 2019,600,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,23,79,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,h,NA,h,420,NA,228700,58439,NA,420,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,61661,437327,NA,477101,476588,3176,438787,NA,478202,208624,3211,NA,478317,478740,478190,478317,Flanker Task,102,58244,104,yes,1024
98.0952381,98.0952381,559.4857143,559.4857143,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,104,104,0,104,0,104,0,0,0,104,104,104,104,Fri Sep 20 12:06:06 2019,600,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,24,79,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,h,NA,h,502,NA,228700,58439,NA,502,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,61661,437327,NA,478754,476588,3176,438787,NA,479855,208624,3211,NA,479971,480477,479843,479971,Flanker Task,103,58746,105,yes,1024
98.11320755,98.11320755,559.754717,559.754717,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,105,105,0,105,0,105,0,0,0,105,105,105,105,Fri Sep 20 12:06:06 2019,600,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,25,79,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,h,NA,s,588,NA,228700,58439,NA,588,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,61661,437327,NA,480493,476588,3176,438787,NA,481608,208624,3211,NA,481723,482313,481596,481723,Flanker Task,104,59334,106,yes,1024
98.13084112,98.13084112,558.9813084,558.9813084,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,106,106,0,106,0,106,0,0,0,106,106,106,106,Fri Sep 20 12:06:06 2019,600,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,26,79,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,h,NA,s,477,NA,228700,58439,NA,477,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,61661,437327,NA,482328,476588,3176,438787,NA,483430,208624,3211,NA,483545,484026,483417,483545,Flanker Task,105,59811,107,yes,1024
98.14814815,98.14814815,558.9444444,558.9444444,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,107,107,0,107,0,107,0,0,0,107,107,107,107,Fri Sep 20 12:06:06 2019,600,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,27,79,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,h,NA,s,555,NA,228700,58439,NA,555,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,61661,437327,NA,484044,476588,3176,438787,NA,485160,208624,3211,NA,485275,485832,485148,485275,Flanker Task,106,60366,108,yes,1024
98.16513761,98.16513761,558.5412844,558.5412844,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,108,108,0,108,0,108,0,0,0,108,108,108,108,Fri Sep 20 12:06:06 2019,600,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,28,79,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,h,NA,s,515,NA,228700,58439,NA,515,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,61661,437327,NA,485847,476588,3176,438787,NA,486950,208624,3211,NA,487065,487583,486938,487065,Flanker Task,107,60881,109,yes,1024
98.18181818,98.18181818,557.2272727,557.2272727,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,109,109,0,109,0,109,0,0,0,109,109,109,109,Fri Sep 20 12:06:06 2019,600,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,29,79,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,h,NA,s,414,NA,228700,58439,NA,414,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,61661,437327,NA,487613,476588,3176,438787,NA,488731,208624,3211,NA,488846,489263,488718,488846,Flanker Task,108,61295,110,yes,1024
