acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_Instruction1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_Faster,count_Finish,count_ISI,count_Instruction1,count_Instruction2,count_Instruction3,count_errorFeedback,count_experiment,count_fixation,count_keyboard_response,count_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Finish,response_Instruction1,response_Instruction2,response_Instruction3,response_keyboard_response,response_time,response_time_Finish,response_time_Instruction1,response_time_Instruction2,response_time_Instruction3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_Faster,time_Finish,time_ISI,time_Instruction1,time_Instruction2,time_Instruction3,time_errorFeedback,time_experiment,time_fixation,time_keyboard_response,time_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,582.2857143,582.2857143,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,20,0,20,0,0,0,20,0,20,20,20,20,20,9/21/19 16:55,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,no,768,legacy,20,20,C:/Users/Carolyn/OneDrive/cp-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,579,NA,115126,NA,NA,579,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,120026,NA,NA,NA,NA,156717,4899,NA,NA,NA,4889,157861,157965,158545,157857,157965,Flankertask2,21,12228,21,yes,1024
100,100,585.3636364,585.3636364,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,21,0,21,0,0,0,21,0,21,21,21,21,21,9/21/19 16:55,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,no,768,legacy,21,21,C:/Users/Carolyn/OneDrive/cp-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,650,NA,115126,NA,NA,650,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,120026,NA,NA,NA,NA,158583,4899,NA,NA,NA,4889,159727,159830,160481,159722,159830,Flankertask2,22,12878,22,yes,1024
100,100,580.3043478,580.3043478,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,22,0,22,0,0,0,22,0,22,22,22,22,22,9/21/19 16:55,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,no,768,legacy,22,22,C:/Users/Carolyn/OneDrive/cp-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,469,NA,115126,NA,NA,469,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,120026,NA,NA,NA,NA,160508,4899,NA,NA,NA,4889,161651,161755,162225,161647,161755,Flankertask2,23,13347,23,yes,1024
100,100,581.0416667,581.0416667,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,23,0,23,0,0,0,23,0,23,23,23,23,23,9/21/19 16:55,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,no,768,legacy,23,23,C:/Users/Carolyn/OneDrive/cp-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,598,NA,115126,NA,NA,598,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,120026,NA,NA,NA,NA,162267,4899,NA,NA,NA,4889,163411,163514,164113,163406,163514,Flankertask2,24,13945,24,yes,1024
100,100,613.84,613.84,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,24,0,24,0,0,0,24,0,24,24,24,24,24,9/21/19 16:55,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,no,768,legacy,24,24,C:/Users/Carolyn/OneDrive/cp-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,1401,NA,115126,NA,NA,1401,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,120026,NA,NA,NA,NA,164133,4899,NA,NA,NA,4889,165287,165391,166793,165282,165391,Flankertask2,25,15346,25,yes,1024
100,100,616.3846154,616.3846154,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,25,0,25,0,0,0,25,0,25,25,25,25,25,9/21/19 16:55,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,no,768,legacy,25,25,C:/Users/Carolyn/OneDrive/cp-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,680,NA,115126,NA,NA,680,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,120026,NA,NA,NA,NA,166816,4899,NA,NA,NA,4889,167961,168064,168745,167957,168064,Flankertask2,26,16026,26,yes,1024
100,100,614.9259259,614.9259259,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,26,0,26,0,0,0,26,0,26,26,26,26,26,9/21/19 16:55,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,no,768,legacy,26,26,C:/Users/Carolyn/OneDrive/cp-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,577,NA,115126,NA,NA,577,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,120026,NA,NA,NA,NA,168783,4899,NA,NA,NA,4889,169928,170031,170612,169923,170031,Flankertask2,27,16603,27,yes,1024
100,100,613.1785714,613.1785714,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,27,0,27,0,0,0,27,0,27,27,27,27,27,9/21/19 16:55,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,no,768,legacy,27,27,C:/Users/Carolyn/OneDrive/cp-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,566,NA,115126,NA,NA,566,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,120026,NA,NA,NA,NA,170642,4899,NA,NA,NA,4889,171811,171914,172481,171806,171914,Flankertask2,28,17169,28,yes,1024
100,100,607.0344828,607.0344828,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,28,0,28,0,0,0,28,0,28,28,28,28,28,9/21/19 16:55,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,no,768,legacy,28,28,C:/Users/Carolyn/OneDrive/cp-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,435,NA,115126,NA,NA,435,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,120026,NA,NA,NA,NA,172525,4899,NA,NA,NA,4889,173668,173773,174209,173664,173772,Flankertask2,29,17604,29,yes,1024
100,100,603.4666667,603.4666667,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,29,0,29,0,0,0,29,0,29,29,29,29,29,9/21/19 16:55,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,no,768,legacy,29,29,C:/Users/Carolyn/OneDrive/cp-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,500,NA,115126,NA,NA,500,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,120026,NA,NA,NA,NA,174250,4899,NA,NA,NA,4889,175405,175508,176012,175400,175508,Flankertask2,30,18104,30,yes,1024
