acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_Instructions1,correct_new_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_ErrorFeedback,count_Faster,count_Finish,count_Fixation,count_ISI,count_Instructions1,count_Instructions2,count_Instructions3,count_Stimulus,count_experiment,count_new_keyboard_response,count_new_logger,count_new_sequence,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Finish,response_Instructions1,response_Instructions2,response_Instructions3,response_new_keyboard_response,response_time,response_time_Finish,response_time_Instructions1,response_time_Instructions2,response_time_Instructions3,response_time_new_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ErrorFeedback,time_Faster,time_Finish,time_Fixation,time_ISI,time_Instructions1,time_Instructions2,time_Instructions3,time_Stimulus,time_experiment,time_new_keyboard_response,time_new_logger,time_new_sequence,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
90.47619048,90.47619048,489.4761905,489.4761905,black,xpyriment,legacy,legacy,0,Incongruent,uniform,1,undefined,1,h,0,0,0,20,20,0,20,20,0,0,0,20,0,20,20,20,9/25/19 9:27,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,20,20,C:/Users/hosan/Desktop/TB_subject-01.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,398,NA,15129,NA,NA,398,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,21851,NA,NA,45760,NA,NA,76307,74471,6721,NA,NA,76414,6687,76414,76813,76283,Flanker Task ,19,10279,21,yes,1024
90.90909091,90.90909091,488.6818182,488.6818182,black,xpyriment,legacy,legacy,0,Incongruent,uniform,1,undefined,1,h,0,0,0,21,21,0,21,21,0,0,0,21,0,21,21,21,9/25/19 9:27,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,21,21,C:/Users/hosan/Desktop/TB_subject-01.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,472,NA,15129,NA,NA,472,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,21851,NA,NA,45760,NA,NA,78666,76840,6721,NA,NA,78773,6687,78773,79246,78642,Flanker Task ,20,10751,22,yes,1024
91.30434783,91.30434783,489.173913,489.173913,black,xpyriment,legacy,legacy,0,Congruent,uniform,1,undefined,1,s,0,0,0,22,22,0,22,22,0,0,0,22,0,22,22,22,9/25/19 9:27,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,22,22,C:/Users/hosan/Desktop/TB_subject-01.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,500,NA,15129,NA,NA,500,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,21851,NA,NA,45760,NA,NA,81110,79280,6721,NA,NA,81216,6687,81216,81717,81085,Flanker Task ,21,11251,23,yes,1024
91.66666667,91.66666667,489.9166667,489.9166667,black,xpyriment,legacy,legacy,0,Congruent,uniform,1,undefined,1,h,0,0,0,23,23,0,23,23,0,0,0,23,0,23,23,23,9/25/19 9:27,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,23,23,C:/Users/hosan/Desktop/TB_subject-01.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,507,NA,15129,NA,NA,507,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,21851,NA,NA,45760,NA,NA,83589,81752,6721,NA,NA,83696,6687,83696,84204,83565,Flanker Task ,22,11758,24,yes,1024
92,92,491.16,491.16,black,xpyriment,legacy,legacy,0,Congruent,uniform,1,undefined,1,s,0,0,0,24,24,0,24,24,0,0,0,24,0,24,24,24,9/25/19 9:27,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,24,24,C:/Users/hosan/Desktop/TB_subject-01.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,521,NA,15129,NA,NA,521,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,21851,NA,NA,45760,NA,NA,86091,84265,6721,NA,NA,86197,6687,86197,86720,86067,Flanker Task ,23,12279,25,yes,1024
92.30769231,92.30769231,490.8461538,490.8461538,black,xpyriment,legacy,legacy,0,Congruent,uniform,1,undefined,1,h,0,0,0,25,25,0,25,25,0,0,0,25,0,25,25,25,9/25/19 9:27,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,25,25,C:/Users/hosan/Desktop/TB_subject-01.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,483,NA,15129,NA,NA,483,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,21851,NA,NA,45760,NA,NA,88605,86792,6721,NA,NA,88713,6687,88713,89196,88581,Flanker Task ,24,12762,26,yes,1024
92.59259259,92.59259259,490.6666667,490.6666667,black,xpyriment,legacy,legacy,0,Incongruent,uniform,1,undefined,1,h,0,0,0,26,26,0,26,26,0,0,0,26,0,26,26,26,9/25/19 9:27,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,26,26,C:/Users/hosan/Desktop/TB_subject-01.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,486,NA,15129,NA,NA,486,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,21851,NA,NA,45760,NA,NA,91126,89246,6721,NA,NA,91232,6687,91232,91719,91101,Flanker Task ,25,13248,27,yes,1024
92.85714286,92.85714286,488.1428571,488.1428571,black,xpyriment,legacy,legacy,0,Congruent,uniform,1,undefined,1,h,0,0,0,27,27,0,27,27,0,0,0,27,0,27,27,27,9/25/19 9:27,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,27,27,C:/Users/hosan/Desktop/TB_subject-01.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,420,NA,15129,NA,NA,420,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,21851,NA,NA,45760,NA,NA,93651,91807,6721,NA,NA,93757,6687,93757,94177,93627,Flanker Task ,26,13668,28,yes,1024
93.10344828,93.10344828,495.4137931,495.4137931,black,xpyriment,legacy,legacy,0,Incongruent,uniform,1,undefined,1,s,0,0,0,28,28,0,28,28,0,0,0,28,0,28,28,28,9/25/19 9:27,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,28,28,C:/Users/hosan/Desktop/TB_subject-01.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,699,NA,15129,NA,NA,699,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,21851,NA,NA,45760,NA,NA,96048,94239,6721,NA,NA,96154,6687,96154,96853,96023,Flanker Task ,27,14367,29,yes,1024
93.33333333,93.33333333,492.9666667,492.9666667,black,xpyriment,legacy,legacy,0,Congruent,uniform,1,undefined,1,s,0,0,0,29,29,0,29,29,0,0,0,29,0,29,29,29,9/25/19 9:27,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,29,29,C:/Users/hosan/Desktop/TB_subject-01.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,422,NA,15129,NA,NA,422,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,21851,NA,NA,45760,NA,NA,98688,96887,6721,NA,NA,98795,6687,98795,99217,98664,Flanker Task ,28,14789,30,yes,1024
