acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_errorFeedback,count_experiment,count_faster,count_finish,count_fixation,count_instructions1,count_instructions2,count_instructions3,count_isi,count_keyboard_response,count_logger,count_sequence,count_sketchpad,count_sketchpad_1,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instructions1,response_instructions2,response_instructions3,response_keyboard_response,response_sketchpad,response_sketchpad_1,response_time,response_time_finish,response_time_instructions1,response_time_instructions2,response_time_instructions3,response_time_keyboard_response,response_time_sketchpad,response_time_sketchpad_1,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_errorFeedback,time_experiment,time_faster,time_finish,time_fixation,time_instructions1,time_instructions2,time_instructions3,time_isi,time_keyboard_response,time_logger,time_sequence,time_sketchpad,time_sketchpad_1,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
63.63636364,63.63636364,1214.636364,1214.636364,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,10,0,10,0,10,0,0,0,10,10,10,10,NA,NA,10,9/19/19 14:57,1500,The main experiment item,yes,Week4submit.osexp,C:\Users\DLGoupil\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,10,10,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,NA,788,NA,10987,NA,NA,788,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,13769,NA,NA,27613,2777,NA,NA,40742,2781,NA,NA,39638,40845,41633,40739,NA,NA,40845,Week4submit,7,13361,11,yes,1024
66.66666667,66.66666667,1165.333333,1165.333333,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,11,0,11,0,11,0,0,0,11,11,11,11,NA,NA,11,9/19/19 14:57,1500,The main experiment item,yes,Week4submit.osexp,C:\Users\DLGoupil\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,11,11,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,NA,NA,623,NA,10987,NA,NA,623,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,13769,NA,NA,27613,2777,NA,NA,42747,2781,NA,NA,41638,42850,43474,42744,NA,NA,42850,Week4submit,8,13984,12,yes,1024
69.23076923,69.23076923,1142.384615,1142.384615,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,12,0,12,0,12,0,0,0,12,12,12,12,NA,NA,12,9/19/19 14:57,1500,The main experiment item,yes,Week4submit.osexp,C:\Users\DLGoupil\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,12,12,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,NA,NA,867,NA,10987,NA,NA,867,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,13769,NA,NA,27613,2777,NA,NA,44583,2781,NA,NA,43479,44686,45554,44580,NA,NA,44686,Week4submit,9,14851,13,yes,1024
71.42857143,71.42857143,1132.714286,1132.714286,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,13,0,13,0,13,0,0,0,13,13,13,13,NA,NA,13,9/19/19 14:57,1500,The main experiment item,yes,Week4submit.osexp,C:\Users\DLGoupil\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,13,13,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,NA,1007,NA,10987,NA,NA,1007,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,13769,NA,NA,27613,2777,NA,NA,46659,2781,NA,NA,45559,46762,47770,46656,NA,NA,46762,Week4submit,10,15858,14,yes,1024
73.33333333,73.33333333,1119.933333,1119.933333,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,14,0,14,0,14,0,0,0,14,14,14,14,NA,NA,14,9/19/19 14:57,1500,The main experiment item,yes,Week4submit.osexp,C:\Users\DLGoupil\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,14,14,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,NA,NA,941,NA,10987,NA,NA,941,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,13769,NA,NA,27613,2777,NA,NA,48877,2781,NA,NA,47775,48980,49921,48874,NA,NA,48980,Week4submit,11,16799,15,yes,1024
75,75,1102,1102,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,15,0,15,0,15,0,0,0,15,15,15,15,NA,NA,15,9/19/19 14:57,1500,The main experiment item,yes,Week4submit.osexp,C:\Users\DLGoupil\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,15,15,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,NA,NA,833,NA,10987,NA,NA,833,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,13769,NA,NA,27613,2777,NA,NA,51032,2781,NA,NA,49926,51135,51969,51029,NA,NA,51135,Week4submit,12,17632,16,yes,1024
76.47058824,76.47058824,1081.176471,1081.176471,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,16,0,16,0,16,0,0,0,16,16,16,16,NA,NA,16,9/19/19 14:57,1500,The main experiment item,yes,Week4submit.osexp,C:\Users\DLGoupil\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,16,16,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,NA,NA,748,NA,10987,NA,NA,748,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,13769,NA,NA,27613,2777,NA,NA,53077,2781,NA,NA,51974,53180,53929,53074,NA,NA,53180,Week4submit,13,18380,17,yes,1024
77.77777778,77.77777778,1091.555556,1091.555556,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,17,0,17,0,17,0,0,0,17,17,17,17,NA,NA,17,9/19/19 14:57,1500,The main experiment item,yes,Week4submit.osexp,C:\Users\DLGoupil\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,17,17,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,NA,1268,NA,10987,NA,NA,1268,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,13769,NA,NA,27613,2777,NA,NA,55045,2781,NA,NA,53934,55148,56417,55042,NA,NA,55148,Week4submit,14,19648,18,yes,1024
78.94736842,78.94736842,1075.526316,1075.526316,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,18,0,18,0,18,0,0,0,18,18,18,18,NA,NA,18,9/19/19 14:57,1500,The main experiment item,yes,Week4submit.osexp,C:\Users\DLGoupil\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,18,18,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,NA,787,NA,10987,NA,NA,787,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,13769,NA,NA,27613,2777,NA,NA,57526,2781,NA,NA,56422,57629,58417,57523,NA,NA,57629,Week4submit,15,20435,19,yes,1024
80,80,1061.55,1061.55,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,19,0,19,0,19,0,0,0,19,19,19,19,NA,NA,19,9/19/19 14:57,1500,The main experiment item,yes,Week4submit.osexp,C:\Users\DLGoupil\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,19,19,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,NA,NA,796,NA,10987,NA,NA,796,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,13769,NA,NA,27613,2777,NA,NA,59525,2781,NA,NA,58423,59628,60425,59522,NA,NA,59628,Week4submit,16,21231,20,yes,1024
80.95238095,80.95238095,1058,1058,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,20,0,20,0,20,0,0,0,20,20,20,20,NA,NA,20,9/19/19 14:57,1500,The main experiment item,yes,Week4submit.osexp,C:\Users\DLGoupil\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,20,20,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,NA,987,NA,10987,NA,NA,987,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,13769,NA,NA,27613,2777,NA,NA,61534,2781,NA,NA,60431,61637,62625,61531,NA,NA,61637,Week4submit,17,22218,21,yes,1024
81.81818182,81.81818182,1037.5,1037.5,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,21,0,21,0,21,0,0,0,21,21,21,21,NA,NA,21,9/19/19 14:57,1500,The main experiment item,yes,Week4submit.osexp,C:\Users\DLGoupil\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,21,21,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,NA,NA,607,NA,10987,NA,NA,607,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,13769,NA,NA,27613,2777,NA,NA,63730,2781,NA,NA,62630,63833,64441,63728,NA,NA,63833,Week4submit,18,22825,22,yes,1024
82.60869565,82.60869565,1022.782609,1022.782609,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,22,0,22,0,22,0,0,0,22,22,22,22,NA,NA,22,9/19/19 14:57,1500,The main experiment item,yes,Week4submit.osexp,C:\Users\DLGoupil\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,22,22,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,NA,699,NA,10987,NA,NA,699,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,13769,NA,NA,27613,2777,NA,NA,65542,2781,NA,NA,64446,65645,66345,65539,NA,NA,65645,Week4submit,19,23524,23,yes,1024
83.33333333,83.33333333,1010.041667,1010.041667,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,23,0,23,0,23,0,0,0,23,23,23,23,NA,NA,23,9/19/19 14:57,1500,The main experiment item,yes,Week4submit.osexp,C:\Users\DLGoupil\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,23,23,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,NA,717,NA,10987,NA,NA,717,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,13769,NA,NA,27613,2777,NA,NA,67453,2781,NA,NA,66350,67556,68273,67450,NA,NA,67556,Week4submit,20,24241,24,yes,1024
84,84,997.4,997.4,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,24,0,24,0,24,0,0,0,24,24,24,24,NA,NA,24,9/19/19 14:57,1500,The main experiment item,yes,Week4submit.osexp,C:\Users\DLGoupil\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,24,24,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,NA,694,NA,10987,NA,NA,694,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,13769,NA,NA,27613,2777,NA,NA,69387,2781,NA,NA,68278,69490,70185,69385,NA,NA,69490,Week4submit,21,24935,25,yes,1024
84.61538462,84.61538462,983.4615385,983.4615385,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,25,0,25,0,25,0,0,0,25,25,25,25,NA,NA,25,9/19/19 14:57,1500,The main experiment item,yes,Week4submit.osexp,C:\Users\DLGoupil\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,25,25,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,NA,635,NA,10987,NA,NA,635,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,13769,NA,NA,27613,2777,NA,NA,71286,2781,NA,NA,70190,71389,72025,71283,NA,NA,71389,Week4submit,22,25570,26,yes,1024
85.18518519,85.18518519,970.4074074,970.4074074,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,26,0,26,0,26,0,0,0,26,26,26,26,NA,NA,26,9/19/19 14:57,1500,The main experiment item,yes,Week4submit.osexp,C:\Users\DLGoupil\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,26,26,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,NA,631,NA,10987,NA,NA,631,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,13769,NA,NA,27613,2777,NA,NA,73138,2781,NA,NA,72030,73241,73873,73135,NA,NA,73241,Week4submit,23,26201,27,yes,1024
85.71428571,85.71428571,960.2857143,960.2857143,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,27,0,27,0,27,0,0,0,27,27,27,27,NA,NA,27,9/19/19 14:57,1500,The main experiment item,yes,Week4submit.osexp,C:\Users\DLGoupil\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,27,27,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,NA,687,NA,10987,NA,NA,687,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,13769,NA,NA,27613,2777,NA,NA,74978,2781,NA,NA,73878,75081,75769,74975,NA,NA,75081,Week4submit,24,26888,28,yes,1024
86.20689655,86.20689655,956.0689655,956.0689655,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,28,0,28,0,28,0,0,0,28,28,28,28,NA,NA,28,9/19/19 14:57,1500,The main experiment item,yes,Week4submit.osexp,C:\Users\DLGoupil\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,28,28,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,NA,NA,838,NA,10987,NA,NA,838,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,13769,NA,NA,27613,2777,NA,NA,76884,2781,NA,NA,75774,76987,77825,76881,NA,NA,76987,Week4submit,25,27726,29,yes,1024
86.66666667,86.66666667,949.4,949.4,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,29,0,29,0,29,0,0,0,29,29,29,29,NA,NA,29,9/19/19 14:57,1500,The main experiment item,yes,Week4submit.osexp,C:\Users\DLGoupil\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,29,29,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,NA,NA,756,NA,10987,NA,NA,756,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,13769,NA,NA,27613,2777,NA,NA,78934,2781,NA,NA,77830,79037,79793,78931,NA,NA,79037,Week4submit,26,28482,30,yes,1024
87.09677419,87.09677419,944.0322581,944.0322581,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,30,0,30,0,30,0,0,0,30,30,30,30,NA,NA,30,9/19/19 14:57,1500,The main experiment item,yes,Week4submit.osexp,C:\Users\DLGoupil\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,30,30,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,NA,783,NA,10987,NA,NA,783,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,13769,NA,NA,27613,2777,NA,NA,80907,2781,NA,NA,79798,81010,81793,80904,NA,NA,81010,Week4submit,27,29265,31,yes,1024
87.5,87.5,936.96875,936.96875,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,31,0,31,0,31,0,0,0,31,31,31,31,NA,NA,31,9/19/19 14:57,1500,The main experiment item,yes,Week4submit.osexp,C:\Users\DLGoupil\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,31,31,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,NA,NA,718,NA,10987,NA,NA,718,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,13769,NA,NA,27613,2777,NA,NA,82900,2781,NA,NA,81798,83003,83721,82897,NA,NA,83003,Week4submit,28,29983,32,yes,1024
87.87878788,87.87878788,930.4242424,930.4242424,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,32,0,32,0,32,0,0,0,32,32,32,32,NA,NA,32,9/19/19 14:57,1500,The main experiment item,yes,Week4submit.osexp,C:\Users\DLGoupil\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,32,32,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,NA,721,NA,10987,NA,NA,721,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,13769,NA,NA,27613,2777,NA,NA,84825,2781,NA,NA,83726,84928,85649,84822,NA,NA,84928,Week4submit,29,30704,33,yes,1024
