acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_Instructions1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_Finish,count_ISI,count_Instructions1,count_Instructions2,count_Instructions3,count_errorFeedback,count_experiment,count_faster,count_fixation,count_keyboard_response,count_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Finish,response_Instructions1,response_Instructions2,response_Instructions3,response_keyboard_response,response_time,response_time_Finish,response_time_Instructions1,response_time_Instructions2,response_time_Instructions3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_Finish,time_ISI,time_Instructions1,time_Instructions2,time_Instructions3,time_errorFeedback,time_experiment,time_faster,time_fixation,time_keyboard_response,time_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,603.6190476,603.6190476,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,0,20,0,0,0,20,0,20,20,20,20,20,20,Wed Sep 25 23:00:05 2019,1500,The main experiment item,yes,fp-subject-1.osexp,/Users/freyaportales/Desktop/OpenSesame Assignments,no,mono,no,18,no,white,no,no,768,legacy,20,20,/Users/freyaportales/Desktop/OpenSesame Assignments/quickrun.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,h,NA,NA,h,491,NA,109515,NA,NA,491,2,legacy,1024,2,48000,-16,experiment,HHHHH,999,odd,112181,NA,NA,NA,149174,2655,NA,NA,NA,2572,NA,150287,150419,150912,150255,150419,Flanker task,21,12676,21,yes,1024
100,100,603,603,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,0,21,0,0,0,21,0,21,21,21,21,21,21,Wed Sep 25 23:00:05 2019,1500,The main experiment item,yes,fp-subject-1.osexp,/Users/freyaportales/Desktop/OpenSesame Assignments,no,mono,no,18,no,white,no,no,768,legacy,21,21,/Users/freyaportales/Desktop/OpenSesame Assignments/quickrun.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,h,NA,NA,h,590,NA,109515,NA,NA,590,2,legacy,1024,2,48000,-16,experiment,SSHSS,999,odd,112181,NA,NA,NA,150953,2655,NA,NA,NA,2572,NA,152072,152205,152797,152040,152205,Flanker task,22,13266,22,yes,1024
100,100,601.4347826,601.4347826,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,0,22,0,0,0,22,0,22,22,22,22,22,22,Wed Sep 25 23:00:05 2019,1500,The main experiment item,yes,fp-subject-1.osexp,/Users/freyaportales/Desktop/OpenSesame Assignments,no,mono,no,18,no,white,no,no,768,legacy,22,22,/Users/freyaportales/Desktop/OpenSesame Assignments/quickrun.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,NA,NA,s,567,NA,109515,NA,NA,567,2,legacy,1024,2,48000,-16,experiment,HHSHH,999,odd,112181,NA,NA,NA,152832,2655,NA,NA,NA,2572,NA,153945,154078,154647,153913,154078,Flanker task,23,13833,23,yes,1024
100,100,603.2916667,603.2916667,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,0,23,0,0,0,23,0,23,23,23,23,23,23,Wed Sep 25 23:00:05 2019,1500,The main experiment item,yes,fp-subject-1.osexp,/Users/freyaportales/Desktop/OpenSesame Assignments,no,mono,no,18,no,white,no,no,768,legacy,23,23,/Users/freyaportales/Desktop/OpenSesame Assignments/quickrun.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,h,NA,NA,h,646,NA,109515,NA,NA,646,2,legacy,1024,2,48000,-16,experiment,HHHHH,999,odd,112181,NA,NA,NA,154681,2655,NA,NA,NA,2572,NA,155795,155928,156576,155762,155927,Flanker task,24,14479,24,yes,1024
100,100,625.96,625.96,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,0,24,0,0,0,24,0,24,24,24,24,24,24,Wed Sep 25 23:00:05 2019,1500,The main experiment item,yes,fp-subject-1.osexp,/Users/freyaportales/Desktop/OpenSesame Assignments,no,mono,no,18,no,white,no,no,768,legacy,24,24,/Users/freyaportales/Desktop/OpenSesame Assignments/quickrun.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,h,NA,NA,h,1170,NA,109515,NA,NA,1170,2,legacy,1024,2,48000,-16,experiment,HHHHH,999,odd,112181,NA,NA,NA,156624,2655,NA,NA,NA,2572,NA,157738,157870,159042,157706,157870,Flanker task,25,15649,25,yes,1024
100,100,624.1538462,624.1538462,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,0,25,0,0,0,25,0,25,25,25,25,25,25,Wed Sep 25 23:00:05 2019,1500,The main experiment item,yes,fp-subject-1.osexp,/Users/freyaportales/Desktop/OpenSesame Assignments,no,mono,no,18,no,white,no,no,768,legacy,25,25,/Users/freyaportales/Desktop/OpenSesame Assignments/quickrun.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,NA,NA,s,579,NA,109515,NA,NA,579,2,legacy,1024,2,48000,-16,experiment,HHSHH,999,odd,112181,NA,NA,NA,159078,2655,NA,NA,NA,2572,NA,160201,160333,160914,160168,160333,Flanker task,26,16228,26,yes,1024
100,100,634.4814815,634.4814815,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,0,26,0,0,0,26,0,26,26,26,26,26,26,Wed Sep 25 23:00:05 2019,1500,The main experiment item,yes,fp-subject-1.osexp,/Users/freyaportales/Desktop/OpenSesame Assignments,no,mono,no,18,no,white,no,no,768,legacy,26,26,/Users/freyaportales/Desktop/OpenSesame Assignments/quickrun.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,h,NA,NA,h,903,NA,109515,NA,NA,903,2,legacy,1024,2,48000,-16,experiment,HHHHH,999,odd,112181,NA,NA,NA,160948,2655,NA,NA,NA,2572,NA,162069,162202,163107,162029,162201,Flanker task,27,17131,27,yes,1024
100,100,647.8571429,647.8571429,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,0,27,0,0,0,27,0,27,27,27,27,27,27,Wed Sep 25 23:00:05 2019,1500,The main experiment item,yes,fp-subject-1.osexp,/Users/freyaportales/Desktop/OpenSesame Assignments,no,mono,no,18,no,white,no,no,768,legacy,27,27,/Users/freyaportales/Desktop/OpenSesame Assignments/quickrun.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,NA,NA,s,1009,NA,109515,NA,NA,1009,2,legacy,1024,2,48000,-16,experiment,SSSSS,999,odd,112181,NA,NA,NA,163144,2655,NA,NA,NA,2572,NA,164269,164404,165415,164236,164403,Flanker task,28,18140,28,yes,1024
100,100,646.5172414,646.5172414,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,0,28,0,0,0,28,0,28,28,28,28,28,28,Wed Sep 25 23:00:05 2019,1500,The main experiment item,yes,fp-subject-1.osexp,/Users/freyaportales/Desktop/OpenSesame Assignments,no,mono,no,18,no,white,no,no,768,legacy,28,28,/Users/freyaportales/Desktop/OpenSesame Assignments/quickrun.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,NA,NA,s,609,NA,109515,NA,NA,609,2,legacy,1024,2,48000,-16,experiment,SSSSS,999,odd,112181,NA,NA,NA,165451,2655,NA,NA,NA,2572,NA,166571,166704,167315,166539,166703,Flanker task,29,18749,29,yes,1024
100,100,682.1,682.1,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,0,29,0,0,0,29,0,29,29,29,29,29,29,Wed Sep 25 23:00:05 2019,1500,The main experiment item,yes,fp-subject-1.osexp,/Users/freyaportales/Desktop/OpenSesame Assignments,no,mono,no,18,no,white,no,no,768,legacy,29,29,/Users/freyaportales/Desktop/OpenSesame Assignments/quickrun.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,h,NA,NA,h,1714,NA,109515,NA,NA,1714,2,legacy,1024,2,48000,-16,experiment,HHHHH,999,odd,112181,NA,NA,NA,167349,2655,NA,NA,NA,2572,NA,168464,168597,170313,168431,168597,Flanker task,30,20463,30,yes,1024
