Stimulus,acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_ISI,count_errorFeedback,count_experiment,count_faster,count_finish,count_fixation,count_instructions1,count_instructions2,count_instructions3,count_keyboard_response,count_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,new_column_1,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instructions1,response_instructions2,response_instructions3,response_keyboard_response,response_time,response_time_finish,response_time_instructions1,response_time_instructions2,response_time_instructions3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ISI,time_errorFeedback,time_experiment,time_faster,time_finish,time_fixation,time_instructions1,time_instructions2,time_instructions3,time_keyboard_response,time_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
NA,100,100,650.3809524,650.3809524,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,20,20,0,20,0,20,0,0,0,20,20,20,20,Fri Sep 17 17:02:01 2021,1500,Flanker Task,yes,Flanker Task.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,20,20,C:/Users/rayra/Documents/rc-subject-0.csv,legacy,NA,Lentiform Loewenfeld,3.3.9,0,h,NA,h,NA,NA,h,613,NA,36919,NA,NA,613,2,legacy,1024,2,48000,-16,experiment,HHHHH,0,even,39174,NA,NA,75539,NA,2250,NA,NA,76653,2254,NA,NA,76756,77370,76651,76756,Flan ,21,13658,21,yes,1024
NA,100,100,650.8636364,650.8636364,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,21,21,0,21,0,21,0,0,0,21,21,21,21,Fri Sep 17 17:02:01 2021,1500,Flanker Task,yes,Flanker Task.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,21,21,C:/Users/rayra/Documents/rc-subject-0.csv,legacy,NA,Lentiform Loewenfeld,3.3.9,0,h,NA,h,NA,NA,h,661,NA,36919,NA,NA,661,2,legacy,1024,2,48000,-16,experiment,SSHSS,0,even,39174,NA,NA,77376,NA,2250,NA,NA,78489,2254,NA,NA,78591,79252,78486,78591,Flan ,22,14319,22,yes,1024
NA,100,100,651.1304348,651.1304348,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,22,22,0,22,0,22,0,0,0,22,22,22,22,Fri Sep 17 17:02:01 2021,1500,Flanker Task,yes,Flanker Task.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,22,22,C:/Users/rayra/Documents/rc-subject-0.csv,legacy,NA,Lentiform Loewenfeld,3.3.9,0,s,NA,h,NA,NA,s,657,NA,36919,NA,NA,657,2,legacy,1024,2,48000,-16,experiment,SSSSS,0,even,39174,NA,NA,79259,NA,2250,NA,NA,80382,2254,NA,NA,80485,81143,80379,80485,Flan ,23,14976,23,yes,1024
NA,100,100,649.7083333,649.7083333,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,23,23,0,23,0,23,0,0,0,23,23,23,23,Fri Sep 17 17:02:01 2021,1500,Flanker Task,yes,Flanker Task.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,23,23,C:/Users/rayra/Documents/rc-subject-0.csv,legacy,NA,Lentiform Loewenfeld,3.3.9,0,s,NA,h,NA,NA,s,617,NA,36919,NA,NA,617,2,legacy,1024,2,48000,-16,experiment,HHSHH,0,even,39174,NA,NA,81154,NA,2250,NA,NA,82259,2254,NA,NA,82362,82980,82256,82362,Flan ,24,15593,24,yes,1024
NA,100,100,646.32,646.32,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,24,24,0,24,0,24,0,0,0,24,24,24,24,Fri Sep 17 17:02:01 2021,1500,Flanker Task,yes,Flanker Task.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,24,24,C:/Users/rayra/Documents/rc-subject-0.csv,legacy,NA,Lentiform Loewenfeld,3.3.9,0,h,NA,h,NA,NA,h,565,NA,36919,NA,NA,565,2,legacy,1024,2,48000,-16,experiment,HHHHH,0,even,39174,NA,NA,82986,NA,2250,NA,NA,84092,2254,NA,NA,84197,84763,84090,84197,Flan ,25,16158,25,yes,1024
NA,100,100,644.5769231,644.5769231,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,25,25,0,25,0,25,0,0,0,25,25,25,25,Fri Sep 17 17:02:01 2021,1500,Flanker Task,yes,Flanker Task.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,25,25,C:/Users/rayra/Documents/rc-subject-0.csv,legacy,NA,Lentiform Loewenfeld,3.3.9,0,s,NA,h,NA,NA,s,601,NA,36919,NA,NA,601,2,legacy,1024,2,48000,-16,experiment,SSSSS,0,even,39174,NA,NA,84768,NA,2250,NA,NA,85867,2254,NA,NA,85969,86571,85864,85969,Flan ,26,16759,26,yes,1024
NA,100,100,645.4074074,645.4074074,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,26,26,0,26,0,26,0,0,0,26,26,26,26,Fri Sep 17 17:02:01 2021,1500,Flanker Task,yes,Flanker Task.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,26,26,C:/Users/rayra/Documents/rc-subject-0.csv,legacy,NA,Lentiform Loewenfeld,3.3.9,0,h,NA,h,NA,NA,h,667,NA,36919,NA,NA,667,2,legacy,1024,2,48000,-16,experiment,SSHSS,0,even,39174,NA,NA,86577,NA,2250,NA,NA,87687,2254,NA,NA,87791,88458,87684,87791,Flan ,27,17426,27,yes,1024
NA,100,100,646.1071429,646.1071429,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,27,27,0,27,0,27,0,0,0,27,27,27,27,Fri Sep 17 17:02:01 2021,1500,Flanker Task,yes,Flanker Task.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,27,27,C:/Users/rayra/Documents/rc-subject-0.csv,legacy,NA,Lentiform Loewenfeld,3.3.9,0,h,NA,h,NA,NA,h,665,NA,36919,NA,NA,665,2,legacy,1024,2,48000,-16,experiment,SSHSS,0,even,39174,NA,NA,88464,NA,2250,NA,NA,89568,2254,NA,NA,89673,90339,89565,89672,Flan ,28,18091,28,yes,1024
NA,100,100,645.0344828,645.0344828,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,28,28,0,28,0,28,0,0,0,28,28,28,28,Fri Sep 17 17:02:01 2021,1500,Flanker Task,yes,Flanker Task.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,28,28,C:/Users/rayra/Documents/rc-subject-0.csv,legacy,NA,Lentiform Loewenfeld,3.3.9,0,h,NA,h,NA,NA,h,615,NA,36919,NA,NA,615,2,legacy,1024,2,48000,-16,experiment,HHHHH,0,even,39174,NA,NA,90345,NA,2250,NA,NA,91459,2254,NA,NA,91561,92177,91456,91561,Flan ,29,18706,29,yes,1024
NA,100,100,643.9333333,643.9333333,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,29,29,0,29,0,29,0,0,0,29,29,29,29,Fri Sep 17 17:02:01 2021,1500,Flanker Task,yes,Flanker Task.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,29,29,C:/Users/rayra/Documents/rc-subject-0.csv,legacy,NA,Lentiform Loewenfeld,3.3.9,0,s,NA,h,NA,NA,s,612,NA,36919,NA,NA,612,2,legacy,1024,2,48000,-16,experiment,SSSSS,0,even,39174,NA,NA,92183,NA,2250,NA,NA,93273,2254,NA,NA,93375,93987,93270,93375,Flan ,30,19318,30,yes,1024
