"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_ISI","count_Sequence","count_block1","count_block2","count_block3","count_errorFeedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_time","response_time_finish","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_ISI","time_Sequence","time_block1","time_block2","time_block3","time_errorFeedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"95.23809523809524","95.23809523809524","580.1904761904761","580.1904761904761","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","20","20","0","0","0","20","0","20","0","20","0","0","0","20","20","20","Sat Sep 25 16:42:57 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","20","20","C:/Users/User/Desktop/School/Research Methods/LW-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","490","NA","134675","NA","NA","490","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","171700","172773","136789","NA","NA","146902","2105","NA","NA","172776","2113","NA","NA","172878","173369","172878","Flanker Task","20","12184","21","yes","1024"
"95.45454545454545","95.45454545454545","576.2727272727273","576.2727272727273","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","21","21","0","0","0","21","0","21","0","21","0","0","0","21","21","21","Sat Sep 25 16:42:57 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","21","21","C:/Users/User/Desktop/School/Research Methods/LW-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","494","NA","134675","NA","NA","494","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","173373","174447","136789","NA","NA","146902","2105","NA","NA","174449","2113","NA","NA","174551","175045","174551","Flanker Task","21","12678","22","yes","1024"
"95.65217391304348","95.65217391304348","570.7391304347826","570.7391304347826","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","22","22","0","0","0","22","0","22","0","22","0","0","0","22","22","22","Sat Sep 25 16:42:57 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","22","22","C:/Users/User/Desktop/School/Research Methods/LW-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","449","NA","134675","NA","NA","449","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","175049","176123","136789","NA","NA","146902","2105","NA","NA","176126","2113","NA","NA","176228","176678","176228","Flanker Task","22","13127","23","yes","1024"
"95.83333333333333","95.83333333333333","567.4583333333334","567.4583333333334","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","23","23","0","0","0","23","0","23","0","23","0","0","0","23","23","23","Sat Sep 25 16:42:57 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","23","23","C:/Users/User/Desktop/School/Research Methods/LW-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","492","NA","134675","NA","NA","492","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","176682","177756","136789","NA","NA","146902","2105","NA","NA","177759","2113","NA","NA","177861","178353","177861","Flanker Task","23","13619","24","yes","1024"
"96","96","561.32","561.32","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","24","24","0","0","0","24","0","24","0","24","0","0","0","24","24","24","Sat Sep 25 16:42:57 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","24","24","C:/Users/User/Desktop/School/Research Methods/LW-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","414","NA","134675","NA","NA","414","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","178358","179432","136789","NA","NA","146902","2105","NA","NA","179435","2113","NA","NA","179537","179952","179536","Flanker Task","24","14033","25","yes","1024"
"96.15384615384616","96.15384615384616","557.6153846153846","557.6153846153846","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","25","25","0","0","0","25","0","25","0","25","0","0","0","25","25","25","Sat Sep 25 16:42:57 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","25","25","C:/Users/User/Desktop/School/Research Methods/LW-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","465","NA","134675","NA","NA","465","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","179956","181030","136789","NA","NA","146902","2105","NA","NA","181032","2113","NA","NA","181134","181600","181134","Flanker Task","25","14498","26","yes","1024"
"96.29629629629629","96.29629629629629","557.6666666666666","557.6666666666666","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","26","26","0","0","0","26","0","26","0","26","0","0","0","26","26","26","Sat Sep 25 16:42:57 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","26","26","C:/Users/User/Desktop/School/Research Methods/LW-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","559","NA","134675","NA","NA","559","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","181604","182677","136789","NA","NA","146902","2105","NA","NA","182680","2113","NA","NA","182782","183343","182782","Flanker Task","26","15057","27","yes","1024"
"96.42857142857143","96.42857142857143","552.25","552.25","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","27","27","0","0","0","27","0","27","0","27","0","0","0","27","27","27","Sat Sep 25 16:42:57 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","27","27","C:/Users/User/Desktop/School/Research Methods/LW-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","406","NA","134675","NA","NA","406","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","183347","184421","136789","NA","NA","146902","2105","NA","NA","184423","2113","NA","NA","184525","184932","184525","Flanker Task","27","15463","28","yes","1024"
"96.55172413793103","96.55172413793103","552.9655172413793","552.9655172413793","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","28","28","0","0","0","28","0","28","0","28","0","0","0","28","28","28","Sat Sep 25 16:42:57 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","28","28","C:/Users/User/Desktop/School/Research Methods/LW-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","573","NA","134675","NA","NA","573","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","184936","186010","136789","NA","NA","146902","2105","NA","NA","186012","2113","NA","NA","186114","186688","186113","Flanker Task","28","16036","29","yes","1024"
"96.66666666666667","96.66666666666667","550.0666666666667","550.0666666666667","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","29","29","0","0","0","29","0","29","0","29","0","0","0","29","29","29","Sat Sep 25 16:42:57 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","29","29","C:/Users/User/Desktop/School/Research Methods/LW-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","466","NA","134675","NA","NA","466","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","186692","187765","136789","NA","NA","146902","2105","NA","NA","187768","2113","NA","NA","187870","188337","187870","Flanker Task","29","16502","30","yes","1024"
