"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instructions1","correct_keyboard_response","correct_response","count_ISI","count_Instructions1","count_Practiceloop","count_closing","count_correctFeedback","count_experiment","count_experimentalLoop","count_expsequence","count_fixation","count_incorrectFeedback","count_instructions2","count_keyboard_response","count_logger","count_memoryset","count_probe","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Practiceloop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","psychopy_suppress_warnings","repeat_cycle","response","response_Instructions1","response_closing","response_instructions2","response_keyboard_response","response_time","response_time_Instructions1","response_time_closing","response_time_instructions2","response_time_keyboard_response","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_Instructions1","time_Practiceloop","time_closing","time_correctFeedback","time_experiment","time_experimentalLoop","time_expsequence","time_fixation","time_incorrectFeedback","time_instructions2","time_keyboard_response","time_logger","time_memoryset","time_probe","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"98.4615384615","98.4615384615","765.661538462","765.661538462","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","64","0","0","0","64","0","0","64","64","64","0","64","64","64","64","10/25/20 18:13:03","The main experiment item","yes","SternbergTask.osexp","C:\Users\User\Desktop\Quant 2020\Sternberg Task 3","no","mono","no","18","no","white","no","yes","768","legacy","52","11","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/VT-subject-3.csv","legacy","8 5 4 7 3 1","Lentiform Loewenfeld","3.3.3","2","y","yes","0","left","left","NA","space","left","1038","7556","NA","35110","1038","2","legacy","6","1024","2","48000","-16","experiment","3","odd","5","440196","1933","9490","NA","436845","1926","120642","437981","437984","406637","85532","442202","443242","438989","442202","Sternberg Task","64","49768","65","yes","1024"
"98.4848484848","98.4848484848","763.378787879","763.378787879","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","65","0","0","0","65","0","0","65","65","65","0","65","65","65","65","10/25/20 18:13:03","The main experiment item","yes","SternbergTask.osexp","C:\Users\User\Desktop\Quant 2020\Sternberg Task 3","no","mono","no","18","no","white","no","yes","768","legacy","53","11","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/VT-subject-3.csv","legacy","7 1 8 4 9 3","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","left","NA","space","right","615","7556","NA","35110","615","2","legacy","6","1024","2","48000","-16","experiment","3","odd","6","446595","1933","9490","NA","443247","1926","120642","444380","444383","406637","85532","448601","449217","445389","448601","Sternberg Task","65","50383","66","yes","1024"
"98.5074626866","98.5074626866","769.104477612","769.104477612","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","66","0","0","0","66","0","0","66","66","66","0","66","66","66","66","10/25/20 18:13:03","The main experiment item","yes","SternbergTask.osexp","C:\Users\User\Desktop\Quant 2020\Sternberg Task 3","no","mono","no","18","no","white","no","yes","768","legacy","54","11","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/VT-subject-3.csv","legacy","8 5 7 3 6","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","left","NA","space","right","1147","7556","NA","35110","1147","2","legacy","5","1024","2","48000","-16","experiment","3","odd","9","452582","1933","9490","NA","449222","1926","120642","450367","450370","406637","85532","454588","455736","451376","454587","Sternberg Task","66","51530","67","yes","1024"
"98.5294117647","98.5294117647","770.720588235","770.720588235","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","67","0","0","0","67","0","0","67","67","67","0","67","67","67","67","10/25/20 18:13:03","The main experiment item","yes","SternbergTask.osexp","C:\Users\User\Desktop\Quant 2020\Sternberg Task 3","no","mono","no","18","no","white","no","yes","768","legacy","55","11","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/VT-subject-3.csv","legacy","6 9 3 1","Lentiform Loewenfeld","3.3.3","4","y","yes","0","left","left","NA","space","left","879","7556","NA","35110","879","2","legacy","4","1024","2","48000","-16","experiment","3","odd","1","459093","1933","9490","NA","455741","1926","120642","456879","456881","406637","85532","461099","461980","457887","461099","Sternberg Task","67","52409","68","yes","1024"
"98.5507246377","98.5507246377","768.913043478","768.913043478","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","68","0","0","0","68","0","0","68","68","68","0","68","68","68","68","10/25/20 18:13:03","The main experiment item","yes","SternbergTask.osexp","C:\Users\User\Desktop\Quant 2020\Sternberg Task 3","no","mono","no","18","no","white","no","yes","768","legacy","56","11","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/VT-subject-3.csv","legacy","4 8 1 2","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","left","NA","space","right","646","7556","NA","35110","646","2","legacy","4","1024","2","48000","-16","experiment","3","odd","7","465335","1933","9490","NA","461985","1926","120642","463121","463124","406637","85532","467341","467988","464129","467341","Sternberg Task","68","53055","69","yes","1024"
"98.5714285714","98.5714285714","771.671428571","771.671428571","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","69","0","0","0","69","0","0","69","69","69","0","69","69","69","69","10/25/20 18:13:03","The main experiment item","yes","SternbergTask.osexp","C:\Users\User\Desktop\Quant 2020\Sternberg Task 3","no","mono","no","18","no","white","no","yes","768","legacy","57","11","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/VT-subject-3.csv","legacy","1 4 9 3 2 5","Lentiform Loewenfeld","3.3.3","3","y","yes","0","left","left","NA","space","left","962","7556","NA","35110","962","2","legacy","6","1024","2","48000","-16","experiment","3","odd","9","471340","1933","9490","NA","467994","1926","120642","469127","469129","406637","85532","473347","474310","470135","473346","Sternberg Task","69","54017","70","yes","1024"
"98.5915492958","98.5915492958","768.450704225","768.450704225","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","70","0","0","0","70","0","0","70","70","70","0","70","70","70","70","10/25/20 18:13:03","The main experiment item","yes","SternbergTask.osexp","C:\Users\User\Desktop\Quant 2020\Sternberg Task 3","no","mono","no","18","no","white","no","yes","768","legacy","58","11","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/VT-subject-3.csv","legacy","4 1","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","left","NA","space","right","543","7556","NA","35110","543","2","legacy","2","1024","2","48000","-16","experiment","3","odd","6","477670","1933","9490","NA","474316","1926","120642","475456","475458","406637","85532","479676","480220","476464","479676","Sternberg Task","70","54560","71","yes","1024"
"98.6111111111","98.6111111111","769.444444444","769.444444444","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","71","0","0","0","71","0","0","71","71","71","0","71","71","71","71","10/25/20 18:13:03","The main experiment item","yes","SternbergTask.osexp","C:\Users\User\Desktop\Quant 2020\Sternberg Task 3","no","mono","no","18","no","white","no","yes","768","legacy","59","11","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/VT-subject-3.csv","legacy","3 9 1","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","left","NA","space","right","840","7556","NA","35110","840","2","legacy","3","1024","2","48000","-16","experiment","3","odd","7","483565","1933","9490","NA","480225","1926","120642","481351","481353","406637","85532","485571","486413","482359","485570","Sternberg Task","71","55400","72","yes","1024"
"98.6301369863","98.6301369863","769.684931507","769.684931507","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","72","0","0","0","72","0","0","72","72","72","0","72","72","72","72","10/25/20 18:13:03","The main experiment item","yes","SternbergTask.osexp","C:\Users\User\Desktop\Quant 2020\Sternberg Task 3","no","mono","no","18","no","white","no","yes","768","legacy","60","11","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/VT-subject-3.csv","legacy","1 4 3 6 5","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","left","NA","space","right","787","7556","NA","35110","787","2","legacy","5","1024","2","48000","-16","experiment","3","odd","8","489780","1933","9490","NA","486418","1926","120642","487564","487567","406637","85532","491786","492574","488573","491786","Sternberg Task","72","56187","73","yes","1024"
"98.6486486486","98.6486486486","768.513513514","768.513513514","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","73","0","0","0","73","0","0","73","73","73","0","73","73","73","73","10/25/20 18:13:03","The main experiment item","yes","SternbergTask.osexp","C:\Users\User\Desktop\Quant 2020\Sternberg Task 3","no","mono","no","18","no","white","no","yes","768","legacy","61","11","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/VT-subject-3.csv","legacy","7 6","Lentiform Loewenfeld","3.3.3","2","y","yes","0","left","left","NA","space","left","683","7556","NA","35110","683","2","legacy","2","1024","2","48000","-16","experiment","3","odd","6","495934","1933","9490","NA","492579","1926","120642","493720","493722","406637","85532","497940","498624","494728","497940","Sternberg Task","73","56870","74","yes","1024"
