"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_Instructions2","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_keyboard_response","count_logger","count_memorySet","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_Instructions2","response_instruction1","response_keyboard_response","response_thankYou","response_time","response_time_Instructions2","response_time_instruction1","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_Instructions2","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_keyboard_response","time_logger","time_memorySet","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"66.6666666667","66.6666666667","566.571428571","566.571428571","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","20","0","20","20","0","0","20","20","0","20","20","20","0","20","0","10/11/20 19:49:44","The main experiment item","yes","Sternbergtask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","8","11","C:/Users/solom/Desktop/MW-subject-1.csv","legacy","5 7 3 6 2","Lentiform Loewenfeld","3.3.3","5","y","0","left","right","right","left","NA","552","10755","7216","552","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","2","150755","89877","135394","148540","6785","100633","148544","147340","6792","152760","153313","149548","14010","152759","NA","Sternberg task","14","11898","21","yes","1024"
"63.6363636364","63.6363636364","556.863636364","556.863636364","black","experiment","legacy","legacy","legacy","0","uniform","0","undefined","0","right","21","0","21","21","0","0","21","21","0","21","21","21","0","21","0","10/11/20 19:49:44","The main experiment item","yes","Sternbergtask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","9","11","C:/Users/solom/Desktop/MW-subject-1.csv","legacy","5 3 8 7 2 4","Lentiform Loewenfeld","3.3.3","0","n","0","left","right","right","left","NA","353","10755","7216","353","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","9","156760","89877","153342","154544","6785","100633","154548","147340","6792","158766","159121","155553","14010","158765","NA","Sternberg task","14","12251","22","yes","1024"
"65.2173913043","65.2173913043","554.47826087","554.47826087","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","22","0","22","22","0","0","22","22","0","22","22","22","0","22","0","10/11/20 19:49:44","The main experiment item","yes","Sternbergtask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","10","11","C:/Users/solom/Desktop/MW-subject-1.csv","legacy","4 2 6 9","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","right","right","NA","502","10755","7216","502","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","7","162558","89877","153342","160342","6785","100633","160346","159141","6792","164561","165065","161351","14010","164561","NA","Sternberg task","15","12753","23","yes","1024"
"66.6666666667","66.6666666667","554.958333333","554.958333333","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","23","0","23","23","0","0","23","23","0","23","23","23","0","23","0","10/11/20 19:49:44","The main experiment item","yes","Sternbergtask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","11","11","C:/Users/solom/Desktop/MW-subject-1.csv","legacy","6 2 9 3 8 4","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","right","right","NA","566","10755","7216","566","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","1","168499","89877","165085","166284","6785","100633","166288","159141","6792","170506","171073","167293","14010","170506","NA","Sternberg task","16","13319","24","yes","1024"
"68","68","552.2","552.2","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","24","0","24","24","0","0","24","24","0","24","24","24","0","24","0","10/11/20 19:49:44","The main experiment item","yes","Sternbergtask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","12","11","C:/Users/solom/Desktop/MW-subject-1.csv","legacy","7 8 4 6 9 5","Lentiform Loewenfeld","3.3.3","4","y","0","left","right","right","left","NA","486","10755","7216","486","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","6","174518","89877","171105","172303","6785","100633","172307","159141","6792","176522","177010","173312","14010","176522","NA","Sternberg task","17","13805","25","yes","1024"
"69.2307692308","69.2307692308","548.615384615","548.615384615","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","25","0","25","25","0","0","25","25","0","25","25","25","0","25","0","10/11/20 19:49:44","The main experiment item","yes","Sternbergtask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","13","11","C:/Users/solom/Desktop/MW-subject-1.csv","legacy","5 2","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","right","right","NA","459","10755","7216","459","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","7","180455","89877","177041","178240","6785","100633","178244","159141","6792","182460","182921","179248","14010","182459","NA","Sternberg task","18","14264","26","yes","1024"
"70.3703703704","70.3703703704","554.888888889","554.888888889","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","26","0","26","26","0","0","26","26","0","26","26","26","0","26","0","10/11/20 19:49:44","The main experiment item","yes","Sternbergtask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","14","11","C:/Users/solom/Desktop/MW-subject-1.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.3","2","y","0","left","right","right","left","NA","718","10755","7216","718","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","1","186363","89877","182950","184148","6785","100633","184152","159141","6792","188369","189089","185157","14010","188369","NA","Sternberg task","19","14982","27","yes","1024"
"71.4285714286","71.4285714286","553.535714286","553.535714286","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","27","0","27","27","0","0","27","27","0","27","27","27","0","27","0","10/11/20 19:49:44","The main experiment item","yes","Sternbergtask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","15","11","C:/Users/solom/Desktop/MW-subject-1.csv","legacy","6 8 4","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","right","right","NA","517","10755","7216","517","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","1","192533","89877","189119","190318","6785","100633","190322","159141","6792","194538","195057","191327","14010","194537","NA","Sternberg task","20","15499","28","yes","1024"
"72.4137931034","72.4137931034","548.965517241","548.965517241","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","28","0","28","28","0","0","28","28","0","28","28","28","0","28","0","10/11/20 19:49:44","The main experiment item","yes","Sternbergtask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","16","11","C:/Users/solom/Desktop/MW-subject-1.csv","legacy","8 5 1 3 9","Lentiform Loewenfeld","3.3.3","4","y","0","left","right","right","left","NA","421","10755","7216","421","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","3","198501","89877","195088","196285","6785","100633","196289","159141","6792","200506","200929","197294","14010","200505","NA","Sternberg task","21","15920","29","yes","1024"
"73.3333333333","73.3333333333","544.366666667","544.366666667","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","29","0","29","29","0","0","29","29","0","29","29","29","0","29","0","10/11/20 19:49:44","The main experiment item","yes","Sternbergtask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","17","11","C:/Users/solom/Desktop/MW-subject-1.csv","legacy","9 7 4 5 8","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","right","right","NA","411","10755","7216","411","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","6","204377","89877","200955","202161","6785","100633","202165","159141","6792","206381","206793","203171","14010","206381","NA","Sternberg task","22","16331","30","yes","1024"
"70.9677419355","70.9677419355","543.774193548","543.774193548","black","experiment","legacy","legacy","legacy","0","uniform","0","undefined","0","right","30","0","30","30","0","0","30","30","0","30","30","30","0","30","0","10/11/20 19:49:44","The main experiment item","yes","Sternbergtask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","18","11","C:/Users/solom/Desktop/MW-subject-1.csv","legacy","6 9 4 5 3 2","Lentiform Loewenfeld","3.3.3","0","n","0","left","right","right","left","NA","526","10755","7216","526","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","8","210238","89877","206825","208023","6785","100633","208027","159141","6792","212242","212769","209032","14010","212242","NA","Sternberg task","22","16857","31","yes","1024"
"68.75","68.75","543.46875","543.46875","black","experiment","legacy","legacy","legacy","0","uniform","0","undefined","0","left","31","0","31","31","0","0","31","31","0","31","31","31","0","31","0","10/11/20 19:49:44","The main experiment item","yes","Sternbergtask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","19","11","C:/Users/solom/Desktop/MW-subject-1.csv","legacy","3 9 7 6 4","Lentiform Loewenfeld","3.3.3","3","y","0","right","right","right","right","NA","534","10755","7216","534","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","7","216205","89877","206825","213990","6785","100633","213994","212791","6792","218210","218745","214999","14010","218210","NA","Sternberg task","22","17391","32","yes","1024"
